name,qid,desc,dob
Dirk Koetter,Q5280837,American football player and coach,1959-02-05
Adam Gase,Q4679094,American football coach,1978-03-29
Steve Wilks,Q7615391,American football player and coach,1969-08-08
David Culley,Q16186626,American football player and coach,1955-09-17
Giff Smith,Q5559884,American football player and coach,1968-10-12
