caller,season,n,mu,raw,sdv,se
Vance Joseph,2022,174,-0.0709755980292782,2.40160919194934,0.496083187946627,0.0376079694234724
Dean Pees,2022,120,0.0440049577221443,2.56316666801771,0.664842934713425,0.0606915787567462
Mike Macdonald,2022,180,-0.0484806178114524,2.45788888600138,0.51012799449998,0.0380226957642531
Leslie Frazier,2022,197,-0.0972087716956834,2.41507614445565,0.463914326339199,0.0330525271987963
Alan Williams,2022,100,0.0186962173118941,2.53160000085831,0.529876519235073,0.0529876519235073
Lou Anarumo,2022,209,0.065146396061049,2.54794258592231,0.527023783968853,0.0364549974172685
Joe Woods,2022,143,0.0340624691240803,2.5381118901126,0.557664015970621,0.0466342077623899
Dan Quinn,2022,251,-0.0980628797679227,2.40099601774102,0.49881752337299,0.0314850828920139
Ejiro Evero,2022,176,-0.0461235136073035,2.43943181363019,0.476739338615726,0.0359355797497853
Aaron Glenn,2022,176,0.0818302103466713,2.51801136610183,0.456467640046378,0.0344075429766555
Joe Barry,2022,155,0.160084028304249,2.62645161690251,0.461348810008306,0.0370564281564838
Lovie Smith,2022,169,0.00733957159162537,2.51325443510473,0.483348437663297,0.0371806490510229
Gus Bradley,2022,130,-0.00508135230448999,2.53946153934185,0.470814269201697,0.0412931430407527
Mike Caldwell,2022,222,-0.101538054631287,2.3917117129575,0.474769888230681,0.0318644685319307
Steve Spagnuolo,2022,224,-0.0572992752386704,2.43223213936601,0.56158126852731,0.0375222268153409
Raheem Morris,2022,148,-0.0656069834885359,2.44385135173798,0.516439195577977,0.0424510403789064
Brandon Staley,2022,157,0.0204125173807009,2.48547771630014,0.46707990216555,0.0372770343916745
Patrick Graham,2022,164,-0.0409549493826364,2.45329267222707,0.53706130168658,0.0419374419245924
Josh Boyer,2022,218,-0.128717818586128,2.33637614917318,0.475973188025365,0.0322369720303198
Ed Donatell,2022,171,-0.0100237611630897,2.5052046824617,0.505206577621539,0.0386341125870934
Bill Belichick,2022,193,0.0371583284880994,2.5517616599335,0.525344130804312,0.0378150979916326
Dennis Allen,2022,158,0.143668713401135,2.65765822537338,0.526122186925324,0.0418560338174907
Don Martindale,2022,213,0.0113086721487545,2.45779342718527,0.541959945531849,0.0371344835857167
Jeff Ulbrich,2022,190,-0.0554429606489276,2.46815790063457,0.462467866235277,0.0335509453392747
Jonathan Gannon,2022,240,-0.0558510055850368,2.42737499674161,0.478978988696554,0.0309179607734171
Teryl Austin,2022,157,-0.0555564901201495,2.42815286338709,0.455775398444216,0.0363748367761333
Clint Hurtt,2022,186,0.0429287688358885,2.56026881612757,0.553614922963884,0.0405930156427112
DeMeco Ryans,2022,207,-0.0136842339982297,2.48826087269806,0.479263334926483,0.0333111044870784
Todd Bowles,2022,167,0.00383138424121447,2.48880239589486,0.516074095360709,0.0399350124699154
Shane Bowen,2022,205,0.00366420894493531,2.51497560535989,0.477063401277101,0.0333195532454806
Jack Del Rio,2022,178,0.00108746990444156,2.50842696428299,0.534287002087267,0.0400465039083005
Al Holcomb,2022,115,-0.0177413086024064,2.44556521332782,0.488839621701199,0.0455845297694744
Nick Rallis,2023,137,0.045691639151453,2.57912408522446,0.589547503134257,0.0503684423890548
Ryan Nielsen,2023,162,0.0974844765031949,2.60475308291706,0.552695069045167,0.0434238256944672
Mike Macdonald,2023,249,-0.0583304367193364,2.4294377464846,0.554370360458086,0.0351317941194285
Sean McDermott,2023,206,-0.067019844331648,2.42529126509879,0.45927330374227,0.0319990873300022
Ejiro Evero,2023,132,-0.119099122723892,2.36583332311023,0.49115024096967,0.0427491413350382
Lou Anarumo,2023,181,0.067228330948254,2.57867404242247,0.509919808320719,0.0379020408580268
Jim Schwartz,2023,208,-0.157302795212578,2.3258653781735,0.471212313032952,0.0326726953128903
Dan Quinn,2023,197,-0.150261145292434,2.32675126784949,0.431258410682447,0.0307258895435988
Vance Joseph,2023,184,0.0481701046868311,2.53489130152308,0.532326486231284,0.0392436292215017
