caller,run_concept,N,share
Mike Kafka,COUNTER,98,7.5095785440613
Mike Kafka,TRICK,27,2.06896551724138
Mike Kafka,INSIDE ZONE,401,30.727969348659
Mike Kafka,TRAP,28,2.1455938697318
Mike Kafka,DRAW,56,4.2911877394636
Mike Kafka,SNEAK,31,2.37547892720307
Mike McDaniel,POWER,123,7.73098680075424
Mike McDaniel,FULLBACK,19,1.19421747328724
Arthur Smith,POWER,67,3.60796984383414
Arthur Smith,OUTSIDE ZONE,856,46.0958535271944
Arthur Smith,INSIDE ZONE,398,21.4324178782983
Arthur Smith,MAN,274,14.7549811523963
Arthur Smith,PULL LEAD,122,6.56973613354874
Arthur Smith,SNEAK,39,2.10016155088853
Kevin O'Connell,DRAW,18,1.18110236220472
Kevin O'Connell,SNEAK,41,2.69028871391076
Greg Roman,TRAP,62,4.66165413533835
Greg Roman,PULL LEAD,103,7.74436090225564
Greg Roman,TRICK,31,2.33082706766917
Ben Johnson,INSIDE ZONE,323,16.0457029309488
Ben Johnson,POWER,144,7.15350223546945
Ben Johnson,MAN,327,16.2444113263785
Ben Johnson,TRAP,57,2.83159463487332
Ben Johnson,COUNTER,138,6.85543964232489
Ben Johnson,PULL LEAD,151,7.50124192747144
Ben Johnson,OUTSIDE ZONE,771,38.301043219076
Zac Taylor,DRAW,44,3.08339173090399
Luke Getsy,INSIDE ZONE,365,32.6768128916741
Luke Getsy,OUTSIDE ZONE,243,21.7547000895255
Luke Getsy,MAN,193,17.27842435094
Luke Getsy,PULL LEAD,102,9.13160250671441
Shane Waldron,POWER,70,7.34522560335782
Shane Waldron,FULLBACK,7,0.734522560335782
Kellen Moore,OUTSIDE ZONE,445,22.3730517848165
Kellen Moore,PULL LEAD,171,8.5972850678733
Kellen Moore,INSIDE ZONE,593,29.8139768728004
Kellen Moore,TRICK,50,2.51382604323781
Kellen Moore,COUNTER,181,9.10005027652086
Kellen Moore,MAN,290,14.5801910507793
Kellen Moore,POWER,99,4.97737556561086
Mike Kafka,POWER,107,8.1992337164751
Mike Kafka,MAN,204,15.632183908046
Josh McDaniels,FULLBACK,4,0.382775119617225
Josh McDaniels,COUNTER,50,4.78468899521531
Sean McVay,COUNTER,69,3.88513513513514
Sean McVay,PULL LEAD,68,3.82882882882883
Mike McDaniel,SNEAK,10,0.628535512256442
Mike Kafka,FULLBACK,2,0.153256704980843
Ken Dorsey,SNEAK,34,3.84180790960452
Zac Taylor,TRICK,26,1.82200420462509
Kyle Shanahan,FULLBACK,16,0.82389289392379
Luke Getsy,POWER,66,5.90868397493286
Andy Reid,SNEAK,4,0.24390243902439
Andy Reid,FULLBACK,27,1.64634146341463
Andy Reid,TRAP,16,0.975609756097561
Greg Roman,FULLBACK,15,1.12781954887218
Shane Steichen,DRAW,40,2.12201591511936
Matt Canada,DRAW,32,4.55840455840456
Matt Canada,FULLBACK,10,1.42450142450142
Kevin Stefanski,TRAP,36,2.80155642023346
Kevin Stefanski,COUNTER,102,7.93774319066148
Kevin O'Connell,COUNTER,49,3.21522309711286
Kevin O'Connell,PULL LEAD,37,2.42782152230971
Kellen Moore,FULLBACK,12,0.603318250377074
Ben Johnson,TRICK,55,2.73224043715847
Sean McVay,TRICK,89,5.01126126126126
Shane Waldron,TRICK,19,1.99370409233998
