caller,season,n,looks,se,epa
Andy Reid,2022,1027,10.9843007255442,0.513053859787943,0.106334715399224
Pete Carmichael,2022,771,19.992927864215,1.54942225011964,-0.0537221373147033
Zac Taylor,2022,958,4.75009326038299,0.278126647013141,0.00657015538430303
Mike LaFleur,2022,776,10.2160766460556,0.665472306050497,-0.0817043210533398
Sean McVay,2022,732,7.29823508551788,0.351542837725323,-0.115439903807873
Mike McDaniel,2022,827,21.3149650524214,1.06118551283603,-0.0117457995918705
Kevin Stefanski,2022,819,20.5138710270072,1.16903653164196,-0.0358236028979985
Kyle Shanahan,2022,915,22.2932771765208,1.22429438834133,0.0551568436064849
Greg Roman,2022,862,36.8036298720619,1.54724368906506,0.00733273788711819
Matt Canada,2022,837,11.7515114873035,0.575997044627903,-0.0688816249067918
Ben McAdoo,2022,726,11.149593289273,0.65464320880006,-0.0556326563092916
Byron Leftwich,2022,899,9.63206624191663,0.572690710146679,-0.0304382912093593
Shane Waldron,2022,838,21.1190533542093,1.3352004910043,-0.0261557686602724
Shane Steichen,2022,1004,5.64399009090807,0.32067232351624,0.0221995133609766
Kevin O'Connell,2022,891,10.0079509313948,0.430229981405295,-0.0203318571134583
Frank Reich,2022,454,6.01702750146284,0.576832013457358,-0.0758568747174244
Pep Hamilton,2022,734,15.7362386662767,1.06005651600957,-0.139282210582832
Joe Lombardi,2022,903,10.4453307343097,0.603232868747831,-0.0264864426352712
Scott Turner,2022,863,12.7999242919577,0.816518486794416,-0.0570893821825607
Kliff Kingsbury,2022,836,12.4090731325772,0.805647189194989,-0.0434360911013581
Ken Dorsey,2022,908,8.88985319516408,0.685051509768848,0.0180220020861091
Doug Pederson,2022,918,10.0150617460204,0.535119842487242,0.036561809601932
Josh McDaniels,2022,796,11.2629480653544,0.527327191339012,-0.019364140668051
Matt Patricia,2022,751,9.8270988903622,0.587330551365561,-0.0621309422313691
Matt LaFleur,2022,800,15.9107880718873,0.837937725107674,0.0392865801369771
Mike Kafka,2022,915,12.6056614011817,0.875491927875188,0.0247150666502818
Arthur Smith,2022,797,43.4886207842062,2.39600448608056,0.000271506890318182
Todd Downing,2022,738,18.5874513020299,1.16029650917726,-0.0633977469628507
Ben Johnson,2022,798,15.0562473367738,0.911416838528818,0.0189236291021313
Nathaniel Hackett,2022,436,13.216724738676,1.01747212627856,-0.107265472716498
Luke Getsy,2022,725,30.4926222841873,1.56153295881554,-0.0668237897342648
Kellen Moore,2022,935,13.1290215887907,0.72534401740076,0.00353288667346254
Parks Frazier,2022,365,7.39837398373984,0.64695191340652,-0.0906590507314733
Klint Kubiak,2022,361,16.0484070140776,1.48273990820835,-0.0693694377044563
Eric Bieniemy,2023,778,8.78642441860465,0.44425615909321,-0.111662438211743
Frank Reich,2023,365,5.68263473053892,0.574899492409734,-0.261116055409386
Bobby Slowik,2023,865,16.2851913187484,0.990462106713013,-0.0082360098434535
Nathaniel Hackett,2023,740,15.1007897498205,0.786674676286908,-0.265063930781106
Matt Canada,2023,483,9.51393543114017,0.685550626140692,-0.113900405389506
Arthur Smith,2023,832,35.7974526250388,2.4992986504075,-0.112899479843551
Matt LaFleur,2023,870,11.5955521472393,0.655266843265732,0.025497445572253
Kevin Stefanski,2023,903,12.8491244675816,0.838451578500326,-0.171123641562686
Zac Taylor,2023,792,5.49613980909601,0.342067721851965,-0.0267390072277529
Mike Kafka,2023,729,11.1064791562029,0.677503930844189,-0.18448946262941
Josh McDaniels,2023,350,13.5391265794724,1.37806292541288,-0.158517120004233
Andy Reid,2023,1033,10.4115165247285,0.557172984759368,-0.0456570150566876
Sean McVay,2023,875,8.53763368834707,0.374062837596371,0.00626982537497361
Luke Getsy,2023,796,18.4538667910883,1.50210238359698,-0.0988700078875202
Mike McCarthy,2023,833,11.6440860215054,0.723875385559705,0.0282642797288563
Todd Monken,2023,918,14.6748134718639,1.09250259645474,0.0212334661550762
Press Taylor,2023,834,9.91581741885758,0.650392594019552,-0.0524718631996954
Shane Steichen,2023,817,4.80138278718041,0.292938567490505,-0.041698355456835
Ben Johnson,2023,997,14.187912558937,0.804019680805001,0.0577494339721321
Mike McDaniel,2023,818,29.319382293586,1.27723143655015,0.0413221319497516
Shane Waldron,2023,759,14.5378784050134,1.10679501040624,0.0289471396766552
Sean Payton,2023,747,14.6825631027033,0.867855452338543,-0.0864969509849487
Kellen Moore,2023,810,9.31444735046623,0.551360675818068,-0.0459261361210624
Dave Canales,2023,880,11.7253296953161,0.763622585656846,-0.098970136766068
Brian Johnson,2023,888,5.30844195231099,0.338176441290689,-0.0419793167268973
Tim Kelly,2023,751,21.6351693938696,1.34238847980083,-0.0573066315872866
Ken Dorsey,2023,580,11.3621599675193,0.983794545988718,0.0666620723871062
Bill O'Brien,2023,755,14.6079035155248,0.629557971782885,-0.143399064068911
Kyle Shanahan,2023,945,22.2941970310391,0.925471030123328,0.126380631804624
Kevin O'Connell,2023,810,10.8790716206794,0.569072146424549,-0.0740996074805289
Pete Carmichael,2023,849,16.0259994657644,0.907386657931722,0.020604131723567
Drew Petzing,2023,760,13.6938562339759,0.882154092629885,-0.0798950172960764
Thomas Brown,2023,393,6.85302491103203,0.566491569136254,-0.178069868084735
Bo Hardegree,2023,402,12.1515151515152,1.04868899051911,-0.0750021384252857
Joe Brady,2023,383,11.8332254933678,1.14969027523489,0.0475581515478285
Mike Sullivan,2023,326,10.6332798073063,1.16115561651098,-0.0597857017651417
Joe Brady,2024,901,17.6674364896074,1.05017361748198,0.111330139222291
Arthur Smith,2024,850,17.3548650858545,1.11244490245117,-0.0783388979113933
Andy Reid,2024,955,13.8313344466373,0.699048801205542,-0.0179047456908366
Drew Petzing,2024,804,16.343780061769,1.06603294114855,0.0643904270275279
Sean Payton,2024,784,15.5947566304237,1.21304829919324,-0.0287208755510117
Klint Kubiak,2024,739,25.9433926362858,1.44931732574216,-0.0346754369803567
Brian Callahan,2024,753,10.863216053409,0.708065647304501,-0.128455817105761
Alex Van Pelt,2024,743,10.4838930513825,0.763429919707811,-0.0900705127825164
Mike McCarthy,2024,798,10.2005773857257,0.616143555797712,-0.0618614732103428
Kevin Stefanski,2024,311,10.0093438538206,0.928742740811061,-0.198315376661406
Ryan Grubb,2024,783,9.62593931771734,0.507835280484802,-0.0359570089630106
Sean McVay,2024,889,10.9539879003164,0.494029479972452,0.0477711495317947
Kellen Moore,2024,1000,8.29238329238329,0.503117567029577,0.0604758653723405
Shane Steichen,2024,783,8.75298053006261,0.567078203133449,-0.100494582931562
Greg Roman,2024,797,14.5147799029926,1.18733540248739,-0.00822286309564442
Bobby Slowik,2024,888,15.9289758938683,0.804807937505399,-0.102629431191966
Mike McDaniel,2024,821,40.7074616035796,1.69928517562417,-0.0269746481339999
Todd Monken,2024,916,23.8473795026461,1.30490384395829,0.170218194342792
Ben Johnson,2024,894,15.8012429736363,0.882685934863732,0.100735708912814
Kevin O'Connell,2024,871,13.3433703116746,0.594714063193396,-0.00449266884343385
Luke Getsy,2024,393,13.0379146919431,1.34607352843077,-0.189344001865209
Press Taylor,2024,726,9.45040936512496,0.485464986655607,-0.0266590685389306
Brian Daboll,2024,747,11.2778677244394,0.712528606291147,-0.13687857879024
Zac Taylor,2024,838,10.2782157615545,0.723829337548197,0.0554989933531936
Dave Canales,2024,703,14.4022062686044,0.859783167415563,-0.0370610000911417
Kyle Shanahan,2024,797,18.3621418234443,1.11525851214347,0.0565675319040394
Matt LaFleur,2024,841,13.0628698224852,0.845980800113428,0.0479208208414569
Zac Robinson,2024,816,10.4248048405806,0.465767261332621,0.0115248430428989
Nathaniel Hackett,2024,232,11.8513931888545,1.0087690329861,-0.0996778939714142
Kliff Kingsbury,2024,977,14.9572091855942,0.844055364696157,0.0313789704752591
Shane Waldron,2024,423,10.719793418208,0.907482018119326,-0.0747621600157262
Liam Coen,2024,854,12.2245678805169,0.789733829135115,0.0702272030062521
Todd Downing,2024,507,13.692463706234,1.01762371978599,-0.0120826719817384
Ken Dorsey,2024,482,12.6083315205569,0.758610977565378,-0.200256397244347
Thomas Brown,2024,342,10.5349593495935,0.896356716091348,-0.107510993461402
Scott Turner,2024,379,12.8948694869487,0.858868458950988,-0.107232215526786
Kellen Moore,2025,801,8.81406288685318,0.654654422944716,-0.0601338399492774
Josh Grizzard,2025,797,12.0203872825799,0.825587224366135,-0.0295936472601764
Joe Brady,2025,913,15.6296880279311,0.779877785928322,0.065511576416683
Todd Monken,2025,712,23.9534399545756,1.35263936447514,-0.00815005749568663
Liam Coen,2025,849,12.8806669767775,0.778666113161588,0.00388461234005771
Sean McVay,2025,950,13.5100101900138,0.497899385687031,0.133121927425657
Matt LaFleur,2025,818,14.8975925100312,0.788106350097417,0.0440489249654038
Kevin O'Connell,2025,700,16.3045651449517,0.810044638276935,-0.061691496345614
Kevin Stefanski,2025,359,20.2460617517328,1.40597128088251,-0.178536174787743
Zac Taylor,2025,774,8.57608508686429,0.588195220255788,-0.0945774494587307
Kevin Patullo,2025,815,10.4913495904102,0.760926045505857,-0.0371493531928106
Brian Callahan,2025,133,6.04129387474191,0.686101078746733,-0.249744053173782
Ben Johnson,2025,929,17.5919683304085,1.04340275573169,0.0592105138297033
John Morton,2025,351,13.6925991975033,0.949394369540367,0.114869671669441
Arthur Smith,2025,775,27.1400778210117,1.55114702100535,-0.0449535545177996
Mike McDaniel,2025,663,51.4061841180604,3.01237687123643,-0.0188089008379842
Dave Canales,2025,778,15.4707989967754,0.905246566171334,-0.0938537811984939
Greg Roman,2025,846,14.7755363564962,1.09632277476824,-0.0597617608934295
Nick Caley,2025,924,10.9211186805307,0.717488572037675,-0.0683124828234502
Andy Reid,2025,790,10.5463436093533,0.595957962434566,0.00950131053222846
Josh McDaniels,2025,976,20.8218458710779,1.17205862355053,0.0296388057071997
Shane Steichen,2025,764,11.2840108401084,0.81067431051141,0.0149520254629636
Chip Kelly,2025,451,13.7165450121654,0.845091108720199,-0.18971361278736
Drew Petzing,2025,754,17.9682891322236,1.21605767590481,-0.0401798627322012
Kliff Kingsbury,2025,727,20.9928406650227,1.46366636601669,-0.00348660452329779
Brian Schottenheimer,2025,848,10.7195988299206,0.610106671337355,0.0608502349976608
Kyle Shanahan,2025,910,20.2207392197125,1.08348812217116,-0.0103634239993176
Tanner Engstrand,2025,663,12.0618335715071,1.09166024725495,-0.124131391603123
