measure,caller,season_after,team_before,team_after,resid_before,resid_after
ttt,Thomas Brown,2024,CAR,CHI,0.04,0.149
dot,Arthur Smith,2024,ATL,PIT,0.358,-0.024
dot,Ben Johnson,2025,DET,CHI,-0.892,0.957
dot,Dave Canales,2024,TB,CAR,0.725,0.43
dot,Frank Reich,2023,IND,CAR,-1.799,-1.034
dot,Kellen Moore,2023,DAL,LAC,0.314,-0.38
dot,Kellen Moore,2024,LAC,PHI,-0.38,-0.066
dot,Kellen Moore,2025,PHI,NO,-0.066,0.11
dot,Ken Dorsey,2024,BUF,CLE,0.235,0.13
dot,Klint Kubiak,2025,NO,SEA,0.179,0.358
dot,Liam Coen,2025,TB,JAX,-0.634,1.535
dot,Luke Getsy,2024,CHI,LV,-0.38,-1.003
dot,Nathaniel Hackett,2023,DEN,NYJ,1.283,-1.048
dot,Shane Steichen,2023,PHI,IND,0.933,-0.427
dot,Shane Waldron,2024,SEA,CHI,-0.66,0.115
dot,Thomas Brown,2024,CAR,CHI,0.034,-0.688
