caller,team,season,n,resid,epa
Brian Daboll,NYG,2024,359,0.510977121448775,-0.153150343836848
Zac Taylor,CIN,2024,326,1.24544892574381,-0.0838627920377475
Dave Canales,CAR,2024,356,0.716044511018188,-0.0440985300483999
Kyle Shanahan,SF,2024,376,1.07112593473273,-0.0634702241563415
Matt LaFleur,GB,2024,500,-1.07690701484681,-0.0494665932804347
Zac Robinson,ATL,2024,461,0.103915694478796,0.0221745128583755
Kliff Kingsbury,WAS,2024,508,-2.64588904193068,0.0364796980834147
Shane Waldron,CHI,2024,208,-2.52394005656242,-0.117246402212634
Liam Coen,TB,2024,438,0.238954190794194,0.0163489695145115
Todd Downing,NYJ,2024,232,0.59032221806461,-0.0675896337127378
Ken Dorsey,CLE,2024,208,-0.25129561813978,-0.203324994358879
Thomas Brown,CHI,2024,155,-1.07869675082547,-0.130572300188003
Kellen Moore,NO,2025,375,0.964582252502444,-0.144918840746085
Josh Grizzard,TB,2025,406,1.53934165761976,-0.0817902949386338
Joe Brady,BUF,2025,483,0.307150089469266,0.00580262695294532
Todd Monken,BAL,2025,443,-1.39396646760118,0.0212868037833313
Liam Coen,JAX,2025,423,-0.699754330565194,-0.067641038667789
Sean McVay,LA,2025,469,-1.48913884467914,0.0326019309238712
Matt LaFleur,GB,2025,441,0.793905363601899,-0.0576463634160912
Kevin O'Connell,MIN,2025,353,-0.541118808913832,-0.0311220692993054
Kevin Stefanski,CLE,2025,176,0.965914028612047,-0.0595063345337457
Zac Taylor,CIN,2025,340,2.83827422296299,-0.0243462367531132
Kevin Patullo,PHI,2025,409,-3.41027763770088,-0.0684905962467485
Ben Johnson,CHI,2025,487,1.37169796828126,0.0190766428576238
John Morton,DET,2025,214,-3.08973193168639,-0.0213006197118034
Arthur Smith,PIT,2025,378,-0.767059269405557,-0.029112378815337
Mike McDaniel,MIA,2025,383,-0.188995481471177,-0.00304363432581051
Dave Canales,CAR,2025,416,1.72047920238514,-0.0369259953642118
Greg Roman,LAC,2025,392,-1.4541994096065,-0.0805100985263399
Nick Caley,HOU,2025,459,-0.246017781737595,-0.129925154863749
Andy Reid,KC,2025,353,-1.02692747926578,-0.0577941916450307
Josh McDaniels,NE,2025,471,1.52996759505788,-0.095343595706796
Shane Steichen,IND,2025,386,-1.91926038944659,0.029211024700669
Chip Kelly,LV,2025,208,0.461611724816835,-0.263476517946961
Drew Petzing,ARI,2025,308,-1.96052611648263,-0.130270813289401
Kliff Kingsbury,WAS,2025,404,-0.55237160165712,-0.0225718961198732
Brian Schottenheimer,DAL,2025,407,-0.809894703529979,0.00974934938288227
Kyle Shanahan,SF,2025,447,0.412346199321534,-0.0817083981913209
Tanner Engstrand,NYJ,2025,373,-0.155639936073859,-0.147595312453846
Klint Kubiak,SEA,2025,535,-0.182636653151469,-0.0727357329887766
Zac Robinson,ATL,2025,433,-3.1582296307588,-0.0802082475382345
Sean Payton,DEN,2025,410,-1.25234874283396,-0.0578552878847938
Mike Kafka,NYG,2025,436,-0.576921723304547,-0.0211208174261477
Bo Hardegree,TEN,2025,274,-1.25187670227385,-0.102603798800141
Tommy Rees,CLE,2025,201,-1.6962601770809,-0.149128959991446
Dan Campbell,DET,2025,203,-1.73233277691996,-0.0146276496460873
