measure,caller,seasons,n,mean_raw,mean_exp,resid,epa
depth_of_target_yds,Josh McDaniels,3,1410,9.13617021276596,7.7799575051623,1.35621270760365,0.230107554221354
depth_of_target_yds,Ken Dorsey,3,1418,8.74612129760226,7.75467930219237,0.991441995409884,0.116938286445173
depth_of_target_yds,Matt LaFleur,4,2135,8.62435597189696,7.70653051474335,0.91782545715361,0.22936964841337
depth_of_target_yds,Shane Steichen,4,2143,8.67895473635091,7.85446446586089,0.824490270490018,0.157826573039069
depth_of_target_yds,Todd Monken,3,1445,8.54117647058823,7.78756697198511,0.753609498603122,0.288866681417379
depth_of_target_yds,Pete Carmichael,2,1075,8.66232558139535,7.93999902813934,0.722326553256016,0.159926289740171
depth_of_target_yds,Bobby Slowik,2,1226,8.52691680261011,7.86819349890529,0.658723303704819,0.190338044591418
depth_of_target_yds,Greg Roman,3,1593,8.29880728185813,7.7785917736791,0.520215508179028,0.127837417550193
depth_of_target_yds,Sean McVay,4,2376,8.1763468013468,7.70985331504233,0.466493486304477,0.219092762855984
depth_of_target_yds,Liam Coen,2,1159,7.92924935289043,7.47246033657821,0.456789016312214,0.241167879783138
depth_of_target_yds,Press Taylor,2,1125,8.33511111111111,7.91318593978882,0.421925171322291,0.0978164551920359
depth_of_target_yds,Joe Brady,3,1341,8.12527964205817,7.73625798033388,0.389021661724288,0.295203192365626
depth_of_target_yds,Kevin O'Connell,4,2315,7.98272138228942,7.68400310660928,0.298718275680139,0.167828670108276
depth_of_target_yds,Klint Kubiak,3,1294,8.11669242658423,7.90950331322192,0.207189113362313,0.148499973803482
depth_of_target_yds,Kyle Shanahan,4,2265,7.81721854304636,7.68917931854462,0.128039224501743,0.291338405231832
depth_of_target_yds,Dave Canales,3,1641,8.00243753808653,7.890196431998,0.112241106088536,0.127770892941177
depth_of_target_yds,Arthur Smith,4,1941,7.93044822256569,7.89209662584347,0.0383515967222178,0.131840100728306
depth_of_target_yds,Mike McCarthy,2,1277,7.70086139389193,7.67725635181672,0.023605042075214,0.149456999885296
depth_of_target_yds,Zac Robinson,2,1063,8.00376293508937,7.99438922840362,0.00937370668574389,0.14157904792132
depth_of_target_yds,Kellen Moore,4,2291,7.87647315582715,7.87765775224831,-0.00118459642115699,0.191118331317412
depth_of_target_yds,Matt Canada,2,883,7.98867497168743,8.01945410626661,-0.0307791345791788,0.0348715089316372
depth_of_target_yds,Kevin Stefanski,4,1671,7.90604428485937,7.94199598422313,-0.0359516993637647,-0.0290941142887858
depth_of_target_yds,Mike McDaniel,4,2215,7.7273137697517,7.77404598196796,-0.046732212216267,0.199118397126718
depth_of_target_yds,Shane Waldron,3,1399,7.70836311651179,7.876295340794,-0.167932224282204,0.157593849387764
depth_of_target_yds,Scott Turner,2,823,7.9003645200486,8.08934437761475,-0.188979857566143,0.0976576107222573
depth_of_target_yds,Luke Getsy,3,1140,7.8359649122807,8.0249923186344,-0.1890274063537,0.0515916713137638
depth_of_target_yds,Kliff Kingsbury,3,1691,7.62093435836783,7.8535586039848,-0.23262424561697,0.147145920143408
depth_of_target_yds,Ben Johnson,4,2427,7.45364647713226,7.70639895159961,-0.252752474467353,0.291687222640481
depth_of_target_yds,Nathaniel Hackett,2,862,7.83062645011601,8.08928701198571,-0.258660561869701,-0.0446110520403284
depth_of_target_yds,Sean Payton,3,1702,7.46944770857814,7.8480327378884,-0.378585029310261,0.131718545210669
depth_of_target_yds,Andy Reid,4,2649,7.03737259343148,7.53503934429834,-0.497666750866859,0.225668798558338
depth_of_target_yds,Todd Downing,2,838,7.29832935560859,7.84647380683331,-0.54814445122472,0.129900159944418
depth_of_target_yds,Zac Taylor,4,2526,7.01029295328583,7.60250516397464,-0.592212210688812,0.200567715883149
depth_of_target_yds,Bo Hardegree,2,714,7.51960784313726,8.11533293603849,-0.595725092901234,0.0415984550086618
depth_of_target_yds,Drew Petzing,3,1676,7.27326968973747,7.90103595609597,-0.627766266358496,0.120781010201841
depth_of_target_yds,Mike Kafka,3,1531,7.41345525800131,8.08254499173803,-0.669089733736722,0.120874694276633
depth_of_target_yds,Byron Leftwich,1,787,6.9428208386277,7.84425847313759,-0.901437634509885,0.0852557404778585
depth_of_target_yds,Joe Lombardi,1,721,6.29126213592233,7.78878240500178,-1.49752026907945,0.140021293540969
time_to_throw_sec,Todd Monken,3,1488,2.87155242104043,2.65608915566437,0.215463265376065,0.244703019573604
