entity,role,seasons,n,pen,rate,resid,resid_shrunk,rank,drawn,free_yards_per_season,free_fd_per_season
Liam Coen,offensive_caller,2,2355,NA,0.00807,-4.1e-4,-5e-5,26,19,76,3.5
Matt LaFleur,offensive_caller,4,4437,NA,0.00766,-5.6e-4,-1.2e-4,27,34,56.8,2.75
Matt Canada,offensive_caller,2,1808,NA,0.00664,-0.00123,-1.2e-4,28,12,41.5,2.5
Frank Reich,offensive_caller,2,1215,NA,0.00576,-0.00219,-1.5e-4,29,7,24,1
Mike McCarthy,offensive_caller,2,2417,NA,0.00703,-0.00135,-1.8e-4,30,17,46,0.5
Ben Johnson,offensive_caller,4,4727,NA,0.0074,-8.2e-4,-1.9e-4,31,35,71.8,4.25
Zac Robinson,offensive_caller,2,2303,NA,0.00695,-0.00154,-1.9e-4,32,16,43.5,2
Ken Dorsey,offensive_caller,3,2487,NA,0.00643,-0.00163,-2.2e-4,33,16,34.7,2
Shane Steichen,offensive_caller,4,4586,NA,0.0072,-0.00102,-2.2e-4,34,33,68.2,4
Josh McDaniels,offensive_caller,3,2750,NA,0.00655,-0.00156,-2.3e-4,35,18,30.3,1.33
Pete Carmichael,offensive_caller,2,2270,NA,0.00573,-0.00225,-2.8e-4,36,13,33,2
Bo Hardegree,offensive_caller,2,1445,NA,0.00484,-0.00355,-2.9e-4,37,7,23,0
Kliff Kingsbury,offensive_caller,3,3508,NA,0.00513,-0.00306,-5.5e-4,38,18,66.7,3.33
Joe Brady,offensive_caller,3,2796,NA,0.00429,-0.00415,-6.1e-4,39,12,17,1
Luke Getsy,offensive_caller,3,2809,NA,0.00392,-0.00417,-6.2e-4,40,11,30,1.33
