half_life,r,n
1,0.16637810166699626,345
1.5,0.17003851477121196,345
2,0.17162778648079446,345
3,0.17224309812889615,345
4,0.17184558793485008,345
6,0.17083445879480597,345
8,0.17008641919838402,345
100,0.16719342087787153,345
