gpa_rank,coach,seasons,gpa,tier,n_lines,g_fourth,g_two_pt,g_penalties,g_offense,g_defense,g_spread,g_results,fourth,two_pt,penalties,offense,defense,spread,results,r_mkt,r_qb,r_pd
33,Frank Reich,6,1.2857142857142858,Probation,7,D,C,D,D,C,F,C,-0.07333269511560847,0,-0.00121,-0.008360957965325934,0.006300279280751276,-0.11579365591342,-28.5,32,26,31
34,John Fox,6,1.25,Probation,4,NA,NA,NA,F,D,C,C,NA,NA,NA,-0.03956937762505627,-0.007791954797256305,0.0123305508038358,-26.5,28,43,10
35,Dennis Allen,5,1.1666666666666667,Probation,6,D,NA,C,F,A,F,F,-0.08220075545478704,NA,1.7e-4,-0.034026118092922594,0.03262185499449239,-0.23951400722718,-48,50,47,49
36,Robert Saleh,4,1.1428571428571428,Probation,7,B,C,F,F,D,F,C,0.07312258866873993,0,-0.00246,-0.11385543854096385,-0.0057998775687232015,-0.132893785145899,-29.5,43,23,36
37,Brian Daboll,4,1,Probation,6,C,NA,F,D,F,C,D,0.03260032548418719,NA,-0.00353,-0.006774536314784402,-0.03985253432396259,-0.02490146809545,-33,34,27,39
38,Jay Gruden,5,1,Probation,4,NA,NA,NA,C,F,C,F,NA,NA,NA,0.006112600377249579,-0.028232167780227076,0.0344753914688293,-44,41,44,44
39,Doug Pederson,8,0.8571428571428571,Probation,7,D,C,D,F,D,D,F,-0.09196329456634388,0,-0.00129,-0.024357293658506383,-0.010372524970922793,-0.0764799702783412,-39.5,42,45,34
40,Mike McDaniel,4,0.8333333333333334,Probation,6,B,NA,F,D,F,D,F,0.14296912155283303,NA,-0.00217,-0.01610649797831456,-0.01928570109670627,-0.0443662474165727,-43,40,48,38
41,Doug Marrone,6,0.8,Probation,5,D,NA,NA,D,C,F,F,-0.16350977500528183,NA,NA,-0.010486753120540765,-0.005040582677271882,-0.167464315879155,-36.5,48,31,42
NA,Chip Kelly,4,NA,Incomplete,2,NA,NA,NA,NA,NA,F,D,NA,NA,NA,NA,NA,-0.140723529148086,-34.5,31,29,40
NA,Gary Kubiak,4,NA,Incomplete,2,NA,NA,NA,NA,NA,D,B,NA,NA,NA,NA,NA,-0.0584766163241305,-20,25,12,28
NA,Gus Bradley,4,NA,Incomplete,2,NA,NA,NA,NA,NA,F,F,NA,NA,NA,NA,NA,-0.234922348703848,-41,49,37,45
NA,Jeff Fisher,5,NA,Incomplete,2,NA,NA,NA,NA,NA,C,C,NA,NA,NA,NA,NA,-0.00694321466707253,-30,46,14,46
NA,Joe Philbin,4,NA,Incomplete,2,NA,NA,NA,NA,NA,D,D,NA,NA,NA,NA,NA,-0.0814806116675474,-30.5,36,28,33
NA,Lovie Smith,4,NA,Incomplete,2,NA,NA,NA,NA,NA,F,F,NA,NA,NA,NA,NA,-0.194103801998238,-40,45,32,48
NA,Mike McCoy,4,NA,Incomplete,2,NA,NA,NA,NA,NA,F,F,NA,NA,NA,NA,NA,-0.127272648123438,-42.5,47,50,35
NA,Rex Ryan,5,NA,Incomplete,2,NA,NA,NA,NA,NA,D,D,NA,NA,NA,NA,NA,-0.076199343974046,-33,39,25,41
NA,Tom Coughlin,4,NA,Incomplete,2,NA,NA,NA,NA,NA,F,D,NA,NA,NA,NA,NA,-0.104033265635445,-31,37,41,21
