side,caller,games,final,per_game
Offensive play-callers,Todd Monken,59,163.82491661786204,2.776693501997662
Offensive play-callers,Darrell Bevell,141,146.15007640376504,1.0365253645657095
Offensive play-callers,Todd Haley,104,121.56888442176621,1.1689315809785212
Offensive play-callers,Drew Petzing,51,89.36804392696773,1.7523145868032888
Offensive play-callers,Mike Kafka,51,76.44873786380107,1.4989948600745309
Offensive play-callers,Dirk Koetter,136,62.13899816677756,0.45690439828512913
Offensive play-callers,Joe Lombardi,57,53.78407675568354,0.9435802939593604
Offensive play-callers,Bill Musgrave,86,52.55845528395899,0.6111448288832441
Offensive play-callers,Dave Canales,51,42.77395095266215,0.8387049206404342
Offensive play-callers,Shane Waldron,60,42.17347208264503,0.7028912013774171
Offensive play-callers,Pat Shurmur,106,37.74392208888626,0.3560747366876062
Offensive play-callers,Brian Schottenheimer,116,35.98722847096988,0.31023472819801623
Offensive play-callers,Kellen Moore,117,29.484273402679516,0.2520023367750386
Offensive play-callers,Mike Shula,81,26.39691283815765,0.3258878128167611
Offensive play-callers,Frank Reich,114,14.940010172553585,0.13105272081187355
Offensive play-callers,Tim Kelly,50,14.518118022721602,0.29036236045443203
Offensive play-callers,Rob Chudzinski,56,1.6832427525482938,0.030057906295505248
Offensive play-callers,Chip Kelly,74,-2.923364737804949,-0.039504928889256066
Offensive play-callers,Hue Jackson,64,-3.0953696811871474,-0.04836515126854918
Offensive play-callers,Byron Leftwich,75,-11.253433707462992,-0.15004578276617322
Offensive play-callers,Pete Carmichael,50,-14.955793209888592,-0.2991158641977718
Offensive play-callers,Jim Bob Cooter,57,-15.405754614748453,-0.27027639674997284
Offensive play-callers,Chan Gailey,64,-23.89156291562209,-0.37330567055659514
Offensive play-callers,Zac Taylor,121,-28.995327444486286,-0.23963080532633294
Offensive play-callers,Pep Hamilton,57,-36.83794632323511,-0.6462797600567562
Offensive play-callers,Bill Lazor,77,-36.893722968134725,-0.479139259326425
Offensive play-callers,Mike McDaniel,68,-37.22635757751185,-0.5474464349634095
Offensive play-callers,Jon Gruden,53,-40.325872378931024,-0.7608655165836042
Offensive play-callers,Mike Sullivan,50,-46.48853882561217,-0.9297707765122434
Offensive play-callers,Brian Daboll,98,-66.51677465257872,-0.6787425984957012
Offensive play-callers,Dowell Loggains,63,-69.41074248904472,-1.1017578172864242
Offensive play-callers,Ben McAdoo,70,-75.23619884133873,-1.0748028405905534
Offensive play-callers,Marc Trestman,53,-75.82517876597196,-1.4306637503013577
Offensive play-callers,Doug Pederson,107,-90.52445024810594,-0.8460228995150088
Offensive play-callers,Randy Fichtner,48,-95.91483051316605,-1.9982256356909593
Offensive play-callers,Bruce Arians,96,-96.16736510652518,-1.001743386526304
Offensive play-callers,Matt Nagy,50,-96.37165618200028,-1.9274331236400055
Offensive play-callers,Gary Kubiak,89,-97.62589064822862,-1.0969201196430183
Offensive play-callers,Todd Downing,62,-100.43012058631939,-1.6198406546180546
Offensive play-callers,Marty Mornhinweg,75,-101.67090632747777,-1.3556120843663702
Offensive play-callers,Norv Turner,99,-103.11849040572794,-1.041600913189171
Offensive play-callers,Adam Gase,118,-115.5632328260705,-0.979349430729411
Offensive play-callers,Klint Kubiak,59,-131.25838137867228,-2.2247183284520724
Offensive play-callers,Kevin Stefanski,100,-172.73680767178962,-1.7273680767178963
Offensive play-callers,Bill O'Brien,113,-178.1152229366061,-1.5762409109434168
Offensive play-callers,Kevin O'Connell,79,-181.41617971531525,-2.2964073381685477
Offensive play-callers,Jay Gruden,101,-215.9902422096345,-2.1385172496003415
Offensive play-callers,Scott Turner,62,-266.77625508296666,-4.302842823918817
Offensive play-callers,Greg Olson,89,-280.7946021162143,-3.1549955293956664
Offensive play-callers,Nathaniel Hackett,99,-483.6068258053156,-4.884917432376925
