season,team,qb_epa_db,n_db
2012,ATL,0.222375756988095,664
2012,KC,-0.210779782894003,537
2012,NYJ,-0.18933572933564,554
2012,BUF,-0.0169613294218871,571
2012,CAR,0.140497064972809,559
2012,TB,0.0524159336562991,613
2012,BAL,0.027301908465008,608
2012,CIN,-0.00199368934397212,602
2012,NYG,0.0986379876846982,568
2012,DAL,0.124787313375545,703
2012,CHI,-0.0343213312008675,558
2012,IND,0.0579290584569311,696
2012,MIN,-0.00586497661612449,555
2012,JAX,-0.130388640590688,658
2012,MIA,-0.0490108531165906,554
2012,HOU,0.136591267035584,584
2012,TEN,-0.0645165451062715,616
2012,NE,0.271439585553864,670
2012,PHI,-0.0217809448207121,711
2012,CLE,-0.0775197214158871,617
2012,DEN,0.246747094209125,612
2012,PIT,0.0780398072354889,620
2012,LV,0.00200385440137905,664
2012,LAC,-0.0122604442839612,585
2012,SEA,0.215136141722818,488
2012,ARI,-0.275684352731358,676
2012,SF,0.168248577756164,514
2012,GB,0.198977305739391,644
2012,DET,0.0359951569344772,784
2012,LA,0.0181344469945176,608
2012,NO,0.143245045620862,697
2012,WAS,0.223557686953881,513
2013,LA,-0.0672834426283124,559
2013,ARI,-0.000969110986861636,622
2013,ATL,0.0395491951138942,710
2013,NO,0.218961014657338,699
2013,BAL,-0.0350672274334505,685
2013,DEN,0.359015066853287,696
2013,CHI,0.159759511414328,630
2013,CIN,0.0896285044598882,642
2013,GB,0.0917153846094734,648
2013,SF,0.148881840557949,503
2013,HOU,-0.128704450686615,681
2013,LAC,0.277157666509469,587
2013,JAX,-0.162582178757412,661
2013,KC,0.065879680865852,631
2013,CLE,-0.0806305010808119,750
2013,MIA,0.00270585851064669,663
2013,DET,0.0711800004256508,670
2013,MIN,-0.0738373620212852,627
2013,NE,0.107492651343967,669
2013,BUF,-0.134373989824865,607
2013,NYG,-0.118581486239511,613
2013,DAL,0.0746658694414632,632
2013,LV,-0.0474676884012893,600
2013,IND,0.0798995446583512,663
2013,PHI,0.172843953797685,593
2013,WAS,-0.0561012103247987,693
2013,CAR,0.117155597531818,551
2013,SEA,0.184400876421795,514
2013,TB,-0.0883191891068504,574
2013,NYJ,-0.110544591046083,561
2013,PIT,0.094857088519906,638
2013,TEN,0.1077211061137,609
2014,BUF,-0.0386878984715108,631
2014,CHI,-0.0550924912759257,675
2014,CAR,0.0477701516502457,619
2014,TB,-0.0677676558324705,603
2014,CIN,-0.0275712223629625,545
2014,BAL,0.104073893672053,577
2014,PIT,0.222923715820615,646
2014,CLE,-0.0441618481414224,550
2014,GB,0.297069747147779,594
2014,SEA,0.124680473307969,547
2014,IND,0.122853974407357,729
2014,DEN,0.185573250939145,627
2014,JAX,-0.215583977774684,652
2014,PHI,0.0399369459816954,672
2014,MIN,-0.0211849721616473,603
2014,LA,-0.0948953448012566,569
2014,NE,0.157848048280669,647
2014,MIA,0.0310832295700902,647
