pos_b,n,v,se,who,view,cur,cur_f
3rd,70,-5.6520649272043455,5.897852948293823,Ben Johnson,his signature package,succ,success rate (points of percentage)
4th-5th,33,16.16649696860522,8.853067560444906,Ben Johnson,his signature package,succ,success rate (points of percentage)
6th+,7,-17.56590047692292,18.572123906756335,Ben Johnson,his signature package,succ,success rate (points of percentage)
"1st snap
of the look",2259,4.739837931415721,0.9409847251937709,Shanahan,all of his plays,fd,first-down rate (points of percentage)
2nd,970,3.1501485108258414,1.4631965965955194,Shanahan,all of his plays,fd,first-down rate (points of percentage)
3rd,382,5.995871848139657,2.3755240874426757,Shanahan,all of his plays,fd,first-down rate (points of percentage)
4th-5th,293,2.8939020457681863,2.586555862235005,Shanahan,all of his plays,fd,first-down rate (points of percentage)
6th+,117,-0.15042341919638239,4.211990660911821,Shanahan,all of his plays,fd,first-down rate (points of percentage)
"1st snap
of the look",788,5.069783948624024,1.5429347318480324,Shanahan,his signature package,fd,first-down rate (points of percentage)
2nd,398,4.254901832470547,2.333256277039743,Shanahan,his signature package,fd,first-down rate (points of percentage)
3rd,145,13.907283783819059,4.0690955617435485,Shanahan,his signature package,fd,first-down rate (points of percentage)
4th-5th,100,3.5650690981179123,4.544530647034496,Shanahan,his signature package,fd,first-down rate (points of percentage)
6th+,10,-10.799115780868808,12.787247532958226,Shanahan,his signature package,fd,first-down rate (points of percentage)
"1st snap
of the look",1177,0.10767352987883295,1.2040597235856811,McVay,all of his plays,fd,first-down rate (points of percentage)
2nd,798,-1.799607503202859,1.561697261721798,McVay,all of his plays,fd,first-down rate (points of percentage)
3rd,572,4.932830063467125,1.971986931464881,McVay,all of his plays,fd,first-down rate (points of percentage)
4th-5th,672,0.9249111294956993,1.7006472689505554,McVay,all of his plays,fd,first-down rate (points of percentage)
6th+,821,1.4502971919903893,1.555356093261684,McVay,all of his plays,fd,first-down rate (points of percentage)
"1st snap
of the look",132,2.7397272752946367,3.642857929122801,McVay,his signature package,fd,first-down rate (points of percentage)
2nd,72,2.9585232266857027,5.748524324909384,McVay,his signature package,fd,first-down rate (points of percentage)
3rd,33,6.605300902412979,9.004571642967656,McVay,his signature package,fd,first-down rate (points of percentage)
4th-5th,32,-4.310077779246831,7.832842073384188,McVay,his signature package,fd,first-down rate (points of percentage)
6th+,18,22.001102935456295,12.57593286751896,McVay,his signature package,fd,first-down rate (points of percentage)
"1st snap
of the look",2400,4.147383815658702,0.9117696823349329,Ben Johnson,all of his plays,fd,first-down rate (points of percentage)
2nd,942,2.43365232813085,1.4662224905699208,Ben Johnson,all of his plays,fd,first-down rate (points of percentage)
3rd,412,4.150856282423691,2.1995052929059407,Ben Johnson,all of his plays,fd,first-down rate (points of percentage)
4th-5th,335,-1.0007580175313886,2.4162391539903454,Ben Johnson,all of his plays,fd,first-down rate (points of percentage)
6th+,163,3.767876567345403,3.6296650452124624,Ben Johnson,all of his plays,fd,first-down rate (points of percentage)
"1st snap
of the look",796,6.254856198898718,1.605059937177115,Ben Johnson,his signature package,fd,first-down rate (points of percentage)
2nd,254,2.0884080655449417,2.814715256120619,Ben Johnson,his signature package,fd,first-down rate (points of percentage)
