off_play_caller,season,H_vs_lg,primary_qb,H_next,primary_qb_next,qb_changed
Matt LaFleur,2023,-0.0117341985712515,J.Love,-0.0169269439640736,J.Love,FALSE
Matt LaFleur,2024,-0.0169269439640736,J.Love,-0.0234470051416121,J.Love,FALSE
Matt Nagy,2018,-0.0138415328837482,M.Trubisky,-0.0163449243508781,M.Trubisky,FALSE
Matt Nagy,2019,-0.0163449243508781,M.Trubisky,-0.0119024821846372,N.Foles,TRUE
Mike Kafka,2022,-0.0157726391824503,D.Jones,-0.00356525885842363,T.Taylor,TRUE
Mike LaFleur,2021,-0.0137909126478555,Z.Wilson,-0.0139749033726051,Z.Wilson,FALSE
Mike McCarthy,2015,-0.0120181959446464,A.Rodgers,-0.0266253495037947,A.Rodgers,FALSE
Mike McCarthy,2016,-0.0266253495037947,A.Rodgers,-0.0046372638277985,B.Hundley,TRUE
Mike McCarthy,2017,-0.0046372638277985,B.Hundley,-0.0121451993794509,A.Rodgers,TRUE
Mike McCarthy,2023,-0.0173642107590686,D.Prescott,0.00804854484252782,C.Rush,TRUE
Mike McDaniel,2022,-0.0262381831122452,T.Tagovailoa,-0.0166541599028123,T.Tagovailoa,FALSE
Mike McDaniel,2023,-0.0166541599028123,T.Tagovailoa,-0.00230732297729719,T.Tagovailoa,FALSE
Mike McDaniel,2024,-0.00230732297729719,T.Tagovailoa,-0.00326288063493418,T.Tagovailoa,FALSE
Mike Shula,2015,-0.0118183351803922,C.Newton,-0.000393640745904089,C.Newton,FALSE
Mike Shula,2016,-0.000393640745904089,C.Newton,-0.00726785840944366,C.Newton,FALSE
Nathaniel Hackett,2016,0.00249689351269078,B.Bortles,0.00438335333040851,B.Bortles,FALSE
Nathaniel Hackett,2017,0.00438335333040851,B.Bortles,-0.00845540938073885,B.Bortles,FALSE
Nathaniel Hackett,2022,-0.00341824631879561,R.Wilson,-0.00746741486125047,Z.Wilson,TRUE
Norv Turner,2015,-0.0393661810075171,T.Bridgewater,-0.0167028070950739,S.Bradford,TRUE
Norv Turner,2018,-0.00860760336023247,C.Newton,-0.0138316550762981,K.Allen,TRUE
Pat Shurmur,2016,-0.0181539384288651,S.Bradford,-0.014311756043601,C.Keenum,TRUE
Pat Shurmur,2017,-0.014311756043601,C.Keenum,-0.00990749746126651,E.Manning,TRUE
Pat Shurmur,2018,-0.00990749746126651,E.Manning,-0.012167505588408,D.Jones,TRUE
Pat Shurmur,2019,-0.012167505588408,D.Jones,0.00291614101441562,D.Lock,TRUE
Pat Shurmur,2020,0.00291614101441562,D.Lock,-0.00916068541374415,T.Bridgewater,TRUE
Pete Carmichael,2022,-0.00732670444062544,A.Dalton,-0.018372120171969,D.Carr,TRUE
Press Taylor,2023,-0.0219506896314399,T.Lawrence,-0.0223184482356327,T.Lawrence,FALSE
Randy Fichtner,2018,-0.0412467039990829,B.Roethlisberger,-0.00552179000839637,M.Rudolph,TRUE
Randy Fichtner,2019,-0.00552179000839637,M.Rudolph,-0.0199639718698562,B.Roethlisberger,TRUE
Rob Chudzinski,2015,-0.00449322727290313,M.Hasselbeck,-0.0192776008005818,A.Luck,TRUE
Rob Chudzinski,2016,-0.0192776008005818,A.Luck,-0.000358935277793182,J.Brissett,TRUE
Scott Linehan,2015,-0.0147267706422726,M.Cassel,-0.0171515148083431,D.Prescott,TRUE
Scott Linehan,2016,-0.0171515148083431,D.Prescott,-0.0190719572596311,D.Prescott,FALSE
Scott Linehan,2017,-0.0190719572596311,D.Prescott,-0.0120307551574834,D.Prescott,FALSE
Scott Turner,2020,-0.0201668221107006,A.Smith,-0.00745357928977841,T.Heinicke,TRUE
Scott Turner,2021,-0.00745357928977841,T.Heinicke,0.000956363749460176,T.Heinicke,FALSE
Sean McVay,2015,-0.00618211553705172,K.Cousins,-0.0230131452380428,K.Cousins,FALSE
Sean McVay,2016,-0.0230131452380428,K.Cousins,-0.00475073131271053,J.Goff,TRUE
Sean McVay,2017,-0.00475073131271053,J.Goff,-0.0224362267521195,J.Goff,FALSE
Sean McVay,2018,-0.0224362267521195,J.Goff,-0.0111242813364858,J.Goff,FALSE
Sean McVay,2019,-0.0111242813364858,J.Goff,-0.0159425047990215,J.Goff,FALSE
Sean McVay,2020,-0.0159425047990215,J.Goff,-0.0201966788970391,M.Stafford,TRUE
Sean McVay,2021,-0.0201966788970391,M.Stafford,0.00746547098420514,M.Stafford,FALSE
Sean McVay,2022,0.00746547098420514,M.Stafford,-0.0167955256801277,M.Stafford,FALSE
Sean McVay,2023,-0.0167955256801277,M.Stafford,-0.00100850339611347,M.Stafford,FALSE
Sean McVay,2024,-0.00100850339611347,M.Stafford,-0.0174017972288917,M.Stafford,FALSE
Sean Payton,2015,-0.0231473236616057,D.Brees,-0.0159484730546208,D.Brees,FALSE
Sean Payton,2016,-0.0159484730546208,D.Brees,-0.0132039146993956,D.Brees,FALSE
Sean Payton,2017,-0.0132039146993956,D.Brees,-0.0124866380052721,D.Brees,FALSE
Sean Payton,2018,-0.0124866380052721,D.Brees,-0.0182281166412817,D.Brees,FALSE
Sean Payton,2019,-0.0182281166412817,D.Brees,-0.00968525501883821,D.Brees,FALSE
Sean Payton,2020,-0.00968525501883821,D.Brees,-0.00490974602283589,J.Winston,TRUE
Sean Payton,2023,2.52840539499699e-05,R.Wilson,-0.0137568462553421,B.Nix,TRUE
Sean Payton,2024,-0.0137568462553421,B.Nix,-0.0229508294028077,B.Nix,FALSE
Shane Steichen,2019,-0.0231661169424373,P.Rivers,-0.0257184347627885,J.Herbert,TRUE
Shane Steichen,2020,-0.0257184347627885,J.Herbert,-0.00824694271232529,J.Hurts,TRUE
Shane Steichen,2021,-0.00824694271232529,J.Hurts,-0.0220213599534047,J.Hurts,FALSE
Shane Steichen,2022,-0.0220213599534047,J.Hurts,-0.0353016530937462,G.Minshew,TRUE
Shane Steichen,2023,-0.0353016530937462,G.Minshew,-0.00917197583695661,J.Flacco,TRUE
Shane Steichen,2024,-0.00917197583695661,J.Flacco,-0.0230413642428533,D.Jones,TRUE
Shane Waldron,2021,-0.0097115370992974,R.Wilson,-0.0109036464722866,G.Smith,TRUE
Shane Waldron,2022,-0.0109036464722866,G.Smith,-0.0255752874136194,G.Smith,FALSE
Shane Waldron,2023,-0.0255752874136194,G.Smith,-0.00965067884734494,C.Williams,TRUE
Steve Sarkisian,2017,-0.00410954592254043,M.Ryan,-0.0169848740294349,M.Ryan,FALSE
Terry Robiskie,2016,-0.00204744140589264,M.Mariota,0.00413430946892668,M.Mariota,FALSE
Thomas Brown,2023,-0.00169079567364472,B.Young,-0.0089649371830488,C.Williams,TRUE
Tim Kelly,2020,-0.0245210597259304,D.Watson,-0.000218189895416665,D.Mills,TRUE
Todd Downing,2021,-0.00655812032395553,R.Tannehill,-0.00824172886808372,R.Tannehill,FALSE
Todd Haley,2015,-0.00918196199548571,B.Roethlisberger,0.00523535077490589,B.Roethlisberger,FALSE
Todd Haley,2016,0.00523535077490589,B.Roethlisberger,-0.00487675869338311,B.Roethlisberger,FALSE
Todd Haley,2017,-0.00487675869338311,B.Roethlisberger,0.00795202265861217,B.Mayfield,TRUE
Todd Monken,2023,-0.030869210285615,L.Jackson,-0.011680878997435,L.Jackson,FALSE
Todd Monken,2024,-0.011680878997435,L.Jackson,-0.014681187283506,L.Jackson,FALSE
Zac Robinson,2024,-0.0384714763894004,K.Cousins,-0.0190034793753507,M.Penix,TRUE
Zac Taylor,2019,-0.00984913849048696,A.Dalton,-0.00996028895337542,J.Burrow,TRUE
Zac Taylor,2020,-0.00996028895337542,J.Burrow,-0.0182867558900344,J.Burrow,FALSE
Zac Taylor,2021,-0.0182867558900344,J.Burrow,-0.0420723794422762,J.Burrow,FALSE
Zac Taylor,2022,-0.0420723794422762,J.Burrow,-0.0195669741419222,J.Burrow,FALSE
Zac Taylor,2023,-0.0195669741419222,J.Burrow,-0.0398027927521515,J.Burrow,FALSE
Zac Taylor,2024,-0.0398027927521515,J.Burrow,-0.015743291485662,J.Burrow,FALSE
