mentor,hc_seasons,first_hc,hc_branches,coord_branches,branches,tree_points,branch_names,expected_branches,tree_resid
Mike Pettine,2,2014,1,2,3,5,"Jim O'Neil, John DeFilippo, Kyle Shanahan*",2.3059278545551702,2.6940721454448298
Mike Tomlin,19,2007,1,2,3,5,"Bruce Arians*, Dick LeBeau, Todd Haley",10.657636903197732,-5.657636903197732
Romeo Crennel,5,2005,1,2,3,5,"Brian Daboll*, Mel Tucker, Rob Chudzinski",3.0211065721730304,1.9788934278269696
Adam Gase,5,2016,1,1,2,4,"Matt Burke, Vance Joseph*",3.0211065721730304,0.9788934278269696
Al Groh,1,2000,1,1,2,4,"Dan Henning, Mike Nolan*",2.1073610008889694,1.8926389991110306
Anthony Lynn,4,2017,1,1,2,4,"Gus Bradley, Shane Steichen*",2.760954622734698,1.239045377265302
Bill Callahan,2,2002,1,1,2,4,"Chuck Bresnahan, Marc Trestman*",2.3059278545551702,1.6940721454448298
Bill O'Brien,7,2014,1,1,2,4,"Mike Vrabel*, Tim Kelly",3.617258944046352,0.38274105595364816
Bruce Arians,8,2013,1,1,2,4,"James Bettcher, Todd Bowles*",3.9580964783426658,0.04190352165733424
Butch Davis,4,2001,1,1,2,4,"Bruce Arians*, Terry Robiskie",2.760954622734698,1.239045377265302
Chris Palmer,2,1999,1,1,2,4,"Bob Slowik, Romeo Crennel*",2.3059278545551702,1.6940721454448298
Dennis Allen,6,2012,1,1,2,4,"Greg Olson, Klint Kubiak*",3.305771433283026,0.6942285667169741
Dom Capers,4,2002,1,1,2,4,"Chris Palmer, Vic Fangio*",2.760954622734698,1.239045377265302
Jason Garrett,9,2011,1,1,2,4,"Kellen Moore*, Rob Ryan",4.331049552770933,-0.3310495527709332
Jay Gruden,6,2014,1,1,2,4,"Joe Barry, Sean McVay*",3.305771433283026,0.6942285667169741
Jon Gruden,14,1999,0,4,4,4,"Chuck Bresnahan, Gus Bradley, Monte Kiffin, Willie Shaw",6.794023369343788,-2.7940233693437877
Matt Nagy,4,2018,1,1,2,4,"Sean Desai, Vic Fangio*",2.760954622734698,1.239045377265302
Mike Riley,3,1999,1,1,2,4,"Geep Chryst, Norv Turner*",2.5232047419356998,1.4767952580643002
Mike Tice,4,2002,1,1,2,4,"Scott Linehan*, Ted Cottrell",2.760954622734698,1.239045377265302
Robert Saleh,5,2021,1,1,2,4,"Jeff Ulbrich, Mike LaFleur*",3.0211065721730304,0.9788934278269696
Steve Spurrier,2,2002,1,1,2,4,"George Edwards, Marvin Lewis*",2.3059278545551702,1.6940721454448298
Tony Dungy,10,1999,0,4,4,4,"Clyde Christensen, Mike Shula, Monte Kiffin, Ron Meeks",4.739144265733423,-0.7391442657334233
Tony Sparano,4,2008,1,1,2,4,"Brian Daboll*, Mike Nolan",2.760954622734698,1.239045377265302
Andy Reid,28,1999,1,0,1,3,Sean McDermott*,23.96745445832589,-20.96745445832589
Bobby Petrino,1,2007,1,0,1,3,Mike Zimmer*,2.1073610008889694,0.8926389991110306
Brandon Staley,3,2021,1,0,1,3,Kellen Moore*,2.5232047419356998,0.47679525806430023
Dan Quinn,9,2015,1,0,1,3,Kyle Shanahan*,4.331049552770933,-1.3310495527709332
Dan Reeves,5,1999,1,0,1,3,Wade Phillips*,3.0211065721730304,-0.021106572173030358
Dave Campo,3,2000,1,0,1,3,Mike Zimmer*,2.5232047419356998,0.47679525806430023
Dennis Green,6,1999,0,3,3,3,"Clancy Pendergast, Foge Fazio, Sherman Lewis",3.305771433283026,-0.3057714332830259
Dick Jauron,9,1999,0,3,3,3,"Alex Van Pelt, Greg Blache, Perry Fewell",4.331049552770933,-1.3310495527709332
Dick Vermeil,6,1999,0,3,3,3,"Al Saunders, Gunther Cunningham, Mike Martz",3.305771433283026,-0.3057714332830259
Dirk Koetter,3,2016,1,0,1,3,Todd Monken*,2.5232047419356998,0.47679525806430023
Frank Reich,6,2018,1,0,1,3,Matt Eberflus*,3.305771433283026,-0.3057714332830259
Gregg Williams,3,2001,0,3,3,3,"Jerry Gray, Kevin Gilbride, Mike Sheppard",2.5232047419356998,0.47679525806430023
Jim Haslett,6,2000,1,0,1,3,Mike McCarthy*,3.305771433283026,-0.3057714332830259
Josh McDaniels,4,2009,0,3,3,3,"Don Martindale, Mike Nolan, Patrick Graham",2.760954622734698,0.23904537726530206
Matt LaFleur,8,2019,1,0,1,3,Jeff Hafley*,3.9580964783426658,-0.9580964783426658
Matt Rhule,3,2020,1,0,1,3,Joe Brady*,2.5232047419356998,0.47679525806430023
Mike Macdonald,3,2024,1,0,1,3,Klint Kubiak*,2.5232047419356998,0.47679525806430023
Mike Martz,6,2000,1,0,1,3,Lovie Smith*,3.305771433283026,-0.3057714332830259
Mike McCoy,4,2013,1,0,1,3,Frank Reich*,2.760954622734698,0.23904537726530206
Mike Sherman,6,2000,0,3,3,3,"Bob Slowik, Ed Donatell, Jim Bates",3.305771433283026,-0.3057714332830259
Sean McDermott,9,2017,1,0,1,3,Brian Daboll*,4.331049552770933,-1.3310495527709332
Tom Cable,2,2009,1,0,1,3,Hue Jackson*,2.3059278545551702,0.6940721454448298
Vince Tobin,2,1999,1,0,1,3,Marc Trestman*,2.3059278545551702,0.6940721454448298
Dennis Erickson,2,2003,0,2,2,2,"Greg Knapp, Ted Tollner",2.3059278545551702,-0.30592785455517024
George Seifert,3,1999,0,2,2,2,"Bill Musgrave, John Marshall",2.5232047419356998,-0.5232047419356998
Gunther Cunningham,2,1999,0,2,2,2,"Jimmy Raye, Kurt Schottenheimer",2.3059278545551702,-0.30592785455517024
Jim Caldwell,7,2009,0,2,2,2,"Joe Lombardi, Teryl Austin",3.617258944046352,-1.6172589440463518
Leslie Frazier,3,2011,0,2,2,2,"Alan Williams, Bill Musgrave",2.5232047419356998,-0.5232047419356998
Mike Mularkey,5,2004,0,2,2,2,"Jerry Gray, Mel Tucker",3.0211065721730304,-1.0211065721730304
Raheem Morris,5,2009,0,2,2,2,"Greg Olson, Zac Robinson",3.0211065721730304,-1.0211065721730304
Ray Rhodes,1,1999,0,2,2,2,"Emmitt Thomas, Sherman Lewis",2.1073610008889694,-0.10736100088896938
Rob Chudzinski,1,2013,0,2,2,2,"Norv Turner, Ray Horton",2.1073610008889694,-0.10736100088896938
Rod Marinelli,3,2006,0,2,2,2,"Joe Barry, Mike Martz",2.5232047419356998,-0.5232047419356998
Sean Payton,19,2006,0,2,2,2,"Dennis Allen, Gregg Williams",10.657636903197732,-8.657636903197732
Vance Joseph,2,2017,0,2,2,2,"Joe Woods, Mike McCoy",2.3059278545551702,-0.30592785455517024
Wade Phillips,6,1999,0,2,2,2,"Jason Garrett, Ted Cottrell",3.305771433283026,-1.305771433283026
Aaron Kromer,1,2012,0,1,1,1,Steve Spagnuolo,2.1073610008889694,-1.1073610008889694
Antonio Pierce,1,2024,0,1,1,1,Patrick Graham,2.1073610008889694,-1.1073610008889694
Art Shell,1,2006,0,1,1,1,Rob Ryan,2.1073610008889694,-1.1073610008889694
Arthur Smith,3,2021,0,1,1,1,Ryan Nielsen,2.5232047419356998,-1.5232047419356998
Ben McAdoo,2,2016,0,1,1,1,Steve Spagnuolo,2.3059278545551702,-1.3059278545551702
Brian Callahan,2,2024,0,1,1,1,Dennard Wilson,2.3059278545551702,-1.3059278545551702
Brian Flores,3,2019,0,1,1,1,Patrick Graham,2.5232047419356998,-1.5232047419356998
Bruce Coslet,2,1999,0,1,1,1,Dick LeBeau,2.3059278545551702,-1.3059278545551702
Cam Cameron,1,2007,0,1,1,1,Dom Capers,2.1073610008889694,-1.1073610008889694
Chan Gailey,4,1999,0,1,1,1,Dave Campo,2.760954622734698,-1.760954622734698
Dave McGinnis,3,2001,0,1,1,1,Larry Marmie,2.5232047419356998,-1.5232047419356998
David Culley,1,2021,0,1,1,1,Tim Kelly,2.1073610008889694,-1.1073610008889694
DeMeco Ryans,4,2023,0,1,1,1,Bobby Slowik,2.760954622734698,-1.760954622734698
Doug Pederson,8,2016,0,1,1,1,Jim Schwartz,3.9580964783426658,-2.9580964783426658
Freddie Kitchens,1,2019,0,1,1,1,Steve Wilks,2.1073610008889694,-1.1073610008889694
Hue Jackson,4,2011,0,1,1,1,Gregg Williams,2.760954622734698,-1.760954622734698
Jim Schwartz,5,2009,0,1,1,1,Scott Linehan,3.0211065721730304,-2.0211065721730304
Joe Gibbs,4,2004,0,1,1,1,Gregg Williams,2.760954622734698,-1.760954622734698
Joe Judge,2,2020,0,1,1,1,Patrick Graham,2.3059278545551702,-1.3059278545551702
Joe Philbin,4,2012,0,1,1,1,Bill Lazor,2.760954622734698,-1.760954622734698
Jonathan Gannon,3,2023,0,1,1,1,Drew Petzing,2.5232047419356998,-1.5232047419356998
Kliff Kingsbury,4,2019,0,1,1,1,Vance Joseph,2.760954622734698,-1.760954622734698
Lane Kiffin,2,2007,0,1,1,1,Rob Ryan,2.3059278545551702,-1.3059278545551702
Marty Mornhinweg,2,2001,0,1,1,1,Maurice Carthon,2.3059278545551702,-1.3059278545551702
Matt Eberflus,3,2022,0,1,1,1,Luke Getsy,2.5232047419356998,-1.5232047419356998
Matt Patricia,3,2018,0,1,1,1,Darrell Bevell,2.5232047419356998,-1.5232047419356998
Mike Holmgren,10,1999,0,1,1,1,John Marshall,4.739144265733423,-3.7391442657334233
Mike McDaniel,4,2022,0,1,1,1,Vic Fangio,2.760954622734698,-1.760954622734698
Mike Munchak,3,2011,0,1,1,1,Dowell Loggains,2.5232047419356998,-1.5232047419356998
Mike Singletary,2,2009,0,1,1,1,Greg Manusky,2.3059278545551702,-1.3059278545551702
Nathaniel Hackett,1,2022,0,1,1,1,Ejiro Evero,2.1073610008889694,-1.1073610008889694
Scott Linehan,3,2006,0,1,1,1,Jim Haslett,2.5232047419356998,-1.5232047419356998
Todd Haley,3,2009,0,1,1,1,Romeo Crennel,2.5232047419356998,-1.5232047419356998
Zac Taylor,8,2019,0,1,1,1,Lou Anarumo,3.9580964783426658,-2.9580964783426658
Aaron Glenn,2,2025,0,0,0,0,,2.3059278545551702,-2.3059278545551702
Ben Johnson,2,2025,0,0,0,0,,2.3059278545551702,-2.3059278545551702
Bobby Ross,2,1999,0,0,0,0,,2.3059278545551702,-2.3059278545551702
Brian Daboll,4,2022,0,0,0,0,,2.760954622734698,-2.760954622734698
Brian Schottenheimer,2,2025,0,0,0,0,,2.3059278545551702,-2.3059278545551702
Chip Kelly,4,2013,0,0,0,0,,2.760954622734698,-2.760954622734698
Dave Canales,3,2024,0,0,0,0,,2.5232047419356998,-2.5232047419356998
Dick LeBeau,2,2001,0,0,0,0,,2.3059278545551702,-2.3059278545551702
Greg Schiano,2,2012,0,0,0,0,,2.3059278545551702,-2.3059278545551702
Gus Bradley,4,2013,0,0,0,0,,2.760954622734698,-2.760954622734698
Jeff Hafley,1,2026,0,0,0,0,,2.1073610008889694,-2.1073610008889694
Jerod Mayo,1,2024,0,0,0,0,,2.1073610008889694,-2.1073610008889694
Jesse Minter,1,2026,0,0,0,0,,2.1073610008889694,-2.1073610008889694
Jim Tomsula,1,2015,0,0,0,0,,2.1073610008889694,-2.1073610008889694
Jim Zorn,2,2008,0,0,0,0,,2.3059278545551702,-2.3059278545551702
Jimmy Johnson,1,1999,0,0,0,0,,2.1073610008889694,-2.1073610008889694
Joe Brady,1,2026,0,0,0,0,,2.1073610008889694,-2.1073610008889694
Kellen Moore,2,2025,0,0,0,0,,2.3059278545551702,-2.3059278545551702
Kevin O'Connell,5,2022,0,0,0,0,,3.0211065721730304,-3.0211065721730304
Kevin Stefanski,7,2020,0,0,0,0,,3.617258944046352,-3.617258944046352
Klint Kubiak,1,2026,0,0,0,0,,2.1073610008889694,-2.1073610008889694
Liam Coen,2,2025,0,0,0,0,,2.3059278545551702,-2.3059278545551702
Marc Trestman,2,2013,0,0,0,0,,2.3059278545551702,-2.3059278545551702
Mike Ditka,1,1999,0,0,0,0,,2.1073610008889694,-2.1073610008889694
Mike LaFleur,1,2026,0,0,0,0,,2.1073610008889694,-2.1073610008889694
Pat Shurmur,4,2011,0,0,0,0,,2.760954622734698,-2.760954622734698
Shane Steichen,4,2023,0,0,0,0,,2.760954622734698,-2.760954622734698
Steve Wilks,1,2018,0,0,0,0,,2.1073610008889694,-2.1073610008889694
Todd Monken,1,2026,0,0,0,0,,2.1073610008889694,-2.1073610008889694
Urban Meyer,1,2021,0,0,0,0,,2.1073610008889694,-2.1073610008889694
Vic Fangio,3,2019,0,0,0,0,,2.5232047419356998,-2.5232047419356998
