off_caller,n,one_back,one_back_z,two_back,two_back_z,drive,drive_z
league,66265,0.13458035905577548,122.19133045311212,0.02280135523003811,23.36496734310666,0.023535372739644844,15.268472039072607
Kliff Kingsbury,2131,0.09514421609987861,10.415913387702611,0.01630833623788397,2.018601782542647,0.017569736803751623,1.8641375841893848
Arthur Smith,2763,0.23915564248675564,22.453373220823046,0.06212873231453819,7.471995203271396,-0.011059291581546282,-1.2338710972681002
Greg Roman,2100,0.15946999767885867,14.299913035217674,0.030530301668912296,3.0319185258888344,0.017035393287423428,1.9072737719482333
Ken Dorsey,1523,0.08160079769379666,7.640639505774592,0.03485444204785623,3.4793353995491705,0.032370644439753016,3.697641684209262
Luke Getsy,1666,0.1217428383071088,10.441455398261933,0.029262026764086624,2.843365160394477,-0.00786536299965146,-0.6979745334122075
Zac Taylor,2772,0.06555594697511817,10.300727695080889,0.007922339677664106,1.3488361200401644,0.015231637855097124,1.7862409492925864
Kevin Stefanski,2059,0.12763030159597938,12.242517267609767,0.018627800563477404,2.052020711221088,0.027461377353924843,2.871339759231904
Kellen Moore,2915,0.14580292741688836,20.974404203815126,0.020607123407304,3.4321149522044108,0.011798317506337752,1.5262372644286057
Nathaniel Hackett,1186,0.09550931182842326,8.054540962312066,0.03718287129574746,3.8923189010324024,0.03506516113082997,3.459778807575653
Ben Johnson,2909,0.04704592688831527,6.253665323954431,0.008352284826017048,1.1771912421631447,-0.004505334096163938,-0.5347168588266648
Matt LaFleur,2754,0.06326205391660819,9.849412147006703,0.03164215377315735,5.091279767040486,-0.0026627394774830226,-0.31061204682316407
Andy Reid,2952,0.009060219118867119,1.2871178404392076,0.0017611418892636566,0.22017524488165838,-0.00568795251302967,-0.609478496348964
Sean McVay,2754,0.1813569236091493,35.13723604188165,0.041550185024577115,9.68955019244954,0.056131580742312115,9.523436211234815
Josh McDaniels,1676,0.07211004613597277,6.398947073869297,0.02475384286269472,2.379948059161979,0.018153558016386406,1.7186404293922282
Mike McDaniel,2587,0.17710666261820684,19.728055745694476,0.016548673594308116,2.212511082145733,0.015425942914840118,1.6077162097564626
Kevin O'Connell,2703,0.13844065207890302,20.228010838767595,0.015646051901220676,2.562976233969284,0.005685694908938277,0.6926390916395538
Pete Carmichael,1391,0.026249379197268607,1.8870877344228847,0.025439565946757225,2.3092203723334594,0.02623241061018533,2.431643386805392
Mike Kafka,2076,0.17355438879350826,20.947230378318316,0.03941930903303317,5.809167384000966,0.016750974656019935,1.9337205414776861
Shane Steichen,2769,0.06831717269730798,12.992676681670929,0.006691118354725301,1.15479525670431,0.020407929153079263,2.5710698993216785
Shane Waldron,1687,0.12041825917527063,12.387729050559244,0.021072837713731613,2.178319146608165,0.02582676750846402,2.8845924367756894
Kyle Shanahan,2745,0.11415413321740375,17.150818870962805,0.0260733553680505,3.461137291137132,0.051912152498624686,6.274874437335139
Klint Kubiak,1569,0.10322675510131735,8.03379296260419,0.01429177346849414,1.2817490845800603,0.016668632776840275,1.5056456530039237
Drew Petzing,2024,0.06338536228073607,7.559334073016294,0.03766129015796699,4.315947547583442,0.02251114374802865,2.241000041709508
Todd Monken,1969,0.09565363351564732,8.687089080479788,0.03847749420182467,3.5446241367809286,0.020138802468372963,2.048775813018392
Mike McCarthy,1395,0.06126324373988373,4.827421190665688,0.023637398197954018,2.242511715356258,-0.0036368229108736383,-0.36491891873135845
Sean Payton,2011,0.041958030969014515,3.9674060622516247,0.020984767381035718,2.4131806144270205,0.010630050635296429,1.151468408929217
Bobby Slowik,1362,0.10629396870632316,10.105007858885086,0.009102385224470072,0.984683609920234,0.010453071100312239,1.0797102883430254
Press Taylor,1348,0.031127693103510906,3.4211390774253787,0.011324701922399982,1.2768348256778037,0.011802019049360124,1.0376001549041964
Dave Canales,1937,0.08571035149469416,10.208093137318071,0.02007356516901826,2.393228852664187,0.026110120756107302,2.771023308798224
Joe Brady,1736,0.10403799467123914,8.946397733250892,0.032339794216537265,3.024834688365043,0.007684619670051296,0.7851024350856057
Zac Robinson,1394,0.3318041078988152,32.183883329033044,0.08758240284321957,10.290898232445606,0.06246230626477861,6.486465991757805
Liam Coen,1402,0.03189963093378659,3.411157160539977,-7.736855664051967e-4,-0.08903353511907598,3.206867235542865e-4,0.03085575023459324
