season,team,avail_off,avail_def
2013,ARI,0.890437048917402,0.9169092169092169
2013,ATL,0.8684086629001883,0.9530526315789474
2013,BAL,0.7822936357908006,0.9796830556684274
2013,BUF,0.8171830366952317,0.8663686040735219
2013,CAR,0.88234322068908555,0.8366476542829248
2013,CHI,0.9548546112567079,0.7838753387533878
2013,CIN,0.90292747837658,0.8268869191512223
2013,CLE,0.8533490319204603,0.9173295454545451
2013,DAL,0.9379552377168587,0.8157800657800657
2013,DEN,0.955424932647563,0.8022542350273439
2013,DET,0.8769871794871794,0.9303995006242197
2013,GB,0.792773451713849,0.8279315621087774
2013,HOU,0.7825313453066758,0.8073971761817066
2013,IND,0.8661259012756518,0.866612700125922
2013,JAX,0.574054170249355,0.9230176211453746
2013,KC,0.8734628466771325,0.8927815410668924
2013,MIA,0.7811860940695298,0.9830917874396136
2013,MIN,0.8431948524269129,0.8003011662181212
2013,NE,0.8564456721915286,0.7176997759522031
2013,NO,0.9538873462911542,0.8935028248587571
2013,NYG,0.7945116681071737,0.8783746556473829
2013,NYJ,0.86826458565589,0.9867065127782357
2013,OAK,0.805502468545947,0.9307879307879308
2013,PHI,0.9288632326820605,0.958483645983646
2013,PIT,0.9040637860082307,0.9003211991434691
2013,SD,0.8887520525451559,0.8063829787234043
2013,SEA,0.8707116104868916,0.9205563413484206
2013,SF,0.9201154279279281,0.8706885071247839
2013,STL,0.7587216704863765,0.8869286287089012
2013,TB,0.6214245849030277,0.9517712745475548
2013,TEN,0.7887925371173301,0.9200961674444916
2013,WAS,0.9394747235387046,0.9438566115172501
2014,ARI,0.9166366654666187,0.9269561384174563
2014,ATL,0.7180835702424705,0.8635734463580623
2014,BAL,0.8733062330623304,0.8309246309246311
2014,BUF,0.7919717341524587,0.91857322191562
2014,CAR,0.7627012194689544,0.7676209013508632
2014,CHI,0.7755876469838293,0.761231211119461
2014,CIN,0.8313855733900651,0.8805206745229
2014,CLE,0.8521483965625654,0.8669391659781709
2014,DAL,0.8976767147865644,0.88042245623848
2014,DEN,0.8791863797778992,0.8608331087215467
2014,DET,0.8450635667163086,0.8113564906868191
2014,GB,0.9842239445237609,0.9147181697547803
2014,HOU,0.9190542512269534,0.9358832224685883
2014,IND,0.8220936045409625,0.8782637882358673
2014,JAX,0.6612878128384612,0.6750609926102884
2014,KC,0.8399500959492457,0.7725703562408035
2014,MIA,0.8814583380835374,0.8551104870630413
2014,MIN,0.653710436904623,0.903710352514659
2014,NE,0.8180766732670633,0.7527764461750349
2014,NO,0.9053676310198013,0.8094104285629005
2014,NYG,0.8050087372398739,0.6834616055918991
2014,NYJ,0.8194276169065325,0.886117269627614
2014,OAK,0.8497830802603036,0.7040691119144293
2014,PHI,0.7593239287566392,0.8975828454545157
2014,PIT,0.8661528172918018,0.7482983333395903
2014,SD,0.8329412950065177,0.8790971948925667
2014,SEA,0.7378465381974169,0.8668967352168573
2014,SF,0.8383015042264496,0.7362745752306487
2014,STL,0.8047688160895708,0.9692109052987038
2014,TB,0.8152429491204098,0.6828423484774246
2014,TEN,0.6778317579923766,0.7098648910018843
2014,WAS,0.8783663740965891,0.7195921292290369
