motion,cov,n,epa,se,lo,hi,mot
0,Against zone coverage,20970,0.06718332677758496,0.010163888713973444,0.047262104898197,0.08710454865697291,No motion
1,Against zone coverage,18543,0.06437868285823499,0.010944177148152354,0.04292809564785638,0.0858292700686136,With motion
1,Against man coverage,11336,0.070400349761973,0.01625569888908731,0.03853917993936187,0.10226151958458413,With motion
0,Against man coverage,12803,0.04541576621740199,0.01467126372435842,0.016660089317659485,0.07417144311714449,No motion
