"head_coach","primary_qb","seasons","wins_draft","wins_prior_epa","delta_wins"
"Jim Tomsula","Blaine Gabbert",1,-1.07266915961606,-1.16810261966387,-0.0954334600478057
"Ron Rivera","Cam Newton",13,0.0237024933008835,-0.0692807524327905,-0.092983245733674
"Jim Zorn","Jason Campbell",2,-0.4458745886457,-0.535895606671013,-0.0900210180253139
"Brian Schottenheimer","Dak Prescott",1,-0.173991199744832,-0.2546781158232,-0.0806869160783684
"Rich Bisaccia","Derek Carr",1,-0.378213252361855,-0.45262241567373,-0.0744091633118747
"Dan Reeves","Doug Johnson",1,-0.746501806242778,-0.817930126512887,-0.0714283202701089
"Mike Pettine","Brian Hoyer",2,-0.846513808997689,-0.907759497094212,-0.0612456880965233
"Anthony Lynn","Philip Rivers",4,0.924596281907761,0.86564108322631,-0.0589551986814512
"Jon Gruden","Derek Carr",9,-0.189549836020427,-0.246093520089555,-0.056543684069128
"Sean McVay","Matthew Stafford",9,1.64649934059127,1.59046110290906,-0.0560382376822091
"Sean McDermott","Josh Allen",9,2.45820721908895,2.41770977123125,-0.0404974478577071
"Mike Vrabel","Ryan Tannehill",7,1.19985283078807,1.17376240194868,-0.0260904288393951
"Marc Trestman","Jay Cutler",2,-0.623136658047576,-0.646895413180899,-0.0237587551333229
"Steve Spagnuolo","Sam Bradford",3,-2.42623625075856,-2.43947307247567,-0.0132368217171179
"Marvin Lewis","Andy Dalton",16,0.581624875707845,0.580246253588401,-0.00137862211944406
"Steve Spurrier","Patrick Ramsey",1,-0.567201416643639,-0.565958739942035,0.00124267670160405
"Todd Bowles","Baker Mayfield",8,-0.054257209524483,-0.0453393593758854,0.00891785014859756
"Jeff Fisher","Vince Young",13,-0.222657224797098,-0.212387635789095,0.0102695890080026
"Ben Johnson","Caleb Williams",1,0.281594604330053,0.295238612201028,0.0136440078709744
"Mike Mularkey","Marcus Mariota",5,-0.381153780148269,-0.36318762886563,0.01796615128264
"Tom Coughlin","Eli Manning",12,0.580070754764312,0.613495128301645,0.0334243735373323
"Matt Rhule","Teddy Bridgewater",2,-0.758159934902354,-0.712905238029702,0.0452546968726516
"Chuck Pagano","Andrew Luck",6,0.0559466793808918,0.104802846487359,0.0488561671064675
"Dirk Koetter","Jameis Winston",3,-0.557154235347158,-0.496648458943335,0.0605057764038228
"Dick Jauron","Trent Edwards",5,-0.285540606993544,-0.224780680516861,0.0607599264766827
"Jim Fassel","Kerry Collins",1,-1.0516819119513,-0.985731092931215,0.065950819020085
"Dave Wannstedt","A.J. Feeley",2,0.404581659266148,0.472455037702078,0.0678733784359301
"Arthur Smith","Matt Ryan",3,-0.848428501396637,-0.770458786482767,0.0779697149138697
"Dennis Green","Josh McCown",3,-0.533162645110095,-0.455123311268575,0.0780393338415195
"Cam Cameron","Cleo Lemon",1,-1.1740615941064,-1.09264872196277,0.0814128721436251
"Freddie Kitchens","Baker Mayfield",1,-0.467582395458229,-0.373921461043357,0.0936609344148726
"Rob Chudzinski","Jason Campbell",1,-0.619294609119893,-0.518343760147113,0.10095084897278
"Jim Mora","Mike Vick",4,-0.282182177407991,-0.165943986408665,0.116238190999326
"Matt Patricia","Matthew Stafford",3,-1.1629453451241,-1.04431781936677,0.118627525757334
"Ben McAdoo","Eli Manning",2,-0.681730203546934,-0.554601110989903,0.127129092557031
"Jonathan Gannon","Kyler Murray",3,-0.909225666885533,-0.76703201018256,0.142193656702973
"Dave McGinnis","Jeff Blake",1,-1.61757633742791,-1.46325781130444,0.154318526123476
"Lane Kiffin","Daunte Culpepper",1,-0.941848428739423,-0.782447757481236,0.159400671258187
"Aaron Glenn","Justin Fields",1,-1.42228889830951,-1.25800795689729,0.164280941412224
"Dennis Allen","Derek Carr",5,-0.689721972489905,-0.522305465337526,0.167416507152379
"Joe Judge","Daniel Jones",2,-1.38383021837985,-1.20996662761538,0.173863590764473
"Gregg Williams","Drew Bledsoe",2,-0.361812036475539,-0.179952777445553,0.181859259029987
"Doug Marrone","Blake Bortles",6,-0.265611958810608,-0.0720727481012605,0.193539210709347
"Kyle Shanahan","Jimmy Garoppolo",9,1.67189388454954,1.87561435613268,0.203720471583138
"Matt Eberflus","Justin Fields",3,-0.675208964312773,-0.447714613089542,0.22749435122323
"Raheem Morris","Josh Freeman",6,-1.08714086358857,-0.859590097573802,0.22755076601477
"Kevin Stefanski","Baker Mayfield",6,-0.802096257975457,-0.565701737799115,0.236394520176342
"Zac Taylor","Joe Burrow",7,-0.114342693785103,0.12236137883138,0.236704072616483
"Bobby Petrino","Joey Harrington",1,-1.2269677164723,-0.983303343038837,0.243664373433467
"Frank Reich","Andrew Luck",6,0.153472375707689,0.399765105686636,0.246292729978947
"Steve Mariucci","Joey Harrington",3,-1.28268344259991,-1.0216183963318,0.261065046268107
"Adam Gase","Sam Darnold",5,-1.71931382067267,-1.45781156498461,0.26150225568806
"Tom Cable","JaMarcus Russell",3,-1.45021816990944,-1.17541468741522,0.274803482494219
"Matt Nagy","Mitchell Trubisky",4,0.499613786389725,0.802252058080011,0.302638271690286
"Dom Capers","David Carr",3,-1.55037948657467,-1.23507484181205,0.315304644762615
"Greg Schiano","Josh Freeman",2,-0.224325112105948,0.134806549741749,0.359131661847697
"Dave Canales","Bryce Young",2,-1.56891763951295,-1.18949080752978,0.379426831983162
"Leslie Frazier","Christian Ponder",3,-0.418795498462636,-0.035265398450755,0.383530100011881
"Kliff Kingsbury","Kyler Murray",4,-0.248228938014017,0.138822250271583,0.3870511882856
"Tony Sparano","Chad Henne",5,-0.447100582143624,-0.0489750257168185,0.398125556426806
"Ken Whisenhunt","Kurt Warner",8,-0.749706695972447,-0.314563314516625,0.435143381455823
"Jim Caldwell","Matthew Stafford",7,0.236815102096861,0.678772048694597,0.441956946597736
"Pat Shurmur","Eli Manning",4,-1.0332664960106,-0.557670186186258,0.475596309824343
"Brian Daboll","Daniel Jones",4,-1.14882824101868,-0.580238763347365,0.568589477671313
"Gus Bradley","Blake Bortles",4,-1.98032089325491,-1.41152415231023,0.568796740944682
"Bill Callahan","Case Keenum",2,-1.77197850966404,-1.18228967931387,0.589688830350173
"Nick Saban","Gus Frerotte",2,0.124937747185389,0.869565077585326,0.744627330399937
"Jim Schwartz","Matthew Stafford",5,-0.75678620105274,0.149477058443365,0.906263259496105
"Brian Callahan","Cam Ward",2,-1.80470859430067,-0.842821593745442,0.961887000555226
"Rod Marinelli","Jon Kitna",3,-1.88072288061688,-0.811397902848882,1.069324977768
"Robert Saleh","Zach Wilson",4,-1.48290885654287,-0.405161972921448,1.07774688362142
"Steve Wilks","Josh Rosen",2,-1.33029502152578,-0.0780997041790349,1.25219531734675
"Hue Jackson","DeShone Kizer",3,-2.11752670896413,-0.551448698019768,1.56607801094436
"Mike Nolan","Alex Smith",3,-2.24374545853631,-0.550432057822846,1.69331340071347
