off_play_caller,season,H_situ_m,n_look,H_look,presnap_tip
Kevin Stefanski,2021,0.8490231931997286,853,0.8351324088847111,0.013890784315017557
Kevin Stefanski,2022,0.8451299655373123,941,0.832158841463192,0.012971124074120377
Kevin Stefanski,2023,0.8349653418509647,953,0.8111401983722182,0.023825143478746535
Kevin Stefanski,2024,0.8027090567215993,354,0.781528963933187,0.021180092788412264
Kevin Stefanski,2025,0.799433762386488,374,0.7869749422353165,0.012458820151171501
Kliff Kingsbury,2019,0.8423140328099856,809,0.829391870589735,0.012922162220250666
Kliff Kingsbury,2020,0.8223790445399647,906,0.8044214397410043,0.017957604798960358
Kliff Kingsbury,2021,0.8381839129160816,864,0.8205465018265629,0.017637411089518773
Kliff Kingsbury,2022,0.8134866508636567,930,0.7979237567330516,0.015562894130605076
Kliff Kingsbury,2024,0.8178203710158337,1006,0.7923454798610815,0.02547489115475221
Kliff Kingsbury,2025,0.8363260077579532,750,0.815478659060427,0.020847348697526136
Klint Kubiak,2021,0.8342028803101926,933,0.819648019244344,0.014554861065848579
Klint Kubiak,2022,0.8511836873369054,396,0.8408867358200787,0.010296951516826747
Klint Kubiak,2024,0.8477335654338356,801,0.8286901557144146,0.01904340971942098
