coach,seasons,eligible,war_main,rank_main,war_rep_average,war_rep_one_and_done,war_rep_first_all,war_talent_contract_only,war_talent_contract_qbepa,war_talent_madden_2017,pd_effect_ppg,war_rep_no_franchise_term,war_rep_team_from_yr3plus,war_rep_leave_one_spell_out,war_talent_same_season_qb,war_prev_team_wat,war_talent_plus_madden_2017,war_talent_new_starter,war_tau_low,prob_above_avg_tau_low,war_tau_high,rank_war_rep_average,rank_war_rep_one_and_done,rank_war_rep_first_all,rank_war_talent_contract_only,rank_war_talent_contract_qbepa,rank_war_talent_madden_2017,rank_pd_effect_ppg,rank_war_talent_same_season_qb,rank_war_prev_team_wat,rank_war_talent_plus_madden_2017,rank_war_talent_new_starter,rank_war_tau_low,rank_war_tau_high,war_rep_no_returnee,war_rep_era,rank_war_rep_era,rank_war_rep_no_returnee
Kellen Moore,1,FALSE,0.0850116100850233,,-0.101324684010106,1.61099831114615,0.146973988562067,-0.00147353066529776,0.00771351335482215,-0.27359209646737,-0.0691515828219684,0.250287913611473,0.264002990488792,0.0907951849400973,-0.0915789364193754,-0.0840881646538451,-0.0215623961230377,0.149319182856562,0.225899515094146,0.472442739729547,-0.0976628082381568,,,,,,,,,,,,,,-0.128106561947375,0.351757757662943,,
Ken Whisenhunt,3,FALSE,-0.562683361440854,,-0.749019655535983,0.963303339620275,-0.50072098296381,-0.964546963607949,-0.700855615275433,,-0.33562360051896,-0.397407057914404,-0.383691981037085,-0.55689978658578,-0.332816077375715,-0.737278998901683,-0.717457521954456,-0.397898649121745,0.0533642142481961,0.303722902902635,-1.33037557032027,,,,,,,,,,,,,,-0.775801533473252,-0.832096970494553,,
Kevin O'Connell,4,TRUE,0.683860268340411,13,0.497523974245282,2.20984696940154,0.745822646817455,1.00880042317564,0.720782277775005,0.716949695079729,0.0602477531264191,0.849136571866861,0.86285164874418,0.689643843195485,0.492047960673132,0.610288184650528,0.549646981343706,0.649688346448042,0.375798849255054,0.624354188632508,1.16916249741046,13,13,13,13,14,9,27,2,11,12,12,13,12,0.470742096308013,0.950606415918331,8,13
Kevin Stefanski,6,TRUE,0.122343152163868,33,-0.0639931419312613,1.648329853225,0.184305530640911,-0.0692972296435546,0.00789999566935629,-0.481974926141964,-0.205915816068221,0.287619455690317,0.301334532567637,0.128126727018942,0.152171597719008,-0.103605611446991,-0.0574077565179203,0.103472137553716,0.249070774169402,0.495616053263011,-0.12267525824707,33,33,33,38,35,38,47,19,35,35,35,32,36,-0.09077501986853,0.389089299741787,22,33
Kliff Kingsbury,4,TRUE,0.0982736214933421,35,-0.0880626726017871,1.62426032255447,0.160235999970386,0.158620405162311,0.0680116506467105,-0.155101560912534,0.0266851114463489,0.263549925019792,0.277265001897111,0.104057196348416,-0.27582061278197,-0.103310249307028,-0.0511267174399002,0.112341146958281,0.225042272652312,0.470912264298505,-0.0516278431900197,35,35,35,33,34,27,29,36,34,33,34,33,34,-0.114844550539056,0.365019769071262,23,35
Kyle Shanahan,9,TRUE,0.539831977950766,19,0.353495683855637,2.06581867901189,0.601794356427809,0.655754729749968,0.450589741098279,0.00246609668522812,0.327985263168163,0.705108281477215,0.718823358354535,0.54561555280584,-0.365512031182729,0.445674718064672,0.247864783818743,0.552775621628277,0.343732018597017,0.594431495951434,0.766994144100029,19,19,19,19,23,20,8,41,16,23,15,19,20,0.326713805918368,0.691429721419881,15,19
Leslie Frazier,2,FALSE,0.231556567339164,,0.0452202732440343,1.75754326840029,0.293518945816207,-0.0231971674955651,0.175795456369122,,-0.0281286450922907,0.396832870865613,0.410547947742933,0.237340142194238,0.105021406186099,-0.223841125754808,0.121146126710637,0.183100523690602,0.256356364707314,0.503132801969147,0.312399862046178,,,,,,,,,,,,,,0.0184383953067656,-0.0378570417145359,,
Liam Coen,1,FALSE,0.633341142944945,,0.447004848849816,2.15932784400607,0.695303521421989,1.02725801557077,0.768313229406077,1.02533464309591,0.236255101494581,0.798617446471395,0.812332523348714,0.639124717800019,0.222706860483319,0.5188379514372,0.615401712405973,0.573060170473677,0.361290290193269,0.607501232980032,1.0754020586659,,,,,,,,,,,,,,0.420222970912548,0.900087290522865,,
Lovie Smith,4,TRUE,-0.303491345356833,49,-0.489827639451962,1.2224953557043,-0.24152896687979,-0.349760899303192,-0.380470421282551,-0.296922323636296,-0.250865321000237,-0.138215041830384,-0.124499964953064,-0.297707770501759,-0.278931416009647,-0.709780534676867,-0.347739520078487,-0.257394834470434,0.111741874004649,0.356721255209555,-0.731546043083408,49,49,49,45,48,33,48,37,50,45,49,49,48,-0.516609517389231,-0.432678556522263,47,49
Marc Trestman,2,FALSE,0.114284300648029,,-0.0720519934471004,1.64027100170916,0.176246679125072,0.272307338074203,0.209486246201933,,-0.148388699358983,0.279560604174478,0.293275681051798,0.120067875503103,-0.304823489465887,-0.0751541542652826,-0.0671490831418311,0.0951581448850513,0.233765692215312,0.48019496460948,-0.0194665929190507,,,,,,,,,,,,,,-0.0988338713843691,-0.155129308405671,,
Marvin Lewis,7,TRUE,0.559093979302772,18,0.372757685207643,2.0850806803639,0.621056357779816,0.656119193370898,0.565656330158283,-0.236605634148651,0.158289839126994,0.724370282829221,0.738085359706541,0.564877554157846,0.192874667237382,0.219411707255324,0.47535490411155,0.461104876612359,0.363884918667592,0.614090597490968,0.775143326707268,18,18,18,18,17,30,15,14,23,15,19,17,19,0.345975807270374,0.289680370249073,27,18
Matt Eberflus,3,FALSE,-0.0996114129192813,,-0.285947707014411,1.42637528814185,-0.0376490344422378,-0.308157787567489,-0.175162899036231,-0.611186292283584,0.0424290645045587,0.0656648906071681,0.0793799674844878,-0.0938278380642072,-0.1732052365659,-0.270914969178196,-0.134400406247389,-0.0616714126908859,0.174957121417509,0.420269817085631,-0.403705030636781,,,,,,,,,,,,,,-0.312729584951679,0.167134734658638,,
Matt LaFleur,7,TRUE,0.651204825187253,14,0.464868531092124,2.17719152624838,0.713167203664297,1.17623792320075,0.781919531613142,1.07432359430162,0.104595501965695,0.816481128713703,0.830196205591022,0.656988400042327,-0.259127121731502,0.554230738201836,0.489176132597854,0.584466802627792,0.371177753520104,0.621513998335528,1.03975575802362,14,14,14,10,12,5,19,33,13,14,14,14,14,0.438086653154855,0.917950972765173,9,14
Matt Nagy,4,TRUE,0.453790034618918,21,0.267453740523789,1.97977673568005,0.515752413095961,0.375876214908095,0.384873039278322,0.251096295140775,0.022742585666792,0.619066338145367,0.632781415022687,0.459573609473992,0.321530847491857,0.319405604514747,0.352737492517732,0.417682489817322,0.324134009998712,0.572650147528976,0.624237777976427,21,21,21,30,24,16,30,9,20,20,21,22,21,0.24067186258652,0.588558395949054,16,21
Matt Patricia,3,FALSE,-0.474054946158866,,-0.660391240253995,1.05193175490226,-0.412092567681822,-0.658146618037883,-0.516565973411779,-0.560319939628142,-0.311978903917187,-0.308778642632416,-0.295063565755097,-0.468271371303792,-0.699652304665405,-0.74241667381911,-0.423198929660195,-0.408602949731544,0.0817099507296259,0.330281627153438,-1.1880888564969,,,,,,,,,,,,,,-0.687173118191264,-0.406810103374107,,
Matt Rhule,2,FALSE,-0.136503198722662,,-0.322839492817792,1.38948350233847,-0.074540820245619,-0.384218231554677,-0.182814429007553,-0.408835320062432,-0.0380578188067204,0.0287731048037869,0.0424881816811066,-0.130719623867588,-0.181624593698918,-0.318631619239922,-0.179803802321846,-0.128507330316294,0.170162377871642,0.416173797125608,-0.53274467679685,,,,,,,,,,,,,,-0.34962137075506,0.130242948855257,,
Mike Macdonald,2,FALSE,0.738566934938203,,0.552230640843074,2.26455363599933,0.800529313415246,1.09456099532409,0.818205827006886,0.909018254514627,0.260383961577634,0.903843238464652,0.917558315341972,0.744350509793277,0.482443805492129,0.67876923967321,0.63423621500911,0.626047712430544,0.378320266609341,0.62500764637508,1.40943699079414,,,,,,,,,,,,,,0.525448762905805,1.00531308251612,,
Mike McCarthy,12,TRUE,0.348012161430623,24,0.161675867335494,1.87399886249175,0.409974539907666,0.553126458688588,0.453350945524583,-0.11959707710083,0.0650357901866646,0.513288464957072,0.527003541834392,0.353795736285697,-0.215421434088225,0.141068160785132,0.208979186916635,0.304613758067875,0.268072712184755,0.516030501125641,0.570660447881952,24,24,24,25,22,26,26,31,25,24,26,26,23,0.134893989398225,0.313168445903257,25,24
Mike McCoy,4,TRUE,-0.231265540877224,46,-0.417601834972353,1.29472116018391,-0.16930316240018,-0.252631993486004,-0.231646532757504,,-0.0288829717042124,-0.0659892373507742,-0.0522741604734545,-0.22548196602215,-0.862150741051356,-0.446667869916666,-0.368192969415443,-0.213237224911028,0.13519697105618,0.380186443286721,-0.609775581406148,46,46,46,43,45,,35,50,46,47,48,45,46,-0.444383712909621,-0.500679149930923,49,46
Mike McDaniel,4,TRUE,0.0160334975480762,37,-0.170302796547053,1.5420201986092,0.0779958760251197,0.18158873260643,-0.0316068245861152,-0.229528324568211,-0.0919377906065482,0.181309801074526,0.195024877951845,0.0218170724031503,-0.604997761561628,-0.178038529253641,-0.17878989150976,-0.0158254085728808,0.203382080115788,0.44865068207361,-0.150586404661197,37,37,37,32,37,29,38,47,38,40,41,37,37,-0.197084674484322,0.282779645125996,28,37
Mike Mularkey,3,FALSE,0.32363171309323,,0.1372954189981,1.84961841415436,0.385594091570273,0.427021941612846,0.295635541479885,0.00617716299574951,-0.0644314142100666,0.488908016619679,0.502623093496999,0.329415287948304,0.17880959920191,0.49964637085577,0.0381555534740335,0.220169645490543,0.289910114348772,0.537506020825969,0.34264205787888,,,,,,,,,,,,,,0.110513541060832,0.0542181040395303,,
Mike Munchak,2,FALSE,0.0842638763978348,,-0.102072417697294,1.61025057745896,0.146226254874878,0.0153621246855724,0.00372904428111628,,-0.12772912743711,0.249540179924284,0.263255256801604,0.0900474512529089,-0.272013439851141,-0.000630703375713297,-0.0298160433127015,0.0347617929261157,0.22538916768697,0.471702665340393,-0.104791599799369,,,,,,,,,,,,,,-0.128854295634563,-0.185149732655865,,
Mike Pettine,2,FALSE,0.106332430819206,,-0.0800038632759237,1.63231913188033,0.168294809296249,0.0252694136507862,0.0725480338875315,,0.02347690132646,0.271608734345655,0.285323811222975,0.11211600567428,-0.0910501612415473,-0.106626153997033,-0.0801907642435719,0.0495837192752634,0.238731268425074,0.485234115824946,-0.127640302574224,,,,,,,,,,,,,,-0.106785741213192,-0.163081178234494,,
Mike Shanahan,2,FALSE,0.131507359971867,,-0.0548289341232626,1.657494061033,0.19346973844891,0.238946429206308,0.0847296399318706,,0.0223037190777627,0.296783663498316,0.310498740375636,0.137290934826941,-0.339888300540028,-0.382104423762357,-0.0274377863431759,0.158967276918783,0.240189614713603,0.486714723609663,-0.0204462965979139,,,,,,,,,,,,,,-0.0816108120605313,-0.137906249081833,,
Mike Smith,3,FALSE,-0.0209902822503268,,-0.207326576345456,1.5049964188108,0.0409720962267167,0.103837178433893,0.00730346671337781,,-0.0738284952645064,0.144286021276123,0.158001098153442,-0.0152067073952527,-0.574661715398816,-0.631293169386932,-0.103282275367288,-0.00494994808868651,0.198764029300136,0.444392728570691,-0.287560168887686,,,,,,,,,,,,,,-0.234108454282725,-0.290403891304026,,
Mike Tomlin,14,TRUE,0.866943548287834,7,0.680607254192704,2.39293024934896,0.928905926764877,1.12034791289009,0.925371254779123,0.683788155989196,0.151909594986713,1.03221985181428,1.0459349286916,0.872727123142908,0.46231284471061,0.880928462188901,0.701193641390466,0.792465848433156,0.428189980828081,0.678278498277128,1.38900836458834,7,7,7,12,10,10,16,3,6,8,6,8,6,0.653825376255436,0.871463090002254,10,7
Mike Vrabel,7,TRUE,1.01387835841904,4,0.827542064323908,2.53986505948017,1.07584073689608,1.32708814685466,1.12365614655502,1.05195455782021,0.349762330496935,1.17915466194549,1.19286973882281,1.01966193327411,0.20422461873045,0.885895017253855,0.89120856737317,0.905280564897619,0.499181803985085,0.741788892952833,1.46819129046479,4,4,4,5,4,6,7,13,5,2,5,5,4,0.800760186386639,1.20667143611673,2,4
Mike Zimmer,8,TRUE,0.269052628742276,27,0.0827163346471464,1.7950393298034,0.331015007219319,0.291633483202484,0.272625854247236,0.24161777110046,0.0685526297588521,0.434328932268725,0.448044009146045,0.27483620359735,-0.23851665802239,0.203834618673452,0.195841637913251,0.249861518545932,0.251074827391129,0.49769260115006,0.464340712066759,27,27,27,31,28,17,24,32,24,27,28,31,25,0.0559344567098778,0.203296601664928,31,27
Nathaniel Hackett,1,FALSE,-0.222039624824744,,-0.408375918919873,1.30394707623638,-0.1600772463477,-0.36313707474513,-0.246825064574583,-0.364238932941783,-0.180903428576408,-0.0567633212982943,-0.0430482444209747,-0.21625604996967,-0.390542631286228,-0.432674710702297,-0.2750140297048,-0.163134650100243,0.156603118540447,0.403665297845289,-0.800236252019126,,,,,,,,,,,,,,-0.435157796857142,0.0447065227531758,,
Nick Sirianni,5,TRUE,0.883293831760541,6,0.696957537665412,2.40928053282167,0.945256210237584,1.23534893770989,0.985364100496564,0.935182204096664,0.172096582717613,1.04857013528699,1.06228521216431,0.889077406615615,0.174062539265101,0.683425593070755,0.669237358563064,0.766853762994442,0.443143511104302,0.689405331474085,1.40400460722925,6,6,6,9,7,7,14,17,10,10,7,7,5,0.670175659728143,1.15003997933846,3,6
Norv Turner,1,FALSE,0.0931535404490998,,-0.0931827536460294,1.61914024151023,0.155115918926143,0.16037072050921,0.0922301966457245,,-0.0603604008687721,0.258429843975549,0.272144920852869,0.0989371153041738,-0.136379519174194,,-0.0362959585260969,0.0867111954352528,0.230838758205758,0.477421824415562,-0.092246083968161,,,,,,,,,,,,,,-0.119964631583298,-0.1762600686046,,
Pat Shurmur,3,FALSE,-0.105081769781747,,-0.291418063876877,1.42090493127938,-0.043119391304704,-0.183634464377265,-0.144800394520138,-0.119224911660302,-0.0354299453157854,0.060194533744702,0.0739096106220216,-0.0992981949266734,-0.330621006189377,-0.287725820597448,-0.114548859203903,0.00938339112015282,0.182821016306887,0.428166782285863,-0.519231291460634,,,,,,,,,,,,,,-0.318199941814145,-0.195775459958241,,
Pete Carroll,13,TRUE,0.449348096852926,22,0.263011802757797,1.97533479791405,0.51131047532997,0.562404438508679,0.461950243501747,0.156466463091286,0.0943935584603227,0.614624400379376,0.628339477256695,0.455131671708,-0.173171393642653,0.24664073325776,0.473003045419793,0.389867114737068,0.29440914227658,0.543800249942224,0.823399952777024,22,22,22,24,21,19,20,29,22,16,23,23,18,0.236229924820528,0.432840033380179,19,22
Raheem Morris,3,FALSE,-0.0109444953520471,,-0.197280789447176,1.51504220570908,0.0510178831249963,-0.0568106232981726,-0.0824518683948551,0.0264997197806598,-0.0506549702453769,0.154331808174402,0.168046885051722,-0.00516092049697306,-0.284103086085609,-0.16348532244113,-0.0146833594147375,-0.0170876061565409,0.201931019971694,0.447675327072523,-0.273412431728495,,,,,,,,,,,,,,-0.224062667384445,0.255801652225872,,
Rex Ryan,5,TRUE,0.0106388009586628,38,-0.175697493136466,1.53662550201979,0.0726011794357062,-0.124342795049129,-0.0676556108507264,,-0.117785831275172,0.175915104485112,0.189630181362432,0.0164223758137368,-0.0706933329733296,-0.061176233483715,-0.130374049196597,0.0825910306674326,0.197758967690986,0.442417482366369,-0.176878124144036,38,38,38,41,40,,41,25,30,39,36,39,38,-0.202479371073735,-0.258774808095037,43,38
Rich Bisaccia,1,FALSE,0.329284635827951,,0.142948341732822,1.85527133688908,0.391247014304995,0.518883840374788,0.371122617854546,0.328245420139975,-0.0099416515389752,0.494560939354401,0.50827601623172,0.335068210683025,-0.0151699155008467,0.165070095301638,0.235518931127674,0.293665738756166,0.286764355353629,0.533609304636103,0.42672328341085,,,,,,,,,,,,,,0.116166463795553,0.596030783405871,,
Rob Chudzinski,1,FALSE,0.158158738146386,,-0.028177555948743,1.68414543920751,0.22012111662343,0.0569989474168861,0.163792152473936,,0.0100561376309096,0.323435041672836,0.337150118550155,0.16394231300146,-0.0739785774695448,-0.028787222438954,-0.0291269156092222,0.131033595397048,0.249407071951296,0.496108162969169,0.000267330527108617,,,,,,,,,,,,,,-0.0549594338860117,-0.111254870907313,,
Robert Saleh,4,TRUE,-0.0826096884336863,42,-0.268945982528815,1.44337701262744,-0.0206473099566428,-0.444151048071798,-0.0792803319621043,-0.697586099082142,-0.0463240313267602,0.0826666150927631,0.0963816919700828,-0.0768261135786122,-0.0464869016109145,-0.308205425047083,-0.248372920614363,0.00140227327710316,0.187059448570785,0.431991969854149,-0.458213965214971,42,42,42,46,41,41,36,24,42,43,40,42,45,-0.295727860466084,0.184136459144233,33,42
Romeo Crennel,2,FALSE,-0.596045593473217,,-0.782381887568347,0.929941107587911,-0.534083214996174,-0.997626497536291,-0.68890523491134,-0.216135924661552,-0.446813648510289,-0.430769289946768,-0.417054213069448,-0.590262018618143,-0.758393695526974,-0.323215935194549,-0.623366128818294,-0.514011250733479,0.0530246779396396,0.305346413472978,-1.45321919101517,,,,,,,,,,,,,,-0.809163765505615,-0.635676449684794,,
Ron Rivera,12,TRUE,0.436951416511114,23,0.250615122415985,1.96293811757224,0.498913794988158,0.619580527862257,0.494842892289109,-0.262675477679836,0.15166448359588,0.602227720037564,0.615942796914883,0.442734991366188,0.26181375225292,0.320278569716808,0.300520503493346,0.384165616418293,0.338498657666132,0.591412614407777,0.48727489877404,23,23,23,23,20,31,17,11,19,22,24,21,24,0.223833244478716,0.39574939617754,21,23
Sean McDermott,9,TRUE,1.075067407513,3,0.888731113417868,2.60105410857413,1.13702978599004,1.61943717306555,1.23937232658184,1.25004273358905,0.380101700623322,1.24034371103945,1.25405878791677,1.08085098236807,0.190042614665972,0.948017755617676,0.91950110858701,0.968136407416289,0.507611278800654,0.749112442575616,1.67376160313616,3,3,3,2,1,3,5,15,3,1,2,2,2,0.8619492354806,1.22588712122462,1,3
Sean McVay,9,TRUE,0.847489374318348,9,0.661153080223219,2.37347607537948,0.909451752795392,1.27244309321498,0.996859154358309,1.26045897854957,0.415588076066393,1.0127656778448,1.02648075472212,0.853272949173422,0.0321830506325523,0.754780891722862,0.880679363312571,0.751706377807066,0.447342106188084,0.695841626651718,1.2631989018039,9,9,9,7,6,2,4,20,8,4,8,6,10,0.63437120228595,0.999087117787464,6,9
Sean Payton,12,TRUE,0.950409164675661,5,0.764072870580531,2.47639586573679,1.0123715431527,1.396916715534,1.06676317652197,1.56546228817735,0.364908336125618,1.11568546820211,1.12940054507943,0.956192739530735,0.0247456333947079,0.83926790564591,0.789485714961833,0.910785635234225,0.507396741842955,0.754041101434578,1.28181388464802,5,5,5,4,5,1,6,22,7,7,4,3,8,0.737290992643263,0.954546451862583,7,5
Shane Steichen,3,FALSE,0.251265466460592,,0.064929172365463,1.77725216752172,0.313227844937636,0.2244978467652,0.157637019309892,0.144574037314113,0.100695955803827,0.416541769987042,0.430256846864361,0.257049041315666,-0.0128632783597621,0.154611672607344,0.179656082668662,0.16743121919084,0.258459163853941,0.505316088969136,0.363976823980655,,,,,,,,,,,,,,0.0381472944281943,0.518011614038512,,
Steve Wilks,2,FALSE,-0.0244070582980523,,-0.210743352393181,1.50157964276308,0.0375553201789912,-0.127898240718225,-0.11433856887581,-0.325200546707708,-0.157815797747761,0.140869245228397,0.154584322105717,-0.0186234834429782,0.108207129487141,-0.22947976961526,-0.102542670291228,0.0354445370403069,0.199836848103447,0.445969562765209,-0.330156854694298,,,,,,,,,,,,,,-0.23752523033045,-0.0640379145096292,,
Todd Bowles,8,TRUE,0.203655066178511,30,0.0173187720833821,1.72964176723964,0.265617444655555,0.412296017123141,0.169859075638975,-0.0026181950599827,0.00616562800212688,0.368931369704961,0.38264644658228,0.209438641033585,-0.288073601113553,-0.013281728181244,0.160019259358056,0.161814884764669,0.26339998622019,0.510777508532238,0.0903909127082386,30,30,30,29,32,21,32,38,29,29,32,28,31,-0.00946310585388654,0.210444968116858,30,30
Tom Coughlin,4,TRUE,0.183745569905643,31,-0.00259072418948652,1.70973227096677,0.245707948382686,0.517077903290799,0.327783855854139,,0.091370002290723,0.349021873432092,0.362736950309412,0.189529144760717,-0.272451121011877,-0.0996044312414232,-0.0721293785485199,0.148768621283807,0.259197554292422,0.506105959504963,0.0367389267463783,31,31,31,26,26,,21,34,33,37,33,30,33,-0.0293726021267552,-0.0856680391480567,40,31
Tony Sparano,1,FALSE,0.081627115855098,,-0.104709178240031,1.60761381691623,0.143589494332141,0.051116287753503,0.0247433505930504,,-0.0327809976014476,0.246903419381547,0.260618496258867,0.087410690710172,-0.0595801125950648,-0.117047251626331,-0.0682418166695418,0.124404861613849,0.230038766944828,0.476671476208121,-0.153126160973537,,,,,,,,,,,,,,-0.1314910561773,-0.187786493198601,,
Urban Meyer,1,FALSE,-0.0834289844599732,,-0.269765278555102,1.44255771660116,-0.0214666059829297,-0.182141063264767,-0.151560987708409,-0.415447828413285,-0.111912939196888,0.0818473190664762,0.0955623959437959,-0.0776454096048991,-0.306405826283181,-0.299210904856722,-0.133918543615816,-0.00317167164347176,0.193905586438379,0.440542996618802,-0.554536880010567,,,,,,,,,,,,,,-0.296547156492371,0.183317163117946,,
Vance Joseph,2,FALSE,-0.275055847369202,,-0.461392141464332,1.25093085369193,-0.213093468892159,-0.552910438619213,-0.423858706445451,-0.488906417638447,-0.198763058514579,-0.109779543842753,-0.0960644669654333,-0.269272272514128,-0.343032718110008,-0.467565248397543,-0.33435322060107,-0.273365210979561,0.134827912629054,0.381491190107423,-0.79423792170323,,,,,,,,,,,,,,-0.4881740194016,-0.544469456422902,,
Vic Fangio,3,FALSE,-0.159007973362672,,-0.345344267457801,1.36697872769846,-0.0970455948856285,-0.353317387453461,-0.240735741915537,-0.353388456729768,-0.152370874828671,0.00626833016377742,0.0199834070410971,-0.153224398507598,-0.232231062758263,-0.304138994717456,-0.244255416214852,-0.188432662456647,0.156271792379745,0.401685799385886,-0.482642629786807,,,,,,,,,,,,,,-0.37212614539507,0.107738174215248,,
Zac Taylor,7,TRUE,-0.186139178981487,44,-0.372475473076616,1.33984752207964,-0.124176800504444,-0.0573940746614368,-0.17255589307134,-0.159463072936229,-0.171366767933194,-0.0208628754550376,-0.00714779857771797,-0.180355604126413,-0.607509930841437,-0.327674296491098,-0.262811694597844,-0.139970142222955,0.127980752391129,0.371156025781593,-0.402963616993684,44,44,44,36,43,28,43,48,43,44,44,46,42,-0.399257351013885,0.0806069685964325,35,44
