caller,side,caller_adj,plays,seasons,seasons_as_coord
Blake Williams,defense,0.030168921019765444,1029,1,1
Greg Knapp,offense,-0.08208608723880924,1028,1,1
Tony Sparano,offense,-0.14084911575784373,1028,1,1
Tommy Rees,offense,-0.15746501524491976,1028,1,1
Joe Philbin,offense,-0.004491707390429575,1021,1,0
Jedd Fisch,offense,-0.10757735801725121,1019,1,1
Ryan Grubb,offense,-0.03803115921855347,1018,1,1
Nick Sorensen,defense,-0.09270859059894061,1018,1,1
Chad O'Shea,offense,-0.056597070030112405,1014,1,1
Mike Miller,offense,-0.10926315681376787,1013,1,1
Tim Walton,defense,0.020229910892074612,1005,1,1
Scott Milanovich,offense,-0.17022203852901271,1001,1,1
