coach,season,n_games,mean_residual
Kliff Kingsbury,2021,17,0.11656841011777806
Kliff Kingsbury,2022,17,-0.1305753992182846
Kyle Shanahan,2017,16,-0.0023241266385390993
Kyle Shanahan,2018,16,-0.048371466071441646
Kyle Shanahan,2019,16,0.24539781967232627
Kyle Shanahan,2020,16,0.016044555697012002
Kyle Shanahan,2021,17,0.13689339413739243
Kyle Shanahan,2022,17,0.20047270443782164
Kyle Shanahan,2023,17,0.22436004850379337
Kyle Shanahan,2024,17,-0.13389678261738275
Kyle Shanahan,2025,17,0.07110823642276606
Lane Kiffin,2007,16,-0.16168389605031258
Lane Kiffin,2008,4,-0.3016231268365618
Leslie Frazier,2010,6,0.10591654617456576
Leslie Frazier,2011,16,-0.17711066641994902
Leslie Frazier,2012,16,-0.10762759203859851
Leslie Frazier,2013,16,-0.08490068727082953
Liam Coen,2025,17,0.16672839441011225
Lovie Smith,2004,16,-0.06648556292932502
Lovie Smith,2005,16,0.006096440232331288
Lovie Smith,2006,16,0.06538271498177917
Lovie Smith,2007,16,-0.18501266381761997
Lovie Smith,2008,16,-0.15061693092387438
Lovie Smith,2009,16,-0.04236033142059306
Lovie Smith,2010,16,0.07038983129755234
Lovie Smith,2011,16,-0.17186802895716483
Lovie Smith,2012,16,0.16563452489546054
Lovie Smith,2014,16,-0.09655571294440984
Lovie Smith,2015,16,0.005165554069101514
Lovie Smith,2022,17,-0.11353859938116119
Marc Trestman,2013,16,0.06384465480742815
Marc Trestman,2014,16,0.009504687961256187
Marty Mornhinweg,2001,16,-0.13167705874773533
Marty Mornhinweg,2002,16,-0.265506305537549
Marty Schottenheimer,2001,16,0.10065803675386106
Marty Schottenheimer,2002,16,-0.07689403224980813
Marty Schottenheimer,2003,16,0.012567819406835833
Marty Schottenheimer,2004,16,0.11503546779686406
Marty Schottenheimer,2005,16,0.046099615079452996
Marty Schottenheimer,2006,16,0.2516225474225224
Marvin Lewis,2003,16,-0.09676037588788869
Marvin Lewis,2004,16,0.015197911443274245
Marvin Lewis,2005,16,0.015428298213376088
Marvin Lewis,2006,16,-0.07470454335376703
Marvin Lewis,2007,16,0.040063632302376036
Marvin Lewis,2008,16,-0.38740491392612103
Marvin Lewis,2009,16,-0.04453649668354551
Marvin Lewis,2010,16,-0.0969775808452453
Marvin Lewis,2011,16,0.0725022669091769
Marvin Lewis,2012,16,0.007500270477505865
Marvin Lewis,2013,16,0.16028809029472207
Marvin Lewis,2014,16,-0.06689029458650594
Marvin Lewis,2015,16,0.015881391166760458
Marvin Lewis,2016,16,-0.08973032351693916
Marvin Lewis,2017,16,-0.1782746711099728
Marvin Lewis,2018,16,-0.09926546034379435
Matt Eberflus,2022,17,-0.1366293395700028
Matt Eberflus,2023,17,-0.03562333286430325
Matt Eberflus,2024,17,0.0681539126274523
Matt LaFleur,2019,16,0.12653397733094113
Matt LaFleur,2020,16,0.06082079373673486
Matt LaFleur,2021,17,0.14014672081261217
Matt LaFleur,2022,17,-0.038702671035378416
Matt LaFleur,2023,17,0.07359047117265695
Matt LaFleur,2024,17,0.2159523650986194
Matt LaFleur,2025,17,0.15864405498928186
Matt Nagy,2018,16,-0.03826106243990826
Matt Nagy,2019,16,-0.024767647112874495
Matt Nagy,2020,16,-0.05387670628679303
Matt Nagy,2021,17,-0.19284286999769773
Matt Patricia,2018,16,-0.09765147888522066
Matt Patricia,2019,16,-0.1917635755473459
Matt Patricia,2020,11,-0.2112902281511509
Matt Rhule,2020,16,-0.14075571194013073
Matt Rhule,2021,17,-0.22456048707826137
Matt Rhule,2022,5,-0.23864843339140632
Mel Tucker,2011,5,-0.10051823033665877
Mike Holmgren,2000,16,-0.08877594450807433
Mike Holmgren,2001,16,-0.05344845752926326
Mike Holmgren,2002,16,-0.12816392865652748
Mike Holmgren,2003,16,0.005921367651884956
Mike Holmgren,2004,16,0.05024245018084987
Mike Holmgren,2005,16,0.1497037676602544
Mike Holmgren,2006,16,-0.15183272808744444
Mike Holmgren,2007,16,0.07096743950075533
Mike Holmgren,2008,16,-0.16309699845938208
Mike Macdonald,2024,17,-0.07223006054704581
Mike Macdonald,2025,17,0.12408999574423032
Mike Martz,2000,16,0.08671191699110874
Mike Martz,2001,16,0.173698943590866
Mike Martz,2002,16,0.023878969029438393
Mike Martz,2003,16,0.1660744866746996
Mike Martz,2004,16,-0.056674126412989245
Mike Martz,2005,5,-0.07389859554598265
Mike McCarthy,2006,16,-0.043516658218560406
Mike McCarthy,2007,16,0.16406042706365195
Mike McCarthy,2008,16,0.04560419686153044
Mike McCarthy,2009,16,0.16952271907653743
Mike McCarthy,2010,16,0.20840545791912368
Mike McCarthy,2011,16,0.1672049536176944
Mike McCarthy,2012,16,0.1281028383042104
Mike McCarthy,2013,16,-0.0533871436931653
Mike McCarthy,2014,16,0.020312734955831545
Mike McCarthy,2015,16,0.10095500752646297
Mike McCarthy,2016,16,0.036612215354315664
Mike McCarthy,2017,16,-0.0642263120107884
Mike McCarthy,2018,12,0.1258650660396029
Mike McCarthy,2020,16,-0.06513306795892226
Mike McCarthy,2021,17,0.14808011540152918
Mike McCarthy,2022,17,0.1830669274378472
Mike McCarthy,2023,17,0.20049487915384015
Mike McCarthy,2024,17,-0.25062344133802017
Mike McCoy,2013,16,0.03369500005241118
Mike McCoy,2014,16,0.05656163698260098
Mike McCoy,2015,16,-0.03525847462647794
Mike McCoy,2016,16,-0.07725720051086521
Mike McDaniel,2022,17,-0.08002437463437509
Mike McDaniel,2023,17,0.07015133582542661
Mike McDaniel,2024,17,0.02547240050187651
Mike McDaniel,2025,17,-0.2973839644885742
Mike Mularkey,2004,16,0.2189560548182423
Mike Mularkey,2005,16,-0.2701300181563756
Mike Mularkey,2012,16,-0.31433367150537833
Mike Mularkey,2016,16,-0.03577991264434819
Mike Mularkey,2017,16,-0.06238885871754192
Mike Munchak,2011,16,-0.06608598409306347
Mike Munchak,2012,16,-0.15693321852235048
Mike Munchak,2013,16,0.04349408635072534
Mike Nolan,2005,16,-0.3384743095110296
Mike Nolan,2006,16,0.017377833430561734
Mike Nolan,2007,16,-0.010789443280431545
Mike Nolan,2008,7,-0.22928368608257121
Mike Pettine,2014,16,-0.05804039123785182
Mike Pettine,2015,16,-0.19541111436763492
Mike Riley,2000,15,-0.10683707558706974
Mike Riley,2001,16,0.11184280795056205
Mike Shanahan,2000,16,0.05850712506689411
Mike Shanahan,2001,16,-0.04959568111266588
Mike Shanahan,2002,16,0.16494187520541384
Mike Shanahan,2003,16,-0.0033392961305401606
Mike Shanahan,2004,16,0.1212806356433592
Mike Shanahan,2005,16,0.0552614308543607
Mike Shanahan,2006,16,0.007482642727057843
