off_caller,n,hold,bits,bits_z,half_life,half_life_null
league,82001,0.5794685430665479,0.1668065633367194,221.69808410433305,0.7142957392880845,0.15277106435659288
Kliff Kingsbury,2599,0.5802231627549057,0.10742748352159551,17.652680726048636,0.6265000554470442,0.23666561452373652
Arthur Smith,3425,0.4618978102189781,0.2999912500285732,49.599962432978394,1.1864096765671248,0.21856427473710233
Greg Roman,2587,0.4623115577889447,0.2237319049870784,27.065801313236488,0.873142769220359,0.23173021414640388
Ken Dorsey,1871,0.6365579903794762,0.12164361814747594,15.264434280336033,0.6572138904744725,0.24381390747897091
Luke Getsy,2090,0.48325358851674644,0.1462510938973646,17.67190403105305,0.6354442222622957,0.23225467893291804
Zac Taylor,3422,0.6461133839859731,0.0778924120172752,17.316817430063537,1.344050905019688,0.23168183714374999
Kevin Stefanski,2585,0.6437137330754352,0.18367468948933674,24.599598276883132,0.7941612638755231,0.2347773110330654
Kellen Moore,3574,0.6547285954113039,0.16919536474622104,36.27399045367378,0.6947966393963252,0.22137133431068712
Nathaniel Hackett,1518,0.5718050065876152,0.13321236558038616,13.82928236966328,0.5976276873972726,0.2500328632588613
Ben Johnson,3571,0.5191823018762252,0.06874666393989637,13.010823675244854,0.52118753868542,0.22027943710976597
Matt LaFleur,3382,0.5733293908929628,0.055041252154968405,13.42890728844953,0.4760362452218753,0.21799975354603784
Andy Reid,3588,0.45624303232998886,0.023713811053949402,5.482662321526274,0.6830395659402446,0.21870437840125254
Sean McVay,3381,0.8467908902691511,0.23798693855077627,69.00311244639765,1.3363336057383377,0.21212675061971517
Josh McDaniels,2063,0.534658264663112,0.10242122103250091,14.266525439193499,0.5716116452288265,0.24096112855280669
Mike McDaniel,3226,0.5347179169249845,0.24749161922232377,43.283534817541074,0.7383633374673946,0.2271445817388286
Kevin O'Connell,3380,0.6544378698224852,0.24261977228743187,51.253111029170135,0.7688403195815938,0.2238910571802746
Pete Carmichael,1733,0.4379688401615695,0.020629439953424866,2.1597316397383546,0.3579157201001826,0.2473887005197714
Mike Kafka,2579,0.6948429623885227,0.22064546609635172,37.87287850208048,0.8485030905631306,0.23407838677241877
Shane Steichen,3450,0.6707246376811594,0.08286088737376644,23.302211365907525,0.554338074422195,0.21196315458060133
Shane Waldron,2107,0.6112956810631229,0.15674060985244345,20.77810757923752,0.7221161298945122,0.24943007021603658
Kyle Shanahan,3367,0.5233145233145233,0.1774454575081707,34.539570168217416,0.7904631000957801,0.22644342316457702
Klint Kubiak,1978,0.46814964610717896,0.18538616766784458,18.860093641729513,0.6964273617479486,0.23994550697539396
Drew Petzing,2494,0.5296712109061749,0.07751069696181881,14.956083600028197,0.5329055869129902,0.2218055188235841
Todd Monken,2458,0.42514239218877137,0.13372264541891407,17.363977098936395,0.6320086239757255,0.22915711878132886
Mike McCarthy,1706,0.5474794841735052,0.09997260000035413,9.64509018911745,0.6958166047519704,0.24707382169185008
Sean Payton,2519,0.4910678840809845,0.060878512167178794,7.976791875873847,0.4169587591574016,0.23232582368624607
Bobby Slowik,1709,0.5874780573434757,0.17903095390431445,22.781273226994706,0.7928834233300629,0.2513189250905314
Press Taylor,1675,0.5928358208955223,0.06829177197662215,10.120862198878985,0.494219138021901,0.24593955000564857
Dave Canales,2417,0.6516342573438146,0.15157055578648004,21.87304303846846,0.8124933638106383,0.23377498511528796
Joe Brady,2101,0.5930509281294621,0.12654185109764698,14.312177114807842,0.6512080487834578,0.24105870224224238
Zac Robinson,1716,0.7744755244755245,0.42874042345687813,55.392799929597565,1.5346232007804501,0.23336988566688133
Liam Coen,1730,0.6294797687861272,0.0664098755409934,8.844341900818407,0.6518652890684623,0.255034723015106
