def_caller,rush_type,n_contested,uncontested_rate,uncontested_era_adj,uncontested_lo,uncontested_hi,uncontested_shrunk,rank_open,n_comp,comp_actual,comp_expected,comp_oe,comp_lo,comp_hi,rank_comp
Aaron Glenn,blitz,508,85.43307086614173,-0.22890140987271934,-3.2966603298000194,2.8388575100545808,-0.13159935284150098,19,508,62.59842519685041,64.63667554414178,-2.0382503472914015,-5.972756903718135,1.8962562091353319,21
Aaron Glenn,regular,1079,86.83966635773865,-0.0946540477918063,-2.111802549419366,1.9224944538357533,-0.05785692770213494,21,1079,67.5625579240037,65.60894484675735,1.9536130772463274,-0.7082538218481735,4.615479976340828,10
Anthony Weaver,blitz,257,85.60311284046692,-0.3028862485891892,-4.5949739634479165,3.989201466269538,-0.12376268626308858,20,257,66.9260700389105,68.10498676527334,-1.1789167263628524,-6.5404751832716395,4.182641730545934,17
Anthony Weaver,regular,716,91.34078212290503,4.087506759763727,2.0274876135419917,6.147525905985463,2.4574337644824067,1,716,72.90502793296089,69.63412964810206,3.2708982848588293,0.188258816725988,6.35353775299167,4
Bill Belichick,blitz,292,87.67123287671232,1.5599317736681257,-2.2110377907880263,5.330901338124278,0.7367891513873629,8,292,65.75342465753424,66.55571393362465,-0.8022892760903892,-5.971655768973061,4.367077216792282,14
Bill Belichick,regular,775,88.12903225806451,1.489845085373446,-0.7873895634346062,3.767079734181498,0.8228531182811132,5,775,67.22580645161291,67.30028998659505,-0.07448353498214043,-3.1047871120361337,2.9558200420718532,25
Brandon Staley,blitz,422,84.12322274881517,-2.112128125058433,-5.599023952197235,1.3747677020803684,-1.0802504524777472,32,422,68.24644549763033,65.99066087278709,2.2557846248432463,-1.8607204351845055,6.372289684870998,4
Brandon Staley,regular,984,85.36585365853658,-1.3944364050307314,-3.602869835890731,0.8139970258292681,-0.7912393432336543,31,984,66.15853658536584,67.12318492099281,-0.9646483356269402,-3.745506955348371,1.8162102840944907,29
Brian Flores,blitz,747,91.70013386880856,5.738755988020628,3.760345985284314,7.717165990756943,4.389074327436674,1,747,69.3440428380187,69.11526212650769,0.22878071151111096,-2.86975533897888,3.327316762001102,9
Brian Flores,regular,841,88.58501783590962,1.4156624580555217,-0.7335325865876006,3.564857502698644,0.8221058711163834,6,841,68.9655172413793,67.13499314684364,1.8305240945356767,-1.1068542534667243,4.767902442538078,12
Chris Shula,blitz,208,85.57692307692308,-0.17412577569123755,-4.948667549156362,4.6004159977738865,-0.062388898841799115,18,208,66.82692307692307,66.74199863695182,0.08492443997126685,-6.147650408848296,6.317499288790829,10
Chris Shula,regular,814,87.1007371007371,-0.12119490928060372,-2.4238942209808694,2.181504402419662,-0.06626966787721014,22,814,67.93611793611794,67.69733682311431,0.23878111300362895,-2.801767214606677,3.2793294406139353,22
Clint Hurtt,blitz,207,84.54106280193237,-1.5646988443241838,-6.489566526471585,3.3601688378232177,-0.538525101831755,28,207,70.53140096618358,68.3063671928673,2.225033773316273,-3.6542415575677545,8.1043091042003,5
Clint Hurtt,regular,851,84.6063454759107,-2.0471260159148557,-4.471857364044747,0.3776053322150359,-1.0667735898912936,36,851,66.1574618096357,68.07510755106931,-1.9176457414335786,-4.892561504183229,1.0572700213160722,37
Dan Quinn,blitz,333,86.48648648648648,0.3017245889128617,-3.370187050812081,3.973636228637804,0.146519547254008,13,333,61.561561561561575,67.04955001672108,-5.487988455159533,-10.526056142383222,-0.44992076793584257,34
Dan Quinn,regular,816,87.5,0.8065646227562695,-1.46262100900076,3.075750254513299,0.4468837557863831,13,816,65.80882352941175,67.40137339733978,-1.592549867928028,-4.638565996440022,1.4534662605839652,34
DeMeco Ryans,blitz,408,84.31372549019608,-1.4372169003258506,-4.966081824428499,2.0916480237767976,-0.7264711637642429,27,408,57.84313725490199,66.00619738958045,-8.163060134678501,-12.68809344979497,-3.6380268195620324,37
DeMeco Ryans,regular,1267,87.7663772691397,0.8452993999544418,-0.9590032698370086,2.6496020697458924,0.5602224907351359,11,1267,68.58721389108126,67.79207935249516,0.7951345385861471,-1.5658385751316475,3.156107652303942,18
Dennard Wilson,blitz,210,87.14285714285714,1.305667410713923,-3.2215834107007684,5.832918232128614,0.5002066510003549,10,210,66.66666666666667,66.9690463514555,-0.30237968478884325,-6.4202192297905505,5.815459860212863,12
Dennard Wilson,regular,724,88.12154696132596,0.9093186818219863,-1.4474002308637353,3.266037594507708,0.48674638245365587,10,724,71.54696132596689,68.78714761722483,2.7598137087420422,-0.3761965318874365,5.895823949371521,5
Dennis Allen,blitz,376,80.31914893617021,-5.784199800706048,-9.802974276701782,-1.7654253247103133,-2.5493879932211705,38,376,61.17021276595743,64.58572349808318,-3.4155107321257345,-8.053645613407355,1.2226241491558865,28
Dennis Allen,regular,1384,84.97109826589596,-1.8812391913647133,-3.763965817252746,0.001487434523319786,-1.2105314449460913,34,1384,67.34104046242773,67.74857836220994,-0.4075378997822167,-2.713264461330756,1.8981886617663224,27
Don Martindale,blitz,470,85.74468085106383,-0.3410787773499777,-3.5018947322493545,2.819737177549399,-0.1910893370661853,21,470,65.53191489361703,68.23117753292652,-2.6992626393094956,-6.736551493110065,1.3380262144910744,22
Don Martindale,regular,612,86.76470588235294,0.11737095347275783,-2.5674708924910576,2.8022127994365733,0.055188441362614735,20,612,65.03267973856211,68.01891994047787,-2.986240201915796,-6.479616946659396,0.5071365428278045,38
Ejiro Evero,blitz,623,85.87479935794542,-0.04607338120790416,-2.7809782755954577,2.6888315131796494,-0.029020069804091032,16,623,68.05778491171749,67.59939578811776,0.45838912359976913,-2.9191090651157814,3.8358873123153194,7
Ejiro Evero,regular,1357,87.69344141488578,0.7757393824570897,-0.9721663880353668,2.5236451529495465,0.5250173866653627,15,1357,68.9756816507001,68.95384531558747,0.021836335112619346,-2.2898808026513024,2.3335534728765412,23
Gus Bradley,blitz,263,85.55133079847909,-0.1564636358287146,-4.405647327454002,4.092720055796573,-0.06469384091205024,17,263,64.25855513307985,67.2924249457769,-3.0338698126970614,-8.621364933189456,2.553625307795333,26
Gus Bradley,regular,1331,89.78211870773855,2.8575577958728644,1.2303523278589992,4.484763263886729,2.0210846381697034,2,1331,70.84898572501879,68.79001332014508,2.0589724048737144,-0.24162972941603966,4.359574539163468,9
Jack Del Rio,blitz,233,83.2618025751073,-2.803312157693952,-7.596841148598976,1.990216833211072,-0.9993104290019988,33,233,57.93991416309014,66.86434594858358,-8.924431785493454,-14.936368792637776,-2.9124947783491324,39
Jack Del Rio,regular,649,82.58859784283513,-4.037370433445375,-6.954868942274685,-1.1198719246160644,-1.732430016415098,39,649,67.95069337442222,67.11531667891194,0.8353766955102503,-2.6215610227585753,4.292314413779076,17
