name,side,n,guess_xs,H_vs_lg,epa,epa_type,lean_abs,structure_pctile,exploit_pctile,quadrant,marquee,seq_guess_pp,guessability,range_sd
John DeFilippo,offense,2255,1.3360062242695,-0.0132714735911297,-0.0756747972576708,epa_play,0.348311571192054,0.0136986301369863,0.424657534246575,"weak identity, hard to exploit",FALSE,1.15533294785883,,
Jon Gruden,offense,2748,2.59407426612223,-0.0201239134282266,0.0353172946420016,epa_play,0.359036173609125,0.164383561643836,0.849315068493151,"weak identity, easy to exploit",FALSE,1.42702351499913,,
Josh McDaniels,offense,8184,2.10171864681506,-0.0148271918028527,0.0559526835962096,epa_play,0.374278859901747,0.753424657534247,0.767123287671233,"clear identity, easy to exploit",FALSE,1.35777007288884,,
Kellen Moore,offense,6503,1.66388310323738,-0.0110449995323674,0.0205386686226396,epa_play,0.368888186790678,0.520547945205479,0.602739726027397,"clear identity, easy to exploit",FALSE,1.20029253844349,,
Ken Dorsey,offense,1876,2.5623862513049,-0.0196345623230652,0.0413919152774115,epa_play,0.366688700678792,0.424657534246575,0.835616438356164,"weak identity, easy to exploit",FALSE,1.27998185448892,,
Ken Whisenhunt,offense,3216,1.59683445185648,-0.0174060896144507,0.0220764086968038,epa_play,0.362236050902796,0.273972602739726,0.561643835616438,"weak identity, easy to exploit",FALSE,1.14584734148943,,
Kevin O'Connell,offense,4055,1.89432297002668,-0.0183898623085612,-0.0567787589869213,epa_play,0.356292916891313,0.123287671232877,0.684931506849315,"weak identity, easy to exploit",FALSE,1.44201007581583,,
Kevin Stefanski,offense,5184,1.25769022798692,-0.00865219362893032,-0.0209022440980794,epa_play,0.379173129361143,0.904109589041096,0.36986301369863,"clear identity, hard to exploit (Michael's ideal)",FALSE,1.02377142451334,,
Kliff Kingsbury,offense,5280,2.63294701843763,-0.0253204571536131,0.0167601327169289,epa_play,0.363897090974603,0.342465753424658,0.89041095890411,"weak identity, easy to exploit",FALSE,1.37068080661954,,
Klint Kubiak,offense,3007,1.12221028711793,-0.00103843920172468,0.005569328838053,epa_play,0.379577710060016,0.917808219178082,0.273972602739726,"clear identity, hard to exploit (Michael's ideal)",FALSE,0.907523087004242,,
Kyle Shanahan,offense,9766,1.52986156593474,-0.0107064773858947,0.0540191192023283,epa_play,0.372304966221612,0.684931506849315,0.520547945205479,"clear identity, easy to exploit",TRUE,1.06027993394977,,
Liam Coen,offense,1818,1.15478436237771,-0.0122512151945252,0.072757153939696,epa_play,0.37025344692687,0.616438356164384,0.315068493150685,"clear identity, hard to exploit (Michael's ideal)",FALSE,1.51624298573393,,
Luke Getsy,offense,2105,-0.0851845069990959,0.00788826383739646,-0.0720274162262865,epa_play,0.395369934777324,0.986301369863014,0.0684931506849315,"clear identity, hard to exploit (Michael's ideal)",FALSE,0.819560351704526,,
Marty Mornhinweg,offense,2406,1.42691287350588,-0.00644617471422741,-0.0366624258203534,epa_play,0.36970055171119,0.589041095890411,0.479452054794521,"clear identity, hard to exploit (Michael's ideal)",FALSE,0.877288254070883,,
Matt Canada,offense,2358,0.912784161590803,-0.00902785388248326,-0.0402413423547748,epa_play,0.365254317655957,0.36986301369863,0.219178082191781,"weak identity, hard to exploit",FALSE,1.1277934479424,,
Matt LaFleur,offense,6995,1.62284790618387,-0.0135627421283197,0.0896673267079576,epa_play,0.378020912450369,0.863013698630137,0.575342465753425,"clear identity, easy to exploit",FALSE,1.21920161801767,,
Matt Nagy,offense,2209,1.41527490326229,-0.0143507162641626,-0.0433046225902282,epa_play,0.363866148692766,0.328767123287671,0.465753424657534,"weak identity, hard to exploit",FALSE,1.43540123365152,,
Mike Kafka,offense,2629,1.48036369800311,-0.00806000421169371,-0.0412692835840338,epa_play,0.379641250906652,0.931506849315068,0.493150684931507,"clear identity, hard to exploit (Michael's ideal)",FALSE,0.924849745031555,,
Mike LaFleur,offense,1612,1.36654012652588,-0.0138931804452349,-0.114240095135154,epa_play,0.363367234802719,0.287671232876712,0.452054794520548,"weak identity, hard to exploit",FALSE,0.800859292706737,,
Mike McCarthy,offense,4429,1.82258556020231,-0.0110611074887077,0.0303931394780963,epa_play,0.373475845565872,0.712328767123288,0.657534246575342,"clear identity, easy to exploit",FALSE,1.11431169699301,,
Mike McDaniel,offense,3315,1.34400015220035,-0.0123146160643972,0.0226745530248544,epa_play,0.370851400980043,0.643835616438356,0.438356164383562,"clear identity, hard to exploit (Michael's ideal)",FALSE,0.951887427734799,,
Mike Shula,offense,2669,0.890144734369605,-0.00670403991335798,-0.00292922113698962,epa_play,0.375128365277758,0.821917808219178,0.205479452054795,"clear identity, hard to exploit (Michael's ideal)",FALSE,0.767829707305908,,
Nathaniel Hackett,offense,3495,0.322812406257672,-0.00192804623746971,-0.105488195521931,epa_play,0.366684980033357,0.410958904109589,0.0958904109589041,"weak identity, hard to exploit",FALSE,0.787303356497125,,
Norv Turner,offense,2712,2.48636947439949,-0.0209216185857015,-0.000211630560767653,epa_play,0.359558855363368,0.178082191780822,0.821917808219178,"weak identity, easy to exploit",FALSE,1.31798580179346,,
Pat Shurmur,offense,4520,0.930097282688589,-0.00963936115348698,-0.0243227399983086,epa_play,0.360226978396222,0.205479452054795,0.232876712328767,"weak identity, hard to exploit",FALSE,1.13826126918813,,
Pete Carmichael,offense,1786,1.68720806058308,-0.0129298100691793,-0.038320842448901,epa_play,0.363723032017972,0.301369863013699,0.616438356164384,"weak identity, easy to exploit",FALSE,1.62836571043657,,
Press Taylor,offense,1709,2.60187574700144,-0.022124777817977,-0.0464516314579581,epa_play,0.352595027751955,0.0684931506849315,0.863013698630137,"weak identity, easy to exploit",FALSE,1.46189608146868,,
Randy Fichtner,offense,2644,2.63488181813364,-0.0230450814194919,-0.0152593504197116,epa_play,0.361732035675248,0.246575342465753,0.917808219178082,"weak identity, easy to exploit",FALSE,1.45334307567311,,
Rob Chudzinski,offense,2151,1.2404919392773,-0.00889112715998123,-0.0446532239107827,epa_play,0.363779041315167,0.315068493150685,0.342465753424658,"weak identity, hard to exploit",FALSE,0.898864270005273,,
Scott Linehan,offense,3555,1.64654482892102,-0.0155758897569309,0.0188631436733098,epa_play,0.356517396490031,0.136986301369863,0.589041095890411,"weak identity, easy to exploit",FALSE,1.88457076931136,,
Scott Turner,offense,3110,1.13116820577792,-0.00813031861163529,-0.0721121559095231,epa_play,0.368214861744374,0.465753424657534,0.301369863013699,"weak identity, hard to exploit",FALSE,1.05250077374557,,
Sean McVay,offense,10052,1.90235152844086,-0.01245244999553,0.0472069644501467,epa_play,0.3756387981694,0.835616438356164,0.698630136986301,"clear identity, easy to exploit",TRUE,1.13403446239961,,
Sean Payton,offense,8841,1.57861175792632,-0.013653587147761,0.0473471937453025,epa_play,0.369477845979531,0.575342465753425,0.534246575342466,"clear identity, easy to exploit",FALSE,1.05541984774195,,
Shane Steichen,offense,5498,2.70969039119671,-0.0218947002331345,0.0292709856875614,epa_play,0.378696700032948,0.89041095890411,0.931506849315068,"clear identity, easy to exploit",FALSE,1.36479773397568,,
Shane Waldron,offense,3086,1.78456566669232,-0.0146096964132041,-0.00816309640473266,epa_play,0.361117253218834,0.232876712328767,0.643835616438356,"weak identity, easy to exploit",FALSE,1.00000834922215,,
