off_caller,n,last_play,last_play_z,drive_memory,drive_memory_z,last_play_gs,last_play_gs_z,drive_memory_gs,drive_memory_gs_z,runs_gs,runs_gs_z,pa_gs,pa_gs_z,streak_gs,streak_gs_z,diff_same personnel group as last snap,diff_same play family as last snap,z_same personnel group as last snap,z_same play family as last snap
Andy Reid,3588,0.0251390271674454,3.185789695773238,0.08053340866336922,8.3796812485922,0.03067052586357244,2.976125096368856,0.03611482198108007,4.637273234257677,0.003641452538664658,0.5084245545508467,0.03397253189588961,7.904057800392944,0.004888095935811965,0.6990667423199738,0.0478839213841456,0.062080187501250175,1.0385410652417884,1.0688617366837023
Arthur Smith,3425,0.046227556687631566,5.8252560398926825,0.09149945531428438,10.698498197630137,0.03835934748621017,4.1822125240195405,0.05993395958179004,8.684565404707232,0.019107873782857165,2.916471667370725,0.04862428015211391,12.350553598054644,0.021927949449349504,3.077876027465003,-0.0332895865916551,-0.002493092601193527,-0.6984300997675025,-0.0438487532387233
Ben Johnson,3571,0.05149566407095524,6.965425612865712,0.10269684637716703,10.485461899523902,0.044299634480155836,4.866880037236999,0.04677913226407693,6.5254441224597866,0.013322291980022272,2.271049537547296,0.04488011874630088,10.711478634642829,-0.00120641366527241,-0.18425037874958494,0.1091797867766971,0.026588371433893754,2.2215660527527796,0.43702407508966545
Bobby Slowik,1709,0.04132823887403031,2.9848879669903057,0.05953322165153885,4.829881415755004,0.01663916720880343,1.322933667043172,0.02924128371882373,3.672283390262668,-0.0023141868647317265,-0.2787645789828478,0.0271109833905461,4.8651348108332515,0.003422095153921334,0.41548318181858196,0.023841404265384877,-0.05812698425598793,0.34810417249015496,-0.6363780544833308
Dave Canales,2417,0.05479302958596577,5.208567105091823,0.09269909651831287,8.626239130061398,0.051764536310400566,4.0965824179367045,0.03605953178769583,4.453865746531583,-0.0012345739992869476,-0.16056553326644413,0.037078811278910384,7.924577466247837,0.0036821113708185305,0.4842120092732036,0.10156678492563369,0.05724303674045601,1.70733714355171,0.7845679014837049
Drew Petzing,2494,0.017838841531830074,1.7520305623615677,0.12637579877393101,11.232881182403112,0.01357091972657598,1.141281924615724,0.04629055176317498,5.649829191087806,0.014036474044802627,1.7830967802328321,0.04570189493115337,9.205531200145114,-0.00982347148968421,-1.4112083793896497,-0.03402204005904497,0.012731353244631148,-0.6055051963771682,0.18996581480368363
Greg Roman,2587,0.03767055256164542,4.236053544203779,0.08843669134221166,8.78296105181324,0.029005003497602377,2.7461055218609793,0.03916279329529926,4.876135527777198,-0.00384193153747997,-0.4989548249082328,0.0370222736700488,8.244683673456867,0.011765654894481448,1.5191671200194938,-0.00891078187892528,0.03060521749584588,-0.16662434189168088,0.45354816008956905
Joe Brady,2101,0.05161023705069101,4.426419294423836,0.07645273830909716,6.427981235469219,0.047099303414431914,3.704567778045066,0.022770316345838926,2.6915593616424496,0.0019978420792124973,0.2669019838458448,0.02909350082333946,5.84632305134448,0.008359631998646255,1.005693623681462,-0.017229560348637568,0.02244376266515344,-0.2843244460693659,0.31781630754649687
Josh McDaniels,2063,0.02883763292239594,2.642775523925309,0.10257672447014277,9.137143789306943,0.033108695457159554,2.7226744786971437,0.04233777062530286,5.009613605241092,-0.0037433739902617003,-0.4517237069110391,0.03011006098278693,6.2782950066428835,0.009929532356033555,1.1617525354520908,-0.1366417787499121,0.06584431116314918,-2.118456506969642,0.8526131731175703
Kellen Moore,3574,0.04495774019657617,5.174912638434491,0.11234842344701912,11.167819898526924,0.03411651424829065,3.5106764384840585,0.048819050895895666,6.994650755158506,0.02241318651875973,3.028668400381604,0.04433034873105074,9.767670501065886,0.011369228226337347,1.7197972856322759,0.04790617087191597,0.022131443230957955,0.9556586025438314,0.37477234881866606
Ken Dorsey,1871,0.00878289431975593,0.6313703777634366,0.08707587302601705,6.3709238754485495,-0.005675888029229803,-0.4052444439425277,0.02232572888800155,2.5900596231504336,0.014514650068696344,1.7632451957373194,0.021768762274266218,3.5609766265924567,0.0027260493479721593,0.35176810672697323,0.13988061583974976,1.6950246941265998e-5,1.9541540965860253,1.8962644904292668e-4
Kevin O'Connell,3380,0.04608272803821367,5.536982171230634,0.07530552211947528,7.98052900818045,0.02792694123638817,2.9528211346995805,0.04102007143744357,5.511500464313637,0.004838637741155449,0.6922620640791783,0.03613848526851812,9.357830669697387,0.01411117218048602,2.2210881969305167,0.10251309534920353,0.029163957296222467,1.8547866840837435,0.40251885777819785
Kevin Stefanski,2585,0.024828857825756334,2.6171615367373553,0.1203928001838468,12.06647351038924,0.038151929360559,3.4487424004195786,0.06153030007032634,7.7600932890204515,0.0058190308545545966,0.8186760324315943,0.0479284583093918,10.201289901296917,0.004446249313776185,0.6337784065411067,-0.07742206552809841,-0.10409048475083277,-1.317511258320596,-1.4404265059619599
Kliff Kingsbury,2599,0.027613960092733425,2.825305937572003,0.07892548546018296,7.477580973262121,-0.0027037223674677424,-0.23640928369971098,0.022801474899827756,2.8495060784847452,0.004460087094643406,0.6411495417723991,0.031115206019483727,6.2848292494424705,-0.006329676683645147,-0.816661061971804,0.053230370447477034,0.05018142145036342,0.9402172437191728,0.6686969072902137
Klint Kubiak,1978,0.040976386126251374,3.5744423594347148,0.09277058783812375,7.267099794936563,0.02020708257706616,1.4821618564204329,0.036766104685522105,4.534060865357494,0.002523529825681159,0.33191963154818904,0.03152084574962129,6.117897754862625,0.020969780268847715,2.6129554453873625,-0.005964453505182182,-0.04836176178122063,-0.09436463347898673,-0.6267644615268214
Kyle Shanahan,3367,0.03824385037950148,4.539993236662635,0.10089561401240332,10.021336395581736,0.026743105314466442,2.5768284850695444,0.05866204836093247,7.984730916885645,0.012384714432972732,1.8889784848925129,0.055694386118988415,12.911769461843106,0.0090959658285088,1.2042831789566706,-0.027462446731818677,-0.06391811100142006,-0.5601066674114963,-1.0209452980116482
Liam Coen,1730,0.015115776558553062,1.1981710287178597,0.06623648170384455,5.308673597910513,0.01344126605620044,0.9775175523774049,0.031797469481357754,4.1046667192358335,0.004842656148688063,0.5668310333368741,0.028728817023144088,6.017028262595134,0.01316126355922942,1.8198383001327858,0.13864479843716798,0.03568437873639843,1.961524683135119,0.3443135423730192
Luke Getsy,2090,0.023095954298977484,2.0694499728890046,0.07713931843915856,7.973759505610725,0.00741236136565937,0.5726097342550497,0.043264725644600044,5.591711453208091,0.01629801373383888,2.230531311495079,0.03257958763926935,6.429870915479192,6.227321553154974e-4,0.07845589479780009,-0.154366444842314,-0.022074335135552486,-2.3669317411237287,-0.27482279231682816
Matt LaFleur,3382,0.02084302224993642,2.504799156840004,0.09236166512227673,10.247345516784947,0.009659943896999534,0.9307210700704639,0.038377799300151394,5.000315623672287,0.0016691697137788952,0.2493216472369424,0.03461141806688567,9.098630604449188,0.007963083711735486,1.1159067220205483,-0.004644857507624882,-0.04870355038166425,-0.09371408022360579,-0.713842622461537
Mike Kafka,2579,0.028951870989328554,2.8347444221268736,0.09780406024958255,8.912643521444114,0.026174322555048812,2.349107086742574,0.038780800068694554,4.787525704554925,0.011813650148751853,1.6957689992788496,0.048792354738347726,9.137809605599688,-0.00332945963489234,-0.41858978062591573,0.051060173902193993,-0.06149044921302564,0.8690182795333142,-0.9725106086768951
Mike McCarthy,1706,0.007863363362750841,0.6224622923622056,0.10466478942085289,8.048401029150366,0.008652584194746238,0.6234662554967572,0.04033342752637714,4.91056821722422,-0.01000890162324547,-1.0658202638988552,0.02814165402621807,4.884981564921306,0.013404485244621345,1.5965330479229713,0.04104293911387986,-0.0010662104349149423,0.5850999119410022,-0.01132131053424845
Mike McDaniel,3226,0.034864021239536525,4.012149309557119,0.10843187202190241,10.949960292509274,0.03154514776764894,2.957640001832182,0.04849989395995946,6.3724085311562675,6.455890094471117e-4,0.09618502756012191,0.04218095427345234,10.518932632431222,0.008551048781671788,1.1438643928188723,0.06141460699490364,-0.05607447127405889,1.1588585106193634,-0.7653457814218114
Nathaniel Hackett,1518,0.04344597961487745,2.9403925211254083,0.10834787474758201,9.048838475927653,0.04684064948614719,3.315495122773658,0.05713638370902052,7.3083237753568575,0.02253974237826928,2.965490291580524,0.029499209030148743,4.229556681798215,0.03027360919704203,3.619305614103613,0.09347277814968752,0.0047328425026854914,1.2369473752698412,0.05292783370667175
Pete Carmichael,1733,0.06282170737909115,4.584722758951009,0.07199548248897158,6.2725104616876735,0.008334504643862983,0.600491944141615,0.032555120312954156,3.9255312969420713,0.025963183286562885,3.5202386333214393,0.026912602241719874,4.8456004321066475,0.006801320503844466,0.8541313377298297,-0.009319080785046098,-0.1929969018630538,-0.13164958380409258,-2.095335507001874
Press Taylor,1675,0.03450588613670752,2.489080775823214,0.08219839926552108,6.3487720593370955,-0.02261840582535335,-1.5655023714324139,0.0298986278354203,3.5337029703615603,0.007342356531014005,0.9216055551491035,0.04008503593718937,6.5582380188771054,7.182874842652232e-4,0.08203855544994668,-0.054597230381597375,-0.0582792946865302,-0.7630172464008221,-0.6856825580923867
Sean McVay,3382,0.0483929849167285,5.739579210867029,0.1057040762911553,12.714489606167948,0.015870855516610716,1.6079379724310057,0.05618600037506072,7.27484214294668,0.006736212172077483,0.973745496375506,0.04885146759238815,11.317612733526325,8.483405094650287e-4,0.15001779639395008,-0.016564267803806265,-0.07920042617341384,-0.24234586958088947,-1.3389896362203544
Sean Payton,2519,0.043470654201809455,3.9805480830901394,0.09557194638592847,8.724605670874645,0.023865493983810326,1.8908276800765107,0.034343524290905814,4.51309507978306,-0.011006010581835035,-1.3514011813416256,0.029580879167779767,5.963572773861147,0.008947674498862246,1.1287615878703694,0.0471275355243824,0.11576277367415741,0.8434408464515284,1.6524493216427962
Shane Steichen,3450,0.05345953607974202,6.836293114923681,0.07287891701069382,7.807145114781293,0.04739513992442401,5.058569684055725,0.025597788679581845,3.740624612940068,0.004154389169880368,0.6126886597824396,0.023350222123599967,5.451243271058006,-0.011202826819175282,-1.5988846184674343,-0.05122238485952879,0.02563156103063557,-0.9487901767544213,0.4399483677781882
Shane Waldron,2107,0.04242720616164852,3.566602786523595,0.11976211359991729,10.548565664513461,0.0371234279059558,2.911359673078485,0.037329305093069864,4.4697226303872295,-0.010920742514303916,-1.3890108411506563,0.037250824917911624,7.257155848783874,0.012061438861820928,1.5109770322815277,0.04347847638214521,-0.004327465324401349,0.6980668711057129,-0.05825228074631169
Todd Monken,2458,0.023515368205338172,2.107998951443747,0.08108287960954408,7.70498153246525,0.026081273912352043,2.1489778294342816,0.035466968725686665,4.286537306470746,0.004586986502524759,0.6176316374865481,0.039609556292439674,7.859450915898607,0.018717556809382085,2.280882443222231,-0.010844893452030283,0.05497764107418794,-0.18162950973574127,0.742651490572696
Zac Robinson,1716,0.05822682495846937,4.69940696368729,0.08858416715488748,6.848828882367575,0.03868404069363707,2.9145091590152736,0.026846610674226334,2.652419887619513,0.003922025258195405,0.4117613448597932,0.035842023949907306,6.765959648762313,3.807436926588914e-4,0.043200849767470864,0.005563463433334102,0.05143671349428242,0.0676661651618881,0.647967481413557
Zac Taylor,3422,0.02704598067970329,3.7677370521653573,0.09045680059594319,10.490490580006105,0.015853951907363828,1.7123971909926445,0.037738573727590485,5.287958531177269,0.004364069529589398,0.6591331253401912,0.03785787438301316,7.542061308462609,-0.005240159420324353,-0.7296659118361862,0.06279514497160159,0.018284043798963593,1.1712164867201373,0.2743507895999937
league,82002,0.0352758900199274,76.99456768251514,0.17288025898721965,199.48924879551953,0.03617525761009127,37.81026052483125,0.13067424145307494,75.35492020781003,0.014454361348603381,16.754130724157317,0.11173511511182618,155.1069073824171,0.0088746717807211,11.990194472259894,0.012590317865649485,-0.00314034253827768,1.2415894045749345,-0.24775420703328346
