metric,diff,held,changed,cells,n,label
plays,0.10212556176450906,6.388854717677451,6.252954885966372,42,20143,plays per drive
yards,0.43564638485126506,30.651002583343583,30.052355585150657,42,20143,yards per drive
points,-0.01878340637901407,2.0474843154139504,2.0954719493923757,42,20143,points per drive
score,0.00416436876808849,0.3921761594292041,0.39662060928916265,42,20143,share of drives that score
