coach,first_season,last_season,games,actual_wins,expected_wins,wins_above_expectation,rate_per17,sd_wae,sd_rate_per17,z,outside_cone,eligible
Mike Nolan,2005,2008,55,18,16.819152800915262,1.1808471990847398,0.36498913426255597,3.2515478948669085,1.0050238947770445,0.3631646333578223,FALSE,TRUE
Al Groh,2000,2000,16,9,8.062814381894654,0.9371856181053468,0.995759719236931,1.8920450095335588,2.0102978226294064,0.4953294521975399,FALSE,TRUE
Mike Holmgren,1999,2008,160,86,85.21105923359492,0.7889407664049908,0.08382495643053027,5.863321500858892,0.6229779094662573,0.13455526296646403,FALSE,TRUE
Jim Tomsula,2010,2015,17,6,5.2848911440470125,0.715108855952987,0.715108855952987,1.8394208131463579,1.8394208131463579,0.38876849214823345,FALSE,TRUE
Ben McAdoo,2016,2017,28,13,12.310948098236535,0.6890519017634653,0.41835294035638965,2.4568498638446123,1.4916588459056574,0.28046154219826824,FALSE,TRUE
Jim Bates,2004,2004,7,3,2.34378553326043,0.6562144667395702,1.5936637049389561,1.113042239285781,2.7031025811226113,0.589568341234427,FALSE,FALSE
Shane Steichen,2023,2025,51,25,24.534166251117412,0.46583374888258844,0.15527791629419616,3.3877873619642673,1.129262453988089,0.13750383336116295,FALSE,TRUE
David Culley,2021,2021,17,4,3.598944364709212,0.4010556352907886,0.4010556352907886,1.5923432826526758,1.5923432826526758,0.25186505928713576,FALSE,TRUE
Steve Wilks,2018,2022,28,9,8.696422308543017,0.30357769145698477,0.18431502695602647,2.3008780054679687,1.3969616461769812,0.13193993368424634,FALSE,TRUE
Mel Tucker,2011,2011,5,2,1.7278444455736066,0.2721555544263933,0.9253288850497371,0.9997900175794376,3.399286059770088,0.27221271431105215,FALSE,FALSE
Nick Saban,2005,2006,32,15,14.746526483299029,0.2534735167009702,0.13465780574739042,2.647237512292384,1.406344928405329,0.09575019828178316,FALSE,TRUE
Jay Rosburg,2022,2022,2,1,0.8260693726665801,0.1739306273334199,1.4784103323340692,0.5685970796640343,4.833075177144291,0.3058943381070299,FALSE,FALSE
Perry Fewell,2009,2009,7,3,2.850297509152672,0.149702490847328,0.3635631920577966,1.191135675533769,2.892758069153439,0.12568046942279995,FALSE,FALSE
Jimmy Johnson,1999,1999,16,9,8.89615201452927,0.10384798547073038,0.11033848456265102,1.9046483146826398,2.0236888343503048,0.0545234438663465,FALSE,TRUE
Bill Parcells,1999,2006,80,42,42.00895836912007,-0.008958369120061094,-0.0019036534380129826,4.172255240341916,0.8866042385726571,-0.002147128735903261,FALSE,TRUE
Eric Mangini,2006,2010,80,33,33.00936668117694,-0.009366681176929625,-0.0019904197500975455,4.035671941087755,0.857580287481148,-0.0023209719010026807,FALSE,TRUE
Mike Munchak,2011,2013,48,22,22.044971506781305,-0.044971506781300796,-0.0159274086517107,3.2183991130101006,1.1398496858577438,-0.01397325353450023,FALSE,TRUE
Emmitt Thomas,2007,2007,4,1,1.0876387167220753,-0.08763871672207535,-0.37246454606882023,0.8573484554490354,3.6437309356584002,-0.10222065038441652,FALSE,FALSE
Kellen Moore,2025,2025,17,6,6.233260537294564,-0.2332605372945632,-0.2332605372945632,1.8861548037559397,1.8861548037559397,-0.12366987949773083,FALSE,TRUE
Antonio Pierce,2023,2024,26,9,9.31127347531979,-0.31127347531979366,-0.20352496463217276,2.309709851948271,1.5101949031969464,-0.13476734969859108,FALSE,TRUE
Leslie Frazier,2010,2013,54,21.5,21.81760708437831,-0.3176070843783153,-0.09998741545243259,3.401315045152508,1.0707843660665302,-0.09337773189548058,FALSE,TRUE
Gary Moeller,2000,2000,9,4,4.363721939425997,-0.36372193942599784,-0.6870303300268847,1.3485601864106251,2.5472803521089586,-0.2697113136597135,FALSE,FALSE
Gary Kubiak,2006,2016,157,82,82.37584973668136,-0.3758497366813529,-0.04069710524575159,5.79064260786195,0.6270122569022494,-0.06490639504690932,FALSE,TRUE
Gunther Cunningham,1999,2000,32,16,16.384979149654463,-0.38497914965446656,-0.20452017325393534,2.7141840115229723,1.441910256121579,-0.14183973821231396,FALSE,TRUE
Joe Judge,2020,2021,33,10,10.38833634399896,-0.38833634399895745,-0.2000520559994629,2.5567880217983228,1.317133223350651,-0.15188445060291708,FALSE,TRUE
