name,pass_snaps,routes_run,run_blocks,total_snaps,route_rate,run_block_share
Terrance Ferguson,171,169,140,311,98.8304093567251,45.016077170418
Ben Sims,171,141,260,431,82.4561403508772,60.3248259860789
Tucker Fisk,170,120,312,482,70.5882352941177,64.7302904564315
Cole Turner,167,147,183,350,88.0239520958084,52.2857142857143
James Mitchell,166,142,196,362,85.5421686746988,54.1436464088398
Elijah Arroyo,163,158,117,280,96.9325153374233,41.7857142857143
John FitzPatrick,161,137,222,383,85.0931677018634,57.9634464751958
Mitchell Evans,147,124,201,348,84.3537414965986,57.7586206896552
Lawrence Cager,146,133,119,265,91.0958904109589,44.9056603773585
Jackson Hawes,133,97,313,446,72.9323308270677,70.1793721973094
Tanner Conner,131,121,74,205,92.3664122137405,36.0975609756098
Joseph Fortson,123,119,82,205,96.7479674796748,40
Erick All,113,99,102,215,87.6106194690266,47.4418604651163
Ross Dwelley,110,94,190,300,85.4545454545455,63.3333333333333
Chris Myarick,106,64,175,281,60.377358490566,62.2775800711744
Kenny Yeboah,84,70,143,227,83.3333333333333,62.9955947136564
Giovanni Ricci,83,64,126,209,77.1084337349398,60.2870813397129
Sean McKeon,66,44,114,180,66.6666666666667,63.3333333333333
Tyler Davis,62,42,99,161,67.741935483871,61.4906832298137
Armani Rogers,60,51,80,140,85,57.1428571428572
Brenden Bates,59,37,101,160,62.7118644067797,63.125
Devin Culp,51,51,27,78,100,34.6153846153846
David Martin-Robinson,43,34,110,153,79.0697674418605,71.8954248366013
Feleipe Franks,41,37,60,101,90.2439024390244,59.4059405940594
Keleki Latu,41,37,25,66,90.2439024390244,37.8787878787879
Jared Wiley,41,36,73,114,87.8048780487805,64.0350877192983
E.J. Jenkins,39,30,56,95,76.9230769230769,58.9473684210526
Cam Grandy,37,33,53,90,89.1891891891892,58.8888888888889
Dallin Holker,35,29,32,67,82.8571428571429,47.7611940298508
Cameron Latu,32,19,56,88,59.375,63.6363636363636
Ben Yurosek,31,20,65,96,64.5161290322581,67.7083333333333
Moliki Matavao,29,24,51,80,82.7586206896552,63.75
Brayden Willis,29,25,37,66,86.2068965517242,56.0606060606061
Jaheim Bell,27,24,32,59,88.8888888888889,54.2372881355932
