off_play_caller,season,n_games,script_epa,n_script,rest_epa,n_rest,gap
Darrell Bevell,2020,15,-0.0126184856552161,225,0.0359871230645368,214,-0.0486056087197529
Darrell Bevell,2021,14,-0.0514086771883636,210,-0.149334974713873,191,0.0979262975255098
Dave Canales,2023,19,-0.100844613311906,285,0.0300709673932236,469,-0.13091558070513
Dave Canales,2024,17,-0.0907849491602442,255,0.0482587995494384,279,-0.139043748709683
Dave Canales,2025,18,-0.0475606813583901,270,-0.0702203118191402,403,0.0226596304607501
Dirk Koetter,2015,16,-0.0852062234517306,240,0.0474728298258549,401,-0.132679053277586
Dirk Koetter,2016,16,-0.103758189622299,240,0.0378278877327649,461,-0.141586077355064
Dirk Koetter,2017,16,0.054146710924703,240,-0.143704046535217,370,0.19785075745992
Dirk Koetter,2019,16,0.0371253629994374,240,-0.0352715018098238,318,0.0723968648092612
Dirk Koetter,2020,16,0.0640684234501563,240,-0.0465303683158533,416,0.11059879176601
Doug Pederson,2015,12,0.171549747163444,180,0.13044008268234,108,0.0411096644811041
Doug Pederson,2016,16,-0.0669725845348218,240,0.0241288930562931,456,-0.0911014775911149
Doug Pederson,2017,19,0.0495515846018921,285,0.107135979796868,516,-0.0575843951949757
Doug Pederson,2018,18,-0.0109763383250952,270,0.0264581523692587,513,-0.0374344906943539
Doug Pederson,2019,17,-0.0877561546912751,255,0.0118701659323719,501,-0.0996263206236469
Doug Pederson,2020,16,-0.107651292002492,240,-0.0750201580853041,414,-0.032631133917188
Doug Pederson,2022,19,-0.0322010926117283,285,0.0644329444828364,408,-0.0966340370945646
Dowell Loggains,2016,16,-0.0311158900928258,240,-0.00965730308497288,290,-0.0214585870078529
Dowell Loggains,2017,16,-0.143567921796696,240,-0.137655271515185,292,-0.00591265028151086
Drew Petzing,2023,17,-0.0703705251731388,255,-0.190494410042004,304,0.120123884868865
Drew Petzing,2024,17,0.123126203356926,255,0.0116142898955857,378,0.11151191346134
Drew Petzing,2025,17,-0.0584312654336934,255,-0.00370329289424479,308,-0.0547279725394486
Eric Bieniemy,2023,17,-0.104126801768942,255,-0.0976059419042664,361,-0.00652085986467545
Frank Reich,2015,16,-0.0121153634400583,240,0.0162817913789569,421,-0.0283971548190151
Frank Reich,2018,18,0.0261003359985451,270,0.039587030934464,402,-0.0134866949359189
Frank Reich,2019,16,0.0335416570599491,240,-0.0108874950248498,511,0.044429152084799
