off_caller,tier,n_contested,contested_rate,contested_era_adj,contested_lo,contested_hi,contested_era_shrunk,rank_open,n_in_tier_contested,n_comp,comp_actual,comp_expected,comp_oe,comp_lo,comp_hi,rank_comp,n_in_tier_comp
Andy Reid,WR1,373,8.847184986595174,-7.684985822223741,-10.56695447120804,-4.803017173239441,-6.618045634660624,1,36,373,71.04557640750672,70.20563696568519,0.8399394418215343,-3.347162616669652,5.027041500312721,23,36
Arthur Smith,WR1,426,19.718309859154928,3.1589583720421466,-0.6193236234906023,6.937240367574896,2.473560086244546,29,36,426,60.32863849765258,62.0421424962825,-1.7135039986299203,-6.190602862591303,2.763594865331463,29,36
Ben Johnson,WR1,519,14.64354527938343,-1.8390911078345393,-4.8807723101954785,1.2025900945263994,-1.5591060490427078,11,36,519,70.90558766859344,67.34942290250048,3.556164766092985,-0.24790158901247317,7.360231121198443,10,36
Bo Hardegree,WR1,161,20.496894409937887,4.049541467304625,-2.1860723694477793,10.285155304057028,2.3077892270971083,28,36,161,52.17391304347826,63.03101606805872,-10.85710302458047,-18.25749024500292,-3.45671580415802,36,36
Bobby Slowik,WR1,199,12.06030150753769,-4.067354311147531,-8.592172170565872,0.4574635482708107,-2.9106468606947327,5,36,199,72.36180904522614,63.03910774801245,9.322701297213682,3.3968797794362873,15.248522814991077,1,36
Dave Canales,WR1,331,18.12688821752266,1.6310945009455402,-2.519156388551804,5.781345390442884,1.222403482863545,26,36,331,57.703927492447114,59.547984510029906,-1.8440570175827846,-6.991858884801593,3.3037448496360238,30,36
Drew Petzing,WR1,310,25.806451612903224,9.276587417609285,4.405539048407998,14.147635786810572,6.351434752008411,36,36,310,55.16129032258065,59.81140972625825,-4.650119403677601,-9.921332839743261,0.6210940323880596,33,36
Greg Roman,WR1,307,14.332247557003257,-2.4752153842937297,-6.394914406862662,1.4444836382752024,-1.9066219487249725,9,36,307,68.40390879478828,66.13652877970704,2.267380015081225,-2.6813367288146606,7.216096758977111,15,36
Joe Brady,WR1,250,11.6,-4.986793654472132,-8.956342900419333,-1.0172444085249301,-3.8187987009018034,3,36,250,72.00000000000001,72.12974860072136,-0.12974860072137095,-5.182139867563902,4.922642666121161,27,36
Josh McDaniels,WR1,357,17.086834733893557,0.380760923651966,-3.5237309225468403,4.285252769850772,0.2938172259922115,21,36,357,64.42577030812325,63.38351937402196,1.0422509341012762,-3.6378608448172036,5.7223627130197565,21,36
Kellen Moore,WR1,552,17.57246376811594,0.976910619656131,-2.19805495145724,4.151876190769502,0.8170447679844165,23,36,552,68.4782608695652,64.40005414727806,4.078206722287155,0.37970811218791445,7.7767053323863955,9,36
Ken Dorsey,WR1,350,13.428571428571429,-2.974298816599843,-6.546404078206785,0.597806445007099,-2.3838750878291686,7,36,350,69.42857142857143,64.93524152040482,4.493329908166617,-0.07532731561924155,9.061987131952474,7,36
Kevin O'Connell,WR1,582,16.323024054982817,-0.2927823917280534,-3.29538513904483,2.709820355588723,-0.24917739925582486,18,36,582,65.80756013745705,62.88394699340424,2.923613144052815,-0.7102740161532881,6.557500304258918,13,36
