season,team,coach,n_players,top25_ovr,talent_z,wins,predicted_wins,residual_wins
2017,ARI,Bruce Arians,25,79.84,-0.40174976168443427,8,7.716046856505574,0.2839531434944256
2017,ATL,Dan Quinn,25,82.52,1.068133325434063,10,9.75854967350759,0.24145032649241038
2017,BAL,John Harbaugh,25,81.88,0.7171164688087489,9,9.270787806760838,-0.270787806760838
2017,BUF,Sean McDermott,25,77.84,-1.4986774386385397,9,6.191791022921977,2.8082089770780234
2017,CAR,Ron Rivera,25,81.04,0.2564068444880305,11,8.630600356655735,2.3693996433442646
2017,CHI,John Fox,25,80.92,0.19059118387078175,5,8.539145006640716,-3.539145006640716
2017,CIN,Marvin Lewis,25,80.72,0.08089841617536964,7,8.386719423282354,-1.3867194232823543
2017,CLE,Hue Jackson,25,77.32,-1.7838786346466127,0,5.795484506190233,-5.795484506190233
2017,DAL,Jason Garrett,25,82.92,1.287518860824887,9,10.063400840224313,-1.063400840224313
2017,DEN,Vance Joseph,25,81.24,0.36609961218343484,5,8.783025940014086,-3.7830259400140864
2017,DET,Jim Caldwell,25,78.32,-1.23541479616956,9,6.557612422982032,2.4423875770179677
2017,GB,Mike McCarthy,25,81.12,0.30028395156619386,7,8.691570589999078,-1.6915705899990776
2017,HOU,Bill O'Brien,25,79.12,-0.7966437253879116,4,7.16731475641548,-3.1673147564154798
2017,IND,Chuck Pagano,25,79.48,-0.5991967435361729,4,7.441680806460527,-3.4416808064605267
2017,JAX,Doug Marrone,25,80.84,0.14671407679261847,10,8.478174773297372,1.521825226702628
2017,KC,Andy Reid,25,80.88,0.1686526303316962,10,8.508659889969039,1.4913401100309613
2017,LA,Sean McVay,25,79.28,-0.7088895112315851,11,7.289255223102165,3.710744776897835
2017,LAC,Anthony Lynn,25,80.92,0.19059118387078175,9,8.539145006640716,0.46085499335928404
2017,MIA,Adam Gase,25,80.88,0.1686526303316962,6,8.508659889969039,-2.5086598899690387
2017,MIN,Mike Zimmer,25,81.64,0.5854851475742591,13,9.08787710673081,3.9121228932691903
2017,NE,Bill Belichick,25,84.04,1.9017983599191886,13,10.91698410703113,2.08301589296887
2017,NO,Sean Payton,25,80.12,-0.24817988691085888,11,7.929442673207278,3.0705573267927218
2017,NYG,Ben McAdoo,25,80.92,0.19059118387078175,3,8.539145006640716,-5.539145006640716
2017,NYJ,Todd Bowles,25,76.32,-2.3323424731236653,5,5.033356589398435,-0.03335658939843533
2017,OAK,Jack Del Rio,25,82,0.7829321294259978,6,9.3622431567758575,-3.3622431567758575
2017,PHI,Doug Pederson,25,82.4,1.002317664816822,13,9.66709432349258,3.332905676507419
2017,PIT,Mike Tomlin,25,81.6,0.5635465940351735,13,9.057391990059132,3.9426080099408676
2017,SEA,Pete Carroll,25,81.48,0.4977309334179325,9,8.965936640044124,0.03406335995587639
2017,SF,Kyle Shanahan,25,76.24,-2.3762195802018287,6,4.972386356055092,1.0276136439449077
2017,TB,Dirk Koetter,25,80.6,0.01508275555812082,5,8.295264073267335,-3.295264073267335
2017,TEN,Mike Mularkey,25,82.48,1.046194771894985,9,9.728064556835923,-0.728064556835923
2017,WAS,Jay Gruden,25,81.4,0.45385382633976923,7,8.904966406700781,-1.9049664067007814
2018,ARI,Steve Wilks,25,79.64,-0.8659864532575853,3,7.070958305855821,-4.070958305855821
2018,ATL,Dan Quinn,25,83.8,1.401521742211561,7,10.22181562056926,-3.2218156205692594
2018,BAL,John Harbaugh,25,81.28,0.027935046879290687,10,8.313123208771696,1.686876791228304
2018,BUF,Sean McDermott,25,79.64,-0.8659864532575853,6,7.070958305855821,-1.0709583058558207
2018,CAR,Ron Rivera,25,81.24,0.006132083461314702,7,8.282826503822525,-1.282826503822525
2018,CHI,Matt Nagy,25,80.44,-0.42992718489813525,12,7.6768924048391725,4.3231075951608275
2018,CIN,Marvin Lewis,25,80.28,-0.5171390385700237,6,7.555705585042505,-1.5557055850425048
2018,CLE,Gregg Williams,25,79.6,-0.8877894166755612,7.5,7.040661600906648,0.45933839909335195
2018,DAL,Jason Garrett,25,81.96,0.39858542498482047,10,8.828167192907543,1.171832807092457
2018,DEN,Vance Joseph,25,79.76,-0.800577563003665,6,7.161848420703327,-1.1618484207033273
2018,DET,Matt Patricia,25,78.64,-1.4110605387068995,6,6.313540682126629,-0.31354068212662867
2018,GB,Mike McCarthy,25,82.56,0.7256298762544138,6.5,9.282617767145064,-2.782617767145064
