season,team,shapeshift,n_personnel,rank,def_play_caller,dc_games
2022,TEN,0.22572841730838722,11,92,Shane Bowen,17
2024,MIA,0.22391763846364052,13,93,Anthony Weaver,17
2022,ATL,0.22345573300410213,15,94,Dean Pees,17
2022,CAR,0.22232489677680278,19,95,Al Holcomb,12
2025,WAS,0.22171612997160817,16,96,Joe Whitt Jr.,10
2025,SF,0.22072837493398242,13,97,Robert Saleh,19
2022,NO,0.2188176871467061,14,98,Dennis Allen,17
2022,MIN,0.21869228791172826,16,99,Ed Donatell,18
2024,LAC,0.2153487997908308,14,100,Jesse Minter,18
2023,TB,0.21527179428265072,15,101,Todd Bowles,19
2024,PIT,0.21372557609743276,16,102,Teryl Austin,18
2024,TEN,0.21347011293936582,13,103,Dennard Wilson,17
2023,NO,0.21086173455250756,12,104,Dennis Allen,17
2022,ARI,0.21003766056416168,14,105,Vance Joseph,17
2024,ATL,0.20768669349525096,18,106,Jimmy Lake,17
2025,GB,0.2073198099308218,15,107,Jeff Hafley,18
2023,GB,0.20710358585121397,16,108,Joe Barry,19
2024,PHI,0.2063138418419295,13,109,Vic Fangio,21
2023,CIN,0.20576380491737206,12,110,Lou Anarumo,17
2025,LAC,0.20509221772379665,11,111,Jesse Minter,18
2022,BUF,0.19458440360929988,13,112,Leslie Frazier,18
2023,SF,0.19379610218184645,14,113,Steve Wilks,20
2023,TEN,0.19364515158354023,13,114,Shane Bowen,17
2023,MIA,0.19286136757791747,16,115,Vic Fangio,18
2023,BAL,0.19067037141852552,12,116,Mike Macdonald,19
2025,BAL,0.1893782874259061,16,117,Zach Orr,17
2025,LA,0.1884328358208955,15,118,Chris Shula,20
2025,IND,0.1870893630136027,15,119,Lou Anarumo,17
2022,PIT,0.18478814490748927,14,120,Teryl Austin,17
2024,NO,0.18402262865930694,13,121,Dennis Allen,9
2022,DET,0.18159020466712777,16,122,Aaron Glenn,17
2024,CIN,0.1812451672445187,15,123,Lou Anarumo,17
2022,JAX,0.1776606817590424,13,124,Mike Caldwell,19
2025,PHI,0.1767951111865557,15,125,Vic Fangio,18
2025,MIA,0.15722654146835224,15,126,Anthony Weaver,17
2022,PHI,0.14584638271218292,13,127,Jonathan Gannon,20
2022,BAL,0.11766985479431831,16,128,Mike Macdonald,18
