off_play_caller,season,n,actual,expected,raw_resid,team.x,lg_resid,resid,prev,prev_season,prev_team,plays,epa,success,wpa,hi_plays,hi_epa,hi_wpa,hi_success,team.y,ctrl_qb_prior_epa,ctrl_qb_apy_pct,ctrl_index,abs_resid
Adam Gase,2015,1035,0.553623188405797,0.6140543979777084,-6.043120957191139,CHI,0.1965798639761429,-6.239700821167282,NA,NA,NA,1035,-0.033261616461335367,0.4251207729468599,4.845547146994651e-5,252,-0.06086016757831122,-0.003938335619170816,0.4007936507936508,CHI,NA,0.136,0.8718526297949429,6.239700821167282
Adam Gase,2016,980,0.5714285714285714,0.6287007462689463,-5.727217484037494,MIA,0.42742887415463393,-6.154646358192128,-6.239700821167282,2015,CHI,980,-0.013881262883457908,0.4163265306122449,4.270704146304769e-4,232,0.09073561547257337,0.003306444795889606,0.4224137931034483,MIA,-0.011003210442177636,0.134,0.028828920084965626,6.154646358192128
Adam Gase,2017,999,0.6446446446446447,0.6422986245515558,0.23460200930888186,MIA,-1.2052393669852224,1.4398413762941042,-6.154646358192128,2016,MIA,999,-0.13716606947990975,0.38738738738738737,-0.003152795411378717,215,-0.11633747162113726,-0.004840311242870361,0.3674418604651163,MIA,-0.1691410062235221,0.136,-0.06185808528806913,1.4398413762941042
Adam Gase,2018,873,0.5910652920962199,0.6073593429085997,-1.629405081237978,MIA,0.805948653885058,-2.435353735123036,1.4398413762941042,2017,MIA,873,-0.1134477729335012,0.3974799541809851,-8.61427530912928e-4,211,-0.07410679087380871,-2.452278907833088e-5,0.4028436018957346,MIA,NA,0.134,0.9410446899008573,2.435353735123036
Adam Gase,2019,955,0.6073298429319371,0.6102904819937041,-0.2960639061766912,NYJ,0.4000090329507544,-0.6960729391274456,-2.435353735123036,2018,MIA,955,-0.168038265161898,0.3643979057591623,-0.0025864353669825917,193,0.08938141912898671,-4.50588098858901e-5,0.44559585492227977,NYJ,-0.06717832182736291,0.043,-0.18030926626195842,0.6960729391274456
Adam Gase,2020,382,0.6518324607329843,0.6686390539660503,-1.6806593233065992,NYJ,1.1364240806491233,-2.8170834039557224,-0.6960729391274456,2019,NYJ,382,-0.23414836177062914,0.3612565445026178,-0.004476400350414504,50,-0.07706361866258393,-0.004725291652325085,0.34,NYJ,-0.03825304912765708,0.043,0.2525053446344655,2.8170834039557224
Alex Van Pelt,2024,1030,0.616504854368932,0.6345593594846505,-1.8054505115718489,NE,-0.9518483966517222,-0.8536021149201267,NA,NA,NA,1030,-0.09030234923497313,0.4223300970873786,-0.0012243372135353923,274,-0.02174093039518747,-0.0033207882158238894,0.4416058394160584,NE,NA,0.036000000000000004,0.5117005854061163,0.8536021149201267
Andy Reid,2015,377,0.6710875331564987,0.6311661813516833,3.9921351804815375,KC,0.1965798639761429,3.7955553165053946,NA,NA,NA,377,-0.03771367326974376,0.44562334217506633,-0.0024314619254266786,62,-0.00553964958104023,1.520456806305851e-4,0.46774193548387094,KC,NA,0.128,1.4422400379918092,3.7955553165053946
Andy Reid,2016,1026,0.6189083820662769,0.6060251789730313,1.2883203093245532,KC,0.42742887415463393,0.8608914351699193,3.7955553165053946,2015,KC,1026,0.002483039473244674,0.42007797270955166,0.0017078700829268603,204,-0.012232713241255236,0.005304019891283002,0.4166666666666667,KC,0.018743765824268847,0.128,0.7378368226563985,0.8608914351699193
Andy Reid,2017,668,0.6317365269461078,0.6271712363608363,0.4565290585271553,KC,-1.2052393669852224,1.6617684255123777,0.8608914351699193,2016,KC,668,0.051983861427598005,0.4356287425149701,0.0013245815827958736,210,0.12001341510718878,0.004855793472307674,0.42857142857142855,KC,0.07016974860663398,0.128,0.9395688907400734,1.6617684255123777
