target,label,variant,n,rate,auc,auc_base,ece,brier,persist,n_rules_passed,cleared,fails
y_pa,Play action,base,84817,0.21718523409222207,0.8179448260551269,0.7246659536900097,0.010003928995019638,0.13318123088652314,0.6138353945308948,5,TRUE,
y_pass,Run or pass,base,381266,0.6060991538715752,0.7937798255018234,0.6929491591602955,0.004271563440895653,0.17828076615932817,0.502030174885442,5,TRUE,
y_rpo,RPO,base + look,138212,0.049923306225219226,0.7561375346999645,0.553506618488459,0.00783378147429851,0.045840850365341565,0.38284011851866206,4,FALSE,R3 slice safety
y_blitz,Blitz,base + look + seq,82531,0.2728186984284693,0.6194710423329799,0.5709213048783757,0.018704710287330038,0.19165049585931648,0.7806243006809809,4,FALSE,R1 discrimination
y_motion,Pre-snap motion,base + look + seq,138212,0.4691922553757995,0.6185369713184203,0.48554934573117686,0.03792544404895454,0.23897230862765664,0.697386793736102,3,FALSE,R1 discrimination; R2 calibration
y_man,Man coverage,base + sequence,82321,0.37617375882217174,0.6174755829906353,0.584228194370569,0.050203118090019275,0.22414734060842562,0.5785269064719293,3,FALSE,R1 discrimination; R2 calibration
