caller,variable,value,side
Nathaniel Hackett,RPO,7.901337792642141,Offense
Luke Getsy,RPO,9.509011808576757,Offense
Kellen Moore,RPO,10.273261847111726,Offense
Klint Kubiak,RPO,4.506117576842734,Offense
Bobby Slowik,RPO,2.481902792140641,Offense
Mike McCarthy,RPO,7.0377019748653495,Offense
Todd Monken,RPO,7.538424005855086,Offense
Press Taylor,RPO,8.382295338817078,Offense
Sean Payton,RPO,7.5208231259186675,Offense
Dave Canales,RPO,11.435768261964736,Offense
Drew Petzing,RPO,4.8395445134575565,Offense
Bo Hardegree,RPO,7.902554961378491,Offense
Joe Brady,RPO,11.029411764705882,Offense
Zac Robinson,RPO,5.368868288914639,Offense
Liam Coen,RPO,5.531453362255966,Offense
Andy Reid,Screens,13.861720067453625,Offense
Pete Carmichael,Screens,7.73109243697479,Offense
Zac Taylor,Screens,8.518253400143164,Offense
Sean McVay,Screens,9.527439024390244,Offense
Mike McDaniel,Screens,13.349613349613348,Offense
Kevin Stefanski,Screens,9.728033472803348,Offense
Kyle Shanahan,Screens,10.444177671068427,Offense
Greg Roman,Screens,7.5096631695196026,Offense
Matt Canada,Screens,7.41869918699187,Offense
Shane Waldron,Screens,9.011264080100124,Offense
Shane Steichen,Screens,10.112359550561797,Offense
Kevin O'Connell,Screens,10.564454614797866,Offense
Scott Turner,Screens,8.004268943436498,Offense
Kliff Kingsbury,Screens,13.626834381551362,Offense
Ken Dorsey,Screens,7.903123008285533,Offense
Josh McDaniels,Screens,7.089084065244668,Offense
Matt LaFleur,Screens,13.940677966101694,Offense
Mike Kafka,Screens,8.227498619547212,Offense
Arthur Smith,Screens,11.416967509025271,Offense
Todd Downing,Screens,11.591148577449948,Offense
Ben Johnson,Screens,10.961968680089486,Offense
Nathaniel Hackett,Screens,10.80858085808581,Offense
Luke Getsy,Screens,14.275092936802974,Offense
Kellen Moore,Screens,8.548009367681498,Offense
Klint Kubiak,Screens,9.25050641458474,Offense
Bobby Slowik,Screens,10.287769784172662,Offense
Mike McCarthy,Screens,9.202012940330698,Offense
Todd Monken,Screens,10.767326732673267,Offense
Press Taylor,Screens,11.702986279257466,Offense
Sean Payton,Screens,13.428120063191153,Offense
Dave Canales,Screens,8.462774504552758,Offense
Drew Petzing,Screens,9.4832179009057,Offense
Bo Hardegree,Screens,11.7861482381531,Offense
Joe Brady,Screens,13.043478260869565,Offense
Zac Robinson,Screens,9.749784296807592,Offense
Liam Coen,Screens,12.964426877470355,Offense
Andy Reid,Trick looks,7.135644564119826,Offense
Pete Carmichael,Trick looks,6.0046189376443415,Offense
Zac Taylor,Trick looks,2.51022685013016,Offense
Sean McVay,Trick looks,10.349827804966468,Offense
Mike McDaniel,Trick looks,6.2329567588624855,Offense
Kevin Stefanski,Trick looks,3.801242236024845,Offense
Kyle Shanahan,Trick looks,5.637298351356143,Offense
Greg Roman,Trick looks,5,Offense
Matt Canada,Trick looks,13.24009324009324,Offense
Shane Waldron,Trick looks,6.202493159014899,Offense
Shane Steichen,Trick looks,2.346041055718475,Offense
Kevin O'Connell,Trick looks,6.392694063926941,Offense
Scott Turner,Trick looks,11.183550651955867,Offense
Kliff Kingsbury,Trick looks,4.777830864787386,Offense
Ken Dorsey,Trick looks,3.4383033419023135,Offense
Josh McDaniels,Trick looks,4.134897360703812,Offense
Matt LaFleur,Trick looks,5.980003772873043,Offense
Mike Kafka,Trick looks,4.268891069676154,Offense
Arthur Smith,Trick looks,3.600842750430952,Offense
Todd Downing,Trick looks,4.777992277992278,Offense
Ben Johnson,Trick looks,5.493005800068236,Offense
Nathaniel Hackett,Trick looks,5.68561872909699,Offense
Luke Getsy,Trick looks,6.805469235550031,Offense
Kellen Moore,Trick looks,5.1020408163265305,Offense
Klint Kubiak,Trick looks,4.5359594150999705,Offense
Bobby Slowik,Trick looks,4.860392967942089,Offense
Mike McCarthy,Trick looks,4.093357271095153,Offense
Todd Monken,Trick looks,5.952671383264211,Offense
Press Taylor,Trick looks,4.191147669408539,Offense
Sean Payton,Trick looks,2.8172464478196964,Offense
Dave Canales,Trick looks,4.282115869017632,Offense
Drew Petzing,Trick looks,3.0797101449275366,Offense
Bo Hardegree,Trick looks,4.991087344028521,Offense
Joe Brady,Trick looks,2.234162895927602,Offense
Zac Robinson,Trick looks,2.8968713789107765,Offense
Liam Coen,Trick looks,8.496023138105567,Offense
Andy Reid,Outside zone,23.60970677451972,Offense
Pete Carmichael,Outside zone,27.724867724867725,Offense
Zac Taylor,Outside zone,17.555831265508683,Offense
Sean McVay,Outside zone,25.982189628077528,Offense
Mike McDaniel,Outside zone,37.471655328798185,Offense
Kevin Stefanski,Outside zone,23.92378263937897,Offense
Kyle Shanahan,Outside zone,39.44700460829493,Offense
Greg Roman,Outside zone,14.37908496732026,Offense
Matt Canada,Outside zone,18.998716302952502,Offense
Shane Waldron,Outside zone,29.08921933085502,Offense
Shane Steichen,Outside zone,16.098029793368575,Offense
Kevin O'Connell,Outside zone,33.72502937720329,Offense
Scott Turner,Outside zone,23.9221140472879,Offense
Kliff Kingsbury,Outside zone,9.844559585492227,Offense
Ken Dorsey,Outside zone,15.057915057915059,Offense
Josh McDaniels,Outside zone,16.078753076292042,Offense
Matt LaFleur,Outside zone,30.08893280632411,Offense
Mike Kafka,Outside zone,15.895765472312704,Offense
Arthur Smith,Outside zone,41.75609756097561,Offense
Todd Downing,Outside zone,36.77069199457259,Offense
Ben Johnson,Outside zone,35.22156235724075,Offense
Nathaniel Hackett,Outside zone,28.900949796472187,Offense
Luke Getsy,Outside zone,18.82261812548412,Offense
Kellen Moore,Outside zone,20.008992805755398,Offense
Klint Kubiak,Outside zone,32.48,Offense
Bobby Slowik,Outside zone,32.139201637666325,Offense
