caller,variable,value,side
Bill Belichick,Cover 6,2.4583663758921492,Defense
Dennis Allen,Cover 6,3.146691346598797,Defense
Don Martindale,Cover 6,6.434108527131784,Defense
Jeff Ulbrich,Cover 6,9.780267126238689,Defense
Teryl Austin,Cover 6,6.371406371406371,Defense
Clint Hurtt,Cover 6,19.760956175298805,Defense
DeMeco Ryans,Cover 6,9.13081650570676,Defense
Todd Bowles,Cover 6,4.83751846381093,Defense
Shane Bowen,Cover 6,3.745157124408093,Defense
Jack Del Rio,Cover 6,7.192118226600986,Defense
Nick Rallis,Cover 6,6.159209761766415,Defense
Ryan Nielsen,Cover 6,11.20331950207469,Defense
Sean McDermott,Cover 6,11.116829644879052,Defense
Jim Schwartz,Cover 6,6.18374558303887,Defense
Vic Fangio,Cover 6,20.23517883390495,Defense
Brian Flores,Cover 6,4.89247311827957,Defense
Steve Wilks,Cover 6,2.3615635179153096,Defense
Matt Eberflus,Cover 6,4.222648752399232,Defense
Zach Orr,Cover 6,8.770668583752697,Defense
Jeff Hafley,Cover 6,13.180741910023677,Defense
Chris Shula,Cover 6,10.812720848056538,Defense
Jesse Minter,Cover 6,10.795454545454545,Defense
Anthony Weaver,Cover 6,6.890611541774333,Defense
Dennard Wilson,Cover 6,9.707822808671066,Defense
Joe Whitt Jr.,Cover 6,7.061266874350987,Defense
Vance Joseph,Shell rotation,26.998924345643598,Defense
Mike Macdonald,Shell rotation,36.04299630500504,Defense
Lou Anarumo,Shell rotation,24.38305709023941,Defense
Joe Woods,Shell rotation,32.92134831460674,Defense
Dan Quinn,Shell rotation,28.000000000000004,Defense
Ejiro Evero,Shell rotation,46.451070978580425,Defense
Aaron Glenn,Shell rotation,30.82671648762261,Defense
Joe Barry,Shell rotation,28.57142857142857,Defense
Gus Bradley,Shell rotation,24.850462207721588,Defense
Mike Caldwell,Shell rotation,26.192121630960607,Defense
Steve Spagnuolo,Shell rotation,28.135368281353685,Defense
Raheem Morris,Shell rotation,50.30257186081695,Defense
Brandon Staley,Shell rotation,33.92045454545455,Defense
Patrick Graham,Shell rotation,32.69307723089236,Defense
Bill Belichick,Shell rotation,30.205949656750576,Defense
Dennis Allen,Shell rotation,28.408091468777485,Defense
Don Martindale,Shell rotation,18.41317365269461,Defense
Jeff Ulbrich,Shell rotation,26.113608500204332,Defense
Teryl Austin,Shell rotation,29.59910078681154,Defense
Clint Hurtt,Shell rotation,19.893697798025816,Defense
DeMeco Ryans,Shell rotation,21.82274247491639,Defense
Todd Bowles,Shell rotation,29.646643109540637,Defense
Shane Bowen,Shell rotation,30.721649484536083,Defense
Jack Del Rio,Shell rotation,28.31608654750706,Defense
Nick Rallis,Shell rotation,33.33333333333333,Defense
Ryan Nielsen,Shell rotation,26.938136256851998,Defense
Sean McDermott,Shell rotation,36.78832116788321,Defense
Jim Schwartz,Shell rotation,22.12837837837838,Defense
Vic Fangio,Shell rotation,38.285980437820214,Defense
Brian Flores,Shell rotation,30.19648397104447,Defense
Steve Wilks,Shell rotation,23.63356428021555,Defense
Matt Eberflus,Shell rotation,28.189550425273392,Defense
Zach Orr,Shell rotation,41.86684969114619,Defense
Jeff Hafley,Shell rotation,31.428571428571427,Defense
Chris Shula,Shell rotation,47.357723577235774,Defense
Jesse Minter,Shell rotation,30.616907844630614,Defense
Anthony Weaver,Shell rotation,38.63261943986821,Defense
Dennard Wilson,Shell rotation,38.19139596136962,Defense
Joe Whitt Jr.,Shell rotation,29.446640316205535,Defense
