target,arm,n,auc,auc_base,lift,logloss,ece,persist,passed,failed_rules
Run or pass,situation only,297215,0.7934458171520358,0.6949055073678659,0.09854030978416983,0.5245792745975346,0.004753679378494964,0.5055550532667512,TRUE,
Run or pass,plus Madden QB,297215,0.7949564826361029,0.6949055073678659,0.10005097526823692,0.5231946735746162,0.0067177166104641795,0.09896131033544994,FALSE,R5 residual persistence
Play action,situation only,134044,0.7055526773378712,0.6314017009365663,0.07415097640130486,0.3536372815286696,0.006788065302434196,0.5559355258496147,TRUE,
Play action,plus Madden QB,134044,0.706430303388824,0.6314017009365663,0.07502860245225762,0.35364545233128475,0.008767570424467032,0.3382533203888021,TRUE,
Blitz,situation only,134044,0.6403293310428091,0.6152826674112429,0.025046663631566157,0.4263787754354203,0.010542965047244657,0.7895692406810063,FALSE,R1 discrimination
Blitz,plus Madden QB,134044,0.6420663006462463,0.6152826674112429,0.026783633235003323,0.42611081753204755,0.010370892593164859,0.7760780381996923,FALSE,R1 discrimination; R3 slice safety
