label,cleared,overall,n_pairs,same,n_same,moved,n_moved,drop
Pre-snap motion,FALSE,0.721882771254811,69,0.8051846237691562,54,0.10896774610245412,15,0.6962168776667021
Blitz,FALSE,0.7732757841617387,68,0.8156511865973035,57,0.35168340288108074,11,0.46396778371622277
Run or pass,TRUE,0.5018270943641524,244,0.5359819847975553,202,0.2087125335108772,42,0.3272694512866781
Play action,TRUE,0.6152214579211204,68,0.6408918413754594,53,0.43277639000145207,15,0.20811545137400733
Man coverage,FALSE,0.5855791379501174,68,0.5688439763601302,57,0.6792013247336068,11,-0.11035734837347666
RPO,FALSE,0.4710611088701264,69,0.4135113433055535,54,0.6606206399042971,15,-0.2471092965987436
