lab,n,edge,lo,hi,verdict
Every coin flip,130635,0.0890283997623523,0.0764275379768553,0.1016292615478493,The surprise pays
Close game (top-quartile leverage),40410,0.09194239775779002,0.06967116252209948,0.11421363299348056,The surprise pays
First half,79120,0.0982565126101205,0.08242325074736587,0.11408977447287513,The surprise pays
Second half,51515,0.07467193696696148,0.053953374060848554,0.09539049987307441,The surprise pays
Playoffs,5765,0.06850315998125629,0.01063563852797448,0.1263706814345381,The surprise pays
"4th quarter or OT, one score",12168,-0.0074068736573968535,-0.04880599530751028,0.03399224799271657,No effect either way
"Last 5 minutes, one score",2284,-0.10854871963785728,-0.20747287857515723,-0.009624560700557352,The surprise backfires
