leak,per_game,detail
"Running on early downs
when passing clearly wins",16.212681638044913,"98,184 runs called in situations where an identical-situation pass
was worth +0.25 EPA more. Passing wins in 95% of matched cells."
"Declining a fourth down
the math says to take",0.539430704619692,"2,312 of 4,604 clear go-for-it spots declined (50%).
Priced properly by nfl4th against all three options."
