down,sneak,n,epa,fd,dl
2,FALSE,3640,-0.016970920534600094,70.27472527472527,2nd down
3,FALSE,3724,0.013892623527869356,66.86358754027927,3rd down
4,FALSE,926,0.1929455371825001,67.60259179265658,4th down
4,TRUE,402,0.7628764127246778,80.59701492537313,4th down
1,FALSE,686,0.013623958513270768,49.416909620991255,1st down
3,TRUE,708,0.15355486418567812,82.7683615819209,3rd down
2,TRUE,141,0.2692247345937904,82.97872340425532,2nd down
1,TRUE,80,0.22945708855986593,63.74999999999999,1st down
