coach,games,first_season,last_season,market_raw,market,outside_cone,off_plays,off_epa,def_plays,def_epa,fd_n,fd_obey
Gus Bradley,62,2013,2016,-1.7896286604733849,-0.31931221729910075,FALSE,1996,-0.08289465833683872,2034,0.005589898916893762,NA,NA
Herm Edwards,128,2001,2008,-0.4438986434760748,-0.13005819240423136,FALSE,NA,NA,NA,NA,NA,NA
Hue Jackson,56,2011,2018,-2.431303373190526,-0.3864142289686382,TRUE,2650,-0.12350049457896353,2752,0.032673108152661536,NA,NA
Jack Del Rio,187,2003,2017,0.27359075333726424,0.10254135707767027,FALSE,1648,-0.07534486574728509,1776,-0.022111847685420797,NA,NA
Jason Garrett,152,2010,2019,0.2731717042409589,0.0890844129190952,FALSE,5320,0.030452339393875736,5243,-0.0026901526871717,98,77.55102040816327
Jay Gruden,85,2014,2019,-0.11402402285343416,-0.024512959001272448,FALSE,4323,-0.021725716810161624,4495,0.023068618090976458,63,82.53968253968254
Jeff Fisher,272,1999,2016,0.5121549392117841,0.24225453196300728,FALSE,1442,-0.20431002283004987,1566,-0.02727104787985088,NA,NA
Jim Caldwell,112,2009,2017,0.7949934431717476,0.21269653431614285,FALSE,3171,-0.02219157652362626,3172,0.019797790148197134,NA,NA
Jim Fassel,80,1999,2003,-0.1226607783649346,-0.025027331674972196,FALSE,NA,NA,NA,NA,NA,NA
Jim Harbaugh,98,2011,2025,1.2898070044611194,0.318907661847571,FALSE,2207,-0.020591135573398294,2128,-0.07286777149985968,115,75.65217391304347
Jim Haslett,108,2000,2008,-0.3647704234526434,-0.09512520383560646,FALSE,NA,NA,NA,NA,NA,NA
Jim Mora,112,1999,2009,-0.3399352204795583,-0.09091952678542974,FALSE,NA,NA,NA,NA,NA,NA
Jim Schwartz,80,2009,2013,-1.4297707749821142,-0.3095763813147955,FALSE,NA,NA,NA,NA,NA,NA
Jim Zorn,32,2008,2009,-1.488410204152885,-0.14632195961133332,FALSE,NA,NA,NA,NA,NA,NA
Joe Gibbs,64,2004,2007,-0.2266850281114065,-0.03886257566192535,FALSE,NA,NA,NA,NA,NA,NA
Joe Judge,33,2020,2021,-0.2000520559994629,-0.02094233552264266,FALSE,1995,-0.11677786488987843,2180,0.023460483346335673,100,82
Joe Philbin,68,2012,2018,-0.4989699449020416,-0.08806286395127767,FALSE,1316,-0.01213059397560186,1390,0.059245439352884344,NA,NA
John Fox,256,2002,2017,0.2587762054483056,0.11992143839533656,FALSE,3068,-0.0722642817184481,3119,0.011325034946273014,NA,NA
John Harbaugh,293,2008,2025,0.31005073962080276,0.15348364036973725,FALSE,12388,0.03452699626886784,11878,-0.04874119055905726,381,84.51443569553805
Jon Gruden,213,1999,2021,-0.12076249039869331,-0.049741103466134653,FALSE,2336,-0.001624728316204781,2307,0.10300302854949103,102,82.3529411764706
Jonathan Gannon,51,2023,2025,-1.350470047980116,-0.20007460151269585,FALSE,3194,-0.015201718334587888,3159,0.06738891518251641,144,87.5
Josh McDaniels,53,2009,2023,-1.4380035492876606,-0.2085820575262335,FALSE,1518,-0.054355012771698186,1581,0.045891123885816995,74,70.27027027027027
Ken Whisenhunt,128,2007,2015,-0.8319389392344918,-0.24833994153540434,FALSE,978,-0.12719952259873477,1007,0.016214658101721863,NA,NA
