coach,season,n,rate,above,age,team,bucket
Matt Rhule,2020,23,0.6086956521739131,0.13463482927588083,45,CAR,45-49
Mike McCarthy,2020,19,0.631578947368421,0.15751812447038885,57,DAL,55-59
Mike Tomlin,2020,22,0.3181818181818182,-0.155879004716214,48,PIT,45-49
Mike Vrabel,2020,12,0.5,0.025939177101967803,45,TEN,45-49
Mike Zimmer,2020,22,0.5454545454545454,0.07139372255651326,64,MIN,60+
Pete Carroll,2020,26,0.34615384615384615,-0.12790697674418605,69,SEA,60+
Raheem Morris,2020,10,0.6,0.12593917710196784,44,ATL,40-44
Romeo Crennel,2020,13,0.38461538461538464,-0.08944543828264755,73,HOU,60+
Ron Rivera,2020,10,0.5,0.025939177101967803,58,WAS,55-59
Sean McDermott,2020,16,0.4375,-0.0365608228980322,46,BUF,45-49
Sean McVay,2020,21,0.3333333333333333,-0.14072748956469885,34,LA,under 40
Sean Payton,2020,23,0.30434782608695654,-0.16971299681107563,57,NO,55-59
Vic Fangio,2020,12,0.4166666666666667,-0.057394156231365526,62,DEN,60+
Zac Taylor,2020,13,0.46153846153846156,-0.012522361359570668,37,CIN,under 40
Andy Reid,2021,17,0.5294117647058824,0.030290499328026493,67,KC,60+
Arthur Smith,2021,17,0.4117647058823529,-0.08735655949550292,39,ATL,under 40
Bill Belichick,2021,15,0.3333333333333333,-0.16578793204452258,69,NE,60+
Brandon Staley,2021,27,0.5925925925925926,0.09347132721473675,39,LAC,under 40
Brian Flores,2021,15,0.3333333333333333,-0.16578793204452252,40,MIA,40-44
Bruce Arians,2021,23,0.21739130434782608,-0.2817299610300298,69,TB,60+
Dan Campbell,2021,23,0.6086956521739131,0.10957438679605719,45,DET,45-49
David Culley,2021,13,0.46153846153846156,-0.03758280383939436,66,HOU,60+
Frank Reich,2021,18,0.6666666666666666,0.16754540128881085,60,IND,60+
Joe Judge,2021,13,0.38461538461538464,-0.11450588076247124,40,NYG,40-44
John Harbaugh,2021,22,0.6363636363636364,0.1372423709857805,59,BAL,55-59
Jon Gruden,2021,9,0.5555555555555556,0.05643429017769971,58,LV,55-59
Kevin Stefanski,2021,16,0.625,0.12587873462214416,39,CLE,under 40
Kliff Kingsbury,2021,19,0.6842105263157895,0.1850892609379336,42,ARI,40-44
Kyle Shanahan,2021,18,0.4444444444444444,-0.05467682093341142,42,SF,40-44
Matt LaFleur,2021,12,0.6666666666666666,0.16754540128881082,42,GB,40-44
Matt Nagy,2021,16,0.75,0.25087873462214416,43,CHI,40-44
Matt Rhule,2021,16,0.5,8.787346221441339e-4,46,CAR,45-49
Mike McCarthy,2021,29,0.5172413793103449,0.018120113932488996,58,DAL,55-59
Mike Tomlin,2021,15,0.26666666666666666,-0.23245459871118923,49,PIT,45-49
Mike Vrabel,2021,19,0.6842105263157895,0.1850892609379336,46,TEN,45-49
Mike Zimmer,2021,22,0.36363636363636365,-0.13548490174149222,65,MIN,60+
Nick Sirianni,2021,16,0.5,8.787346221441339e-4,40,PHI,40-44
Pete Carroll,2021,14,0.21428571428571427,-0.2848355510921416,70,SEA,60+
Rich Bisaccia,2021,16,0.25,-0.2491212653778559,61,LV,60+
Robert Saleh,2021,9,0.6666666666666666,0.16754540128881082,42,NYJ,40-44
Ron Rivera,2021,18,0.6111111111111112,0.11198984573325525,59,WAS,55-59
Sean McDermott,2021,19,0.47368421052631576,-0.02543705485154013,47,BUF,45-49
Sean McVay,2021,25,0.48,-0.019121265377855863,35,LA,under 40
Sean Payton,2021,12,0.6666666666666666,0.16754540128881082,58,NO,55-59
Vic Fangio,2021,11,0.6363636363636364,0.1372423709857805,63,DEN,60+
Zac Taylor,2021,23,0.43478260869565216,-0.06433865668220368,38,CIN,under 40
Andy Reid,2022,20,0.3,-0.17727272727272725,68,KC,60+
Arthur Smith,2022,12,0.6666666666666666,0.18939393939393942,40,ATL,40-44
Bill Belichick,2022,15,0.26666666666666666,-0.2106060606060606,70,NE,60+
Brandon Staley,2022,34,0.35294117647058826,-0.12433155080213909,40,LAC,40-44
Brian Daboll,2022,17,0.4117647058823529,-0.06550802139037433,47,NYG,45-49
Dan Campbell,2022,26,0.6153846153846154,0.13811188811188813,46,DET,45-49
Dennis Allen,2022,11,0.09090909090909091,-0.3863636363636364,50,NO,50-54
Doug Pederson,2022,18,0.5,0.022727272727272707,54,JAX,50-54
Frank Reich,2022,12,0.25,-0.2272727272727273,61,IND,60+
Jeff Saturday,2022,11,0.6363636363636364,0.15909090909090906,47,IND,45-49
John Harbaugh,2022,21,0.6190476190476191,0.14177489177489175,60,BAL,60+
Josh McDaniels,2022,26,0.4230769230769231,-0.05419580419580424,46,LV,45-49
Kevin O'Connell,2022,29,0.4827586206896552,0.0054858934169278875,37,MIN,under 40
Kevin Stefanski,2022,22,0.5909090909090909,0.1136363636363636,40,CLE,40-44
Kliff Kingsbury,2022,18,0.7222222222222222,0.24494949494949494,43,ARI,40-44
Kyle Shanahan,2022,14,0.35714285714285715,-0.12012987012987013,43,SF,40-44
Lovie Smith,2022,18,0.3333333333333333,-0.14393939393939398,64,HOU,60+
Matt Eberflus,2022,14,0.42857142857142855,-0.04870129870129873,52,CHI,50-54
Matt LaFleur,2022,20,0.75,0.2727272727272727,43,GB,40-44
Mike McCarthy,2022,14,0.42857142857142855,-0.04870129870129873,59,DAL,55-59
Mike McDaniel,2022,25,0.52,0.042727272727272676,39,MIA,under 40
Mike Tomlin,2022,20,0.3,-0.17727272727272728,50,PIT,50-54
Mike Vrabel,2022,13,0.6153846153846154,0.13811188811188807,47,TEN,45-49
Nathaniel Hackett,2022,18,0.5,0.022727272727272707,43,DEN,40-44
Nick Sirianni,2022,22,0.5909090909090909,0.11363636363636365,41,PHI,40-44
Pete Carroll,2022,15,0.4666666666666667,-0.010606060606060633,71,SEA,60+
Robert Saleh,2022,15,0.4666666666666667,-0.010606060606060628,43,NYJ,40-44
Ron Rivera,2022,21,0.6190476190476191,0.14177489177489172,60,WAS,60+
Sean McDermott,2022,16,0.5625,0.08522727272727268,48,BUF,45-49
Sean McVay,2022,11,0.5454545454545454,0.06818181818181816,36,LA,under 40
Steve Wilks,2022,8,0.375,-0.10227272727272729,53,CAR,50-54
Todd Bowles,2022,36,0.4444444444444444,-0.03282828282828282,59,TB,55-59
Zac Taylor,2022,17,0.29411764705882354,-0.18315508021390378,39,CIN,under 40
Andy Reid,2023,27,0.48148148148148145,-0.041438722253662894,69,KC,60+
Antonio Pierce,2023,10,0.4,-0.1229202037351444,45,LV,45-49
Arthur Smith,2023,23,0.5217391304347826,-0.0011810733003617389,41,ATL,40-44
Bill Belichick,2023,19,0.3684210526315789,-0.15449915110356544,71,NE,60+
Brandon Staley,2023,24,0.625,0.10207979626485564,41,LAC,40-44
Brian Daboll,2023,19,0.5789473684210527,0.05602716468590825,48,NYG,45-49
Dan Campbell,2023,24,0.625,0.10207979626485564,47,DET,45-49
DeMeco Ryans,2023,16,0.3125,-0.21042020373514436,39,HOU,under 40
Dennis Allen,2023,19,0.47368421052631576,-0.04923599320882861,51,NO,50-54
Doug Pederson,2023,23,0.5217391304347826,-0.0011810733003617486,55,JAX,55-59
Frank Reich,2023,11,0.7272727272727273,0.20435252353758288,62,CAR,60+
John Harbaugh,2023,13,0.46153846153846156,-0.06138174219668286,61,BAL,60+
Jonathan Gannon,2023,16,0.6875,0.16457979626485564,40,ARI,40-44
Josh McDaniels,2023,10,0.4,-0.1229202037351444,47,LV,45-49
Kevin O'Connell,2023,24,0.375,-0.14792020373514436,38,MIN,under 40
Kevin Stefanski,2023,15,0.6,0.07707979626485567,41,CLE,40-44
Matt Eberflus,2023,14,0.5714285714285714,0.048508367693427076,53,CHI,50-54
Matt LaFleur,2023,13,0.7692307692307693,0.24631056549562488,44,GB,40-44
Mike McCarthy,2023,16,0.625,0.10207979626485564,60,DAL,60+
Mike McDaniel,2023,16,0.5,-0.022920203735144362,40,MIA,40-44
Mike Tomlin,2023,19,0.5263157894736842,0.003395585738539831,51,PIT,50-54
Mike Vrabel,2023,14,0.7142857142857143,0.19136551055056988,48,TEN,45-49
Nick Sirianni,2023,15,0.7333333333333333,0.21041312959818895,42,PHI,40-44
Pete Carroll,2023,20,0.4,-0.12292020373514437,72,SEA,60+
Robert Saleh,2023,15,0.5333333333333333,0.010413129598188978,44,NYJ,40-44
Ron Rivera,2023,23,0.5217391304347826,-0.001181073300361816,61,WAS,60+
Sean McDermott,2023,13,0.7692307692307693,0.24631056549562488,49,BUF,45-49
Sean McVay,2023,18,0.5,-0.022920203735144362,37,LA,under 40
Sean Payton,2023,17,0.29411764705882354,-0.22880255667632085,60,DEN,60+
Shane Steichen,2023,24,0.5,-0.022920203735144362,38,IND,under 40
Todd Bowles,2023,17,0.4117647058823529,-0.11115549785279141,60,TB,60+
Zac Taylor,2023,22,0.4090909090909091,-0.11382929464423532,40,CIN,40-44
Andy Reid,2024,23,0.6521739130434783,0.08967391304347824,70,KC,60+
Antonio Pierce,2024,19,0.3157894736842105,-0.24671052631578944,46,LV,45-49
Brian Callahan,2024,20,0.45,-0.11249999999999998,40,TEN,40-44
Brian Daboll,2024,24,0.625,0.0625,49,NYG,45-49
Dan Campbell,2024,18,0.6666666666666666,0.10416666666666669,48,DET,45-49
Dan Quinn,2024,20,0.8,0.2375,54,WAS,50-54
Dave Canales,2024,11,0.7272727272727273,0.16477272727272724,43,CAR,40-44
DeMeco Ryans,2024,12,0.3333333333333333,-0.2291666666666667,40,HOU,40-44
Dennis Allen,2024,22,0.5909090909090909,0.028409090909090964,52,NO,50-54
Doug Pederson,2024,24,0.4583333333333333,-0.10416666666666667,56,JAX,55-59
Jim Harbaugh,2024,18,0.2222222222222222,-0.3402777777777778,61,LAC,60+
John Harbaugh,2024,13,0.6153846153846154,0.052884615384615356,62,BAL,60+
Jonathan Gannon,2024,16,0.4375,-0.125,41,ARI,40-44
Kevin O'Connell,2024,11,0.5454545454545454,-0.01704545454545453,39,MIN,under 40
Kevin Stefanski,2024,16,0.6875,0.125,42,CLE,40-44
Kyle Shanahan,2024,18,0.3888888888888889,-0.17361111111111108,45,SF,45-49
Matt Eberflus,2024,21,0.6190476190476191,0.05654761904761903,54,CHI,50-54
Matt LaFleur,2024,9,0.3333333333333333,-0.22916666666666669,45,GB,45-49
Mike Macdonald,2024,16,0.6875,0.125,37,SEA,under 40
Mike McCarthy,2024,15,0.6,0.037500000000000006,61,DAL,60+
Mike McDaniel,2024,15,0.4666666666666667,-0.09583333333333335,41,MIA,40-44
Mike Tomlin,2024,19,0.42105263157894735,-0.1414473684210526,52,PIT,50-54
Nick Sirianni,2024,19,0.5789473684210527,0.016447368421052606,43,PHI,40-44
Raheem Morris,2024,26,0.7692307692307693,0.20673076923076925,48,ATL,45-49
Robert Saleh,2024,16,0.5,-0.0625,45,NYJ,45-49
Sean McDermott,2024,22,0.7727272727272727,0.21022727272727268,50,BUF,50-54
Sean McVay,2024,32,0.375,-0.1875,38,LA,under 40
Sean Payton,2024,10,0.4,-0.16250000000000003,61,DEN,60+
Shane Steichen,2024,15,0.8666666666666667,0.30416666666666664,39,IND,under 40
Todd Bowles,2024,15,0.6666666666666666,0.10416666666666666,61,TB,60+
Zac Taylor,2024,21,0.6666666666666666,0.10416666666666663,41,CIN,40-44
Aaron Glenn,2025,12,0.6666666666666666,0.062053816584294375,53,NYJ,50-54
Andy Reid,2025,33,0.6666666666666666,0.062053816584294354,71,KC,60+
Ben Johnson,2025,26,0.6538461538461539,0.04923330376378151,45,CHI,45-49
Brian Daboll,2025,20,0.7,0.09538714991762771,50,NYG,50-54
Brian Schottenheimer,2025,26,0.6538461538461539,0.049233303763781586,52,DAL,50-54
Dan Campbell,2025,22,0.7272727272727273,0.122659877190355,49,DET,45-49
Dan Quinn,2025,16,0.625,0.020387149917627682,55,WAS,55-59
Dave Canales,2025,23,0.6956521739130435,0.09103932383067115,44,CAR,40-44
DeMeco Ryans,2025,23,0.391304347826087,-0.21330850225628534,41,HOU,40-44
Jim Harbaugh,2025,18,0.2777777777777778,-0.3268350723045945,62,LAC,60+
John Harbaugh,2025,19,0.47368421052631576,-0.1309286395560565,63,BAL,60+
Jonathan Gannon,2025,9,0.6666666666666666,0.062053816584294354,42,ARI,40-44
Kellen Moore,2025,18,0.6111111111111112,0.006498261028738794,37,NO,under 40
Kevin O'Connell,2025,24,0.375,-0.2296128500823723,40,MIN,40-44
Kevin Stefanski,2025,18,0.6666666666666666,0.06205381658429431,43,CLE,40-44
Kyle Shanahan,2025,15,0.7333333333333333,0.12872048325096103,46,SF,45-49
Liam Coen,2025,17,0.6470588235294118,0.04244597344703945,40,JAX,40-44
Matt LaFleur,2025,17,0.8235294117647058,0.21891656168233356,46,GB,45-49
Mike Macdonald,2025,12,0.5,-0.10461285008237231,38,SEA,under 40
Mike Tomlin,2025,30,0.4666666666666667,-0.13794618341570572,53,PIT,50-54
Mike Vrabel,2025,19,0.631578947368421,0.026966097286048707,50,NE,50-54
Nick Sirianni,2025,19,0.6842105263157895,0.0795976762334172,44,PHI,40-44
Pete Carroll,2025,10,0.9,0.2953871499176277,74,LV,60+
Raheem Morris,2025,19,0.47368421052631576,-0.1309286395560565,49,ATL,45-49
Sean McDermott,2025,25,0.68,0.07538714991762774,51,BUF,50-54
Sean McVay,2025,24,0.7916666666666666,0.18705381658429437,39,LA,under 40
Sean Payton,2025,21,0.47619047619047616,-0.1284223738918961,62,DEN,60+
Shane Steichen,2025,24,0.6666666666666666,0.06205381658429435,40,IND,40-44
Todd Bowles,2025,22,0.5909090909090909,-0.013703759173281399,62,TB,60+
Zac Taylor,2025,14,0.5,-0.10461285008237231,42,CIN,40-44
