target,label,side,variant,n,auc,lift,ece,persist,passed,cleared
y_blitz,Blitz,defense,base,84817,0.6138505102283678,0.04261876428635569,0.018677061374423317,0.7746730507475728,4,FALSE
y_blitz,Blitz,defense,base + look,82531,0.6190438936869679,0.048122588808592215,0.018789866155307994,0.7807785195541532,4,FALSE
y_blitz,Blitz,defense,base + sequence,84817,0.6146822832742403,0.043450537332228256,0.018867594986304657,0.7751130709595846,4,FALSE
y_blitz,Blitz,defense,base + look + seq,82531,0.6194710423329799,0.048549737454604225,0.018704710287330038,0.7806243006809809,4,FALSE
y_blitz,Blitz,defense,deeper trees,84817,0.6084048156636978,0.03717306972168566,0.02789699390074857,0.7758083912352056,3,FALSE
y_blitz,Blitz,defense,look + deeper,82531,0.613370059362343,0.042448754483967344,0.02760157926335513,0.7805292279664064,3,FALSE
y_man,Man coverage,defense,base,82321,0.6171357801057689,0.03290758573519981,0.0502891956850177,0.5820739836726037,3,FALSE
y_man,Man coverage,defense,base + look,80043,0.6250037488251683,0.04187682773456647,0.04426040037392843,0.57951640629055,2,FALSE
y_man,Man coverage,defense,base + sequence,82321,0.6174755829906353,0.033247388620066265,0.050203118090019275,0.5785269064719293,3,FALSE
y_man,Man coverage,defense,base + look + seq,80043,0.6247821612600202,0.04165524016941835,0.04574765944160078,0.5734160163407492,2,FALSE
y_man,Man coverage,defense,deeper trees,82321,0.6163032782395778,0.0320750838690087,0.055535891141067155,0.5842712897743767,3,FALSE
y_man,Man coverage,defense,look + deeper,80043,0.622515735902578,0.0393888148119762,0.05081815059886079,0.5792241915376953,2,FALSE
y_motion,Pre-snap motion,offense,base,141526,0.5828893606579676,0.09638418381068026,0.034947726487381744,0.722254515870878,3,FALSE
y_motion,Pre-snap motion,offense,base + look,138212,0.6156298890714875,0.13008054334031066,0.03846532859796994,0.6952054911999321,2,FALSE
y_motion,Pre-snap motion,offense,base + sequence,141526,0.586048844940721,0.09954366809343362,0.03432055064679774,0.7265456843701966,3,FALSE
y_motion,Pre-snap motion,offense,base + look + seq,138212,0.6185369713184203,0.13298762558724347,0.03792544404895454,0.697386793736102,3,FALSE
y_motion,Pre-snap motion,offense,deeper trees,141526,0.5796523051824973,0.09314712833521,0.04417593029768444,0.7213719716911525,3,FALSE
y_motion,Pre-snap motion,offense,look + deeper,138212,0.6119039853008176,0.12635463956964071,0.045738361293960875,0.6987094281699757,2,FALSE
y_rpo,RPO,offense,base,141526,0.6110607967220134,0.05548932903920989,0.010443997279832742,0.469818412380481,4,FALSE
y_rpo,RPO,offense,base + look,138212,0.7561375346999645,0.20263091621150553,0.00783378147429851,0.38284011851866206,4,FALSE
y_rpo,RPO,offense,base + sequence,141526,0.6176988399500654,0.06212737226726184,0.010361751137705433,0.4712805445769649,4,FALSE
y_rpo,RPO,offense,base + look + seq,138212,0.755442946592075,0.20193632810361606,0.008771142032728451,0.3797406301080457,4,FALSE
y_rpo,RPO,offense,deeper trees,141526,0.6083481842674962,0.05277671658469263,0.013460701785618485,0.4724708539019207,4,FALSE
y_rpo,RPO,offense,look + deeper,138212,0.7503095183856835,0.19680289989722455,0.010034813324777604,0.3898569860403362,3,FALSE
